Country	Total	ID
Afghanistan	0.07	Q889
Albania	0.06	Q222
Algeria	0.08	Q262
Angola	1.49	Q916
Argentina	0.24	Q414
Armenia	0.1	Q399
Australia	0.07	Q408
Azerbaijan	0.1	Q227
Barbados	0.35	Q244
Belarus	0.4	Q184
Benin	0.55	Q962
Bolivia	0.15	Q750
Botswana	8.76	Q963
Bulgaria	0.08	Q219
Burkina Faso	0.21	Q965
Burundi	0.24	Q967
Cabo Verde	0.3	Q1011
Cambodia	0.08	Q424
Cameroon	1.22	Q1009
Central African Republic	2.14	Q929
Chad	0.55	Q657
Chile	0.47	Q298
Colombia	0.39	Q739
Comoros	0.01	Q970
Congo, Dem. Rep.	0.35	Q974
Congo, Rep.	2.48	Q971
Costa Rica	0.32	Q800
Cote d'Ivoire	0.92	Q1008
Croatia	0.04	Q224
Cuba	0.28	Q241
Djibouti	0.18	Q977
Dominican Republic	0.46	Q786
Ecuador	0.26	Q736
Egypt, Arab Rep.	0.08	Q79
El Salvador	0.25	Q792
Equatorial Guinea	6.41	Q983
Eritrea	0.16	Q986
Eswatini	11.56	Q1050
Ethiopia	0.25	Q115
Fiji	0.24	Q712
France	0.19	Q142
Gabon	1.14	Q1000
Gambia, The	1.79	Q1005
Ghana	1.13	Q117
Guatemala	0.13	Q774
Guinea	0.74	Q1006
Guinea-Bissau	02.02	Q1007
Guyana	0.74	Q734
Haiti	0.81	Q790
Honduras	0.2	Q783
Iran, Islamic Rep.	0.08	Q794
Italy	0.09	Q38
Jamaica	0.93	Q766
Kazakhstan	0.35	Q232
Kenya	1.52	Q114
Kyrgyz Republic	0.26	Q813
Lao PDR	0.2	Q819
Latvia	0.38	Q211
Lebanon	0.05	Q822
Lesotho	11.83	Q1013
Liberia	0.81	Q1014
Libya	0.11	Q1016
Lithuania	0.19	Q37
Madagascar	0.39	Q1019
Malawi	4.1	Q1020
Malaysia	0.31	Q833
Mauritius	0.94	Q1027
Moldova	0.46	Q217
Mongolia	0.02	Q711
Montenegro	0.1	Q236
Morocco	0.04	Q1028
Mozambique	9.44	Q1029
Myanmar	0.34	Q836
Namibia	5.72	Q1030
Nepal	0.05	Q837
Netherlands	0.04	Q55
New Zealand	0.06	Q664
Nicaragua	0.11	Q811
Niger	0.09	Q1032
Nigeria	0.8	Q1033
Oman	0.07	Q842
Pakistan	0.19	Q843
Papua New Guinea	0.63	Q691
Paraguay	0.28	Q733
Peru	0.19	Q419
Philippines	0.25	Q928
Romania	0.08	Q218
Rwanda	0.81	Q1037
Senegal	0.15	Q1041
Serbia	0.05	Q403
Sierra Leone	0.98	Q1044
Singapore	0.04	Q334
Somalia	0.04	Q1045
South Africa	7.6	Q258
South Sudan	2.51	Q958
Spain	0.13	Q29
Sri Lanka	0.01	Q854
Sudan	0.14	Q1049
Suriname	0.79	Q730
Switzerland	0.07	Q39
Syrian Arab Republic	0.01	Q858
Tajikistan	0.25	Q863
Tanzania	2.83	Q924
Thailand	0.18	Q869
Timor-Leste	0.25	Q574
Togo	0.97	Q945
Trinidad and Tobago	0.13	Q754
Tunisia	0.09	Q948
Uganda	2.83	Q1036
Ukraine	0.56	Q212
United States	0.22	Q30
Uzbekistan	0.19	Q265
Venezuela, RB	0.32	Q717
Vietnam	0.1	Q881
Yemen, Rep.	0.07	Q805
Zambia	6.71	Q953
Zimbabwe	4.94	Q954
