Country	Obesity rate % 	ID
Nauru	61.0	Q697
Cook Islands	55.9	Q26988
Palau	55.3	Q695
Marshall Islands	52.9	Q709
Tuvalu	51.6	Q672
Niue	50.0	Q34020
Tonga	48.2	Q678
Samoa	47.3	Q683
Kiribati	46.0	Q710
Federated States of Micronesia	45.8	Q702
Kuwait	37.9	Q817
United States	36.2	Q30
Jordan	35.5	Q810
Saudi Arabia	35.4	Q851
Qatar	35.1	Q846
Libya	32.5	Q1016
Turkey	32.1	Q43
Egypt	32.0	Q79
Lebanon	32.0	Q822
United Arab Emirates	31.7	Q878
Bahamas	31.6	Q778
New Zealand	30.8	Q664
Iraq	30.4	Q796
Fiji	30.2	Q712
Bahrain	29.8	Q398
Canada	29.4	Q16
Australia	29.0	Q408
Malta	28.9	Q233
Mexico	28.9	Q96
South Africa	28.3	Q258
Argentina	28.3	Q414
Chile	28.0	Q298
Dominica	27.9	Q784
Uruguay	27.9	Q77
Syria	27.8	Q858
United Kingdom	27.8	Q145
Dominican Republic	27.8	Q786
Algeria	27.4	Q262
Oman	27.0	Q842
Tunisia	26.9	Q948
Suriname	26.4	Q730
Hungary	26.4	Q28
Lithuania	26.3	Q37
Morocco	26.1	Q1028
Israel	26.1	Q801
Czech Republic	26.0	Q213
Iran	25.8	Q794
Costa Rica	25.7	Q800
Andorra	25.6	Q228
Venezuela	25.6	Q717
Ireland	25.3	Q27
Vanuatu	25.2	Q686
Bulgaria	25.0	Q219
Greece	24.9	Q41
Jamaica	24.7	Q766
Cuba	24.6	Q241
El Salvador	24.6	Q792
Belarus	24.5	Q184
Croatia	24.4	Q224
Belize	24.1	Q242
Ukraine	24.1	Q212
Spain	23.8	Q29
Nicaragua	23.7	Q811
Saint Vincent and the Grenadines	23.7	Q757
Latvia	23.6	Q211
Montenegro	23.3	Q236
Norway	23.1	Q20
Barbados	23.1	Q244
Poland	23.1	Q36
Russia	23.1	Q159
Saint Kitts and Nevis	22.9	Q763
Panama	22.7	Q804
Haiti	22.7	Q790
Luxembourg	22.6	Q32
Solomon Islands	22.5	Q685
Romania	22.5	Q218
North Macedonia	22.4	Q221
Colombia	22.3	Q739
Germany	22.3	Q183
Finland	22.2	Q33
Belgium	22.1	Q31
Brazil	22.1	Q155
Iceland	21.9	Q189
Cyprus	21.8	Q229
Albania	21.7	Q222
Georgia	21.7	Q230
France	21.6	Q142
Serbia	21.5	Q403
Honduras	21.4	Q783
Grenada	21.3	Q769
Papua New Guinea	21.3	Q691
Estonia	21.2	Q191
Guatemala	21.2	Q774
Kazakhstan	21.0	Q232
Portugal	20.8	Q45
Mongolia	20.6	Q711
Sweden	20.6	Q34
Slovakia	20.5	Q214
Netherlands	20.4	Q55
Paraguay	20.3	Q733
Guyana	20.2	Q734
Slovenia	20.2	Q215
Armenia	20.2	Q399
Bolivia	20.2	Q750
Austria	20.1	Q40
Azerbaijan	19.9	Q227
Italy	19.9	Q38
Ecuador	19.9	Q736
Peru	19.7	Q419
Saint Lucia	19.7	Q760
Denmark	19.7	Q35
Switzerland	19.5	Q39
Antigua and Barbuda	18.9	Q781
Botswana	18.9	Q963
Moldova	18.9	Q217
Trinidad and Tobago	18.6	Q754
Turkmenistan	18.6	Q874
Bosnia and Herzegovina	17.9	Q225
Namibia	17.2	Q1030
Yemen	17.1	Q805
Kyrgyzstan	16.6	Q813
Lesotho	16.6	Q1013
Uzbekistan	16.6	Q265
Eswatini	16.5	Q1050
Malaysia	15.6	Q833
Zimbabwe	15.5	Q954
Gabon	15.0	Q1000
Tajikistan	14.2	Q863
Brunei	14.1	Q921
Seychelles	14.0	Q1042
Djibouti	13.5	Q977
Mauritania	12.7	Q1025
São Tomé and Príncipe	12.4	Q1039
Cape Verde	11.8	Q1011
Cameroon	11.4	Q1009
Ghana	10.9	Q117
Mauritius	10.8	Q1027
Gambia	10.3	Q1005
Ivory Coast	10.3	Q1008
Thailand	10.0	Q869
Liberia	9.9	Q1014
Benin	9.6	Q962
Republic of the Congo	9.6	Q971
Guinea-Bissau	9.5	Q1007
Nigeria	8.9	Q1033
Senegal	8.8	Q1041
Sierra Leone	8.7	Q1044
Maldives	8.6	Q826
Mali	8.6	Q912
Pakistan	8.6	Q843
Togo	8.4	Q945
Tanzania	8.4	Q924
Somalia	8.3	Q1045
Angola	8.2	Q916
Zambia	8.1	Q953
Equatorial Guinea	8.0	Q983
Comoros	7.8	Q970
Guinea	7.7	Q1006
Central African Republic	7.5	Q929
Mozambique	7.2	Q1029
Kenya	7.1	Q114
Indonesia	6.9	Q252
North Korea	6.8	Q423
Democratic Republic of the Congo	6.7	Q974
Sudan	6.6	Q1049
South Sudan	6.6	Q958
Bhutan	6.4	Q917
Philippines	6.4	Q928
China	6.2	Q148
Singapore	6.1	Q334
Chad	6.1	Q657
Malawi	5.8	Q1020
Rwanda	5.8	Q1037
Burkina Faso	5.6	Q965
Niger	5.5	Q1032
Afghanistan	5.5	Q889
Burundi	5.4	Q967
Madagascar	5.3	Q1019
Laos	5.3	Q819
Uganda	5.3	Q1036
Sri Lanka	5.2	Q854
Eritrea	5.0	Q986
South Korea	4.7	Q884
Ethiopia	4.5	Q115
Japan	4.3	Q17
Nepal	4.1	Q837
Cambodia	3.9	Q424
India	3.9	Q668
Timor-Leste	3.8	Q574
Bangladesh	3.6	Q902
Vietnam	2.1	Q881
