Country	%_2000	%_2018	ID
Afghanistan	22.9	21	Q889
Albania	24.7	24.5	Q222
Algeria	47.6	45.2	Q262
Angola	6.2	16.2	Q916
Argentina	36.2	28.2	Q414
Armenia	14.9	44.6	Q399
Australia	11.2	10.7	Q408
Austria	5.6	9.4	Q40
Azerbaijan	21.2	15.3	Q227
Bahamas, The	19.1	28.1	Q778
Bahrain	11.6	10.9	Q398
Bangladesh	10.4	16.5	Q902
Barbados	24.1	30.2	Q244
Belarus	18.4	8.4	Q184
Belgium	18.3	15.3	Q31
Belize	33.5	25.4	Q242
Benin	0.7	5.1	Q962
Bhutan	6.1	12	Q917
Bolivia	8.1	7	Q750
Bosnia and Herzegovina	58.2	45.7	Q225
Botswana	35.9	42.9	Q963
Brazil	23.4	32.3	Q155
Brunei Darussalam	20.9	29.7	Q921
Bulgaria	29.6	11.9	Q219
Burkina Faso	3.4	12.1	Q965
Burundi	2.1	1.7	Q967
Cabo Verde	24	31.6	Q1011
Cambodia	2.2	1.1	Q424
Cameroon	10.2	6.3	Q1009
Canada	11.4	9.6	Q16
Central African Republic	6	5.4	Q929
Chad	1	2.6	Q657
Channel Islands	16.3	15.3	Q42314
Chile	30.8	20	Q298
China	6	9.1	Q148
Colombia	44.5	24.4	Q739
Comoros	8.5	8.5	Q970
Congo, Dem. Rep.	3.7	6.1	Q974
Congo, Rep.	38.8	21	Q971
Costa Rica	14.5	32.2	Q800
Cote d'Ivoire	5.6	6.1	Q1008
Croatia	41.3	29.4	Q224
Cuba	11.9	4.2	Q241
Cyprus	13.6	15.7	Q229
Czech Republic	16.5	7.2	Q213
Denmark	7	8.2	Q35
Djibouti	16.9	20.1	Q977
Dominican Republic	20.7	19.7	Q786
Ecuador	12.6	10.4	Q736
Egypt, Arab Rep.	45.2	40	Q79
El Salvador	8.2	11.6	Q792
Equatorial Guinea	12.1	11.5	Q983
Eritrea	8.2	8.3	Q986
Estonia	19.6	11.4	Q191
Eswatini	54.3	49	Q1050
Ethiopia	6.8	4.2	Q115
Fiji	14.3	22.4	Q712
Finland	30.9	16.8	Q33
France	22.5	19.9	Q142
French Polynesia	39.7	42.1	Q30971
Gabon	42.5	42.1	Q1000
Gambia, The	17.2	16.8	Q1005
Georgia	20.4	34.1	Q230
Germany	7.4	5.1	Q183
Ghana	16.4	8.4	Q117
Greece	38.2	43.9	Q41
Guam	30.6	13.9	Q16635
Guatemala	5.2	8.1	Q774
Guinea	4.7	4.3	Q1006
Guinea-Bissau	3.6	3.4	Q1007
Guyana	31.6	28	Q734
Haiti	23.1	38.2	Q790
Honduras	8.5	16	Q783
Hong Kong SAR, China	10.2	7.9	Q8646
Hungary	10.4	10.7	Q28
Iceland	3.8	5.5	Q189
India	16.9	24.3	Q668
Indonesia	19.3	16.4	Q252
Iran, Islamic Rep.	32.7	42.3	Q794
Iraq	19.2	62.8	Q796
Ireland	6.7	12.7	Q27
Israel	17.4	7.4	Q801
Italy	35.7	34.8	Q38
Jamaica	43.5	30.8	Q766
Japan	7.9	3.1	Q17
Jordan	46.6	55.7	Q810
Kazakhstan	25.2	3.9	Q232
Kenya	6.5	7.3	Q114
Korea, Dem. Peopleâ€™s Rep.	5.7	5.5	Q423
Korea, Rep.	8.6	10.1	Q884
Kuwait	8.3	28.4	Q817
Kyrgyz Republic	13.4	22.7	Q813
Lao PDR	3.7	1.6	Q819
Latvia	21.7	11.8	Q211
Lebanon	19.7	21.3	Q822
Lesotho	59.2	40.5	Q1013
Liberia	3.7	2	Q1014
Libya	61.5	68.9	Q1016
Lithuania	27.3	10.1	Q37
Luxembourg	7.3	11.8	Q32
Macao SAR, China	7.2	4	Q14773
