Country	$ (2010)	$ (2019)	ID
Afghanistan	388	1050	Q889
Albania	1544	2716	Q222
Algeria	57053	36089	Q262
American Samoa	320	470	Q16641
Angola	50595	34537	Q916
Antigua and Barbuda	46	45	Q781
Argentina	68187	65116	Q414
Armenia	1011	2640	Q399
Australia	212634	271592	Q408
Austria	152560	179021	Q40
Azerbaijan	26476	20000	Q227
Bahamas, The	702	825	Q778
Bahrain	14971	17881	Q398
Bangladesh	19194	37943	Q902
Barbados	429	454	Q244
Belarus	25284	32930	Q184
Belgium	407692	444563	Q31
Belize	478	460	Q242
Benin	1282	2367	Q962
Bermuda	15	16	Q23635
Bhutan	641	590	Q917
Bolivia	6402	8757	Q750
Bosnia and Herzegovina	4803	6578	Q225
Botswana	4693	5024	Q963
Brazil	201915	222644	Q155
Brunei Darussalam	8907	6490	Q921
Bulgaria	20630	33303	Q219
Burkina Faso	1591	3414	Q965
Burundi	101	182	Q967
Cabo Verde	44	62	Q1011
Cambodia	5143	14090	Q424
Cameroon	3878	4444	Q1009
Canada	387481	446934	Q16
Cayman Islands	24	55	Q5785
Central African Republic	140	180	Q929
Chad	3600	2360	Q657
Chile	71109	69682	Q298
China	1577754	2499029	Q148
Hong Kong SAR, China	400692	534887	Q8646
Macao SAR, China	870	1586	Q14773
Colombia	39713	39460	Q739
Comoros	21	52	Q970
Congo, Dem. Rep.	5300	6800	Q974
Congo, Rep.	9400	7183	Q971
Costa Rica	9448	11803	Q800
Cote d'Ivoire	11410	12724	Q1008
Croatia	11806	17381	Q224
Cuba	4914	2450	Q241
Curacao	928	470	Q25279
Cyprus	1402	3460	Q229
Czech Republic	132982	198511	Q213
Denmark	96440	110699	Q35
Djibouti	85	185	Q977
Dominica	37	20	Q784
Dominican Republic	6754	11360	Q786
Ecuador	17490	22329	Q736
Egypt, Arab Rep.	26438	28993	Q79
El Salvador	4499	5943	Q792
Equatorial Guinea	10000	5200	Q983
Eritrea	13	744	Q986
Estonia	11591	16124	Q191
Eswatini	1800	2044	Q1050
Ethiopia	2330	2774	Q115
Faroe Islands	839	1306	Q4628
Fiji	841	990	Q712
Finland	69518	73333	Q33
France	523767	569732	Q142
French Polynesia	153	130	Q30971
Gabon	8686	7318	Q1000
Gambia, The	68	111	Q1005
Georgia	1677	3765	Q230
Germany	1258924	1489158	Q183
Ghana	7960	15554	Q117
Greece	28017	37874	Q41
Greenland	380	750	Q223
Grenada	25	32	Q769
Guam	46	32	Q16635
Guatemala	8463	11189	Q774
Guinea	1471	3337	Q1006
Guinea-Bissau	127	306	Q1007
Guyana	880	1610	Q734
Haiti	579	1200	Q790
Honduras	6264	8705	Q783
Hungary	95483	123616	Q28
Iceland	4604	5224	Q189
India	226351	324163	Q668
Indonesia	157779	167497	Q252
Iran, Islamic Rep.	101316	55100	Q794
Iraq	52483	89491	Q796
Ireland	116497	169779	Q27
Israel	58415	58448	Q801
Italy	447301	532663	Q38
Jamaica	1328	1650	Q766
Japan	769774	705528	Q17
Jordan	7028	8313	Q810
Kazakhstan	59971	57309	Q232
Kenya	5169	5824	Q114
Kiribati	4	6	Q710
Korea, Dem. Peopleâ€™s Rep.	2555	240	Q423
Korea, Rep.	466384	542233	Q884
Kuwait	69978	64876	Q817
Kyrgyz Republic	1756	1966	Q813
Lao PDR	1746	5880	Q819
Latvia	9532	15489	Q211
Lebanon	5021	4829	Q822
Lesotho	878	1002	Q1013
Liberia	222	528	Q1014
Libya	48935	24441	Q1016
Lithuania	20748	33124	Q37
Luxembourg	19748	16508	Q32
Madagascar	1149	2640	Q1019
Malawi	1066	859	Q1020
Malaysia	198612	238195	Q833
Maldives	198	350	Q826
Mali	1996	3367	Q912
Malta	3586	3007	Q233
Marshall Islands	32	55	Q709
Mauritania	2074	2455	Q1025
Mauritius	2261	2230	Q1027
Mexico	298305	461116	Q96
Micronesia, Fed. Sts.	30	42	Q702
Moldova	1541	2779	Q217
Mongolia	2899	7620	Q711
Montenegro	437	465	Q236
Morocco	17771	28780	Q1028
Mozambique	3000	4550	Q1029
Myanmar	8661	17440	Q836
Namibia	4026	5084	Q1030
Nepal	856	900	Q837
Netherlands	574251	709229	Q55
New Caledonia	1493	1670	Q33788
New Zealand	31396	39523	Q664
Nicaragua	3251	6750	Q811
Niger	1150	1264	Q1032
Nigeria	84000	61690	Q1033
North Macedonia	3351	7189	Q221
Northern Mariana Islands	5	7	Q16644
Norway	130657	102685	Q20
Oman	36601	41556	Q842
Pakistan	21410	23352	Q843
Palau	6	7	Q695
Panama	10987	11390	Q804
Papua New Guinea	5742	10650	Q691
Paraguay	6505	7652	Q733
Peru	35803	47690	Q419
Philippines	51496	70334	Q928
Poland	159724	264013	Q36
Portugal	49406	67060	Q45
Qatar	74964	72640	Q846
Romania	49579	76873	Q218
Russian Federation	400630	418796	Q159
Rwanda	297	1166	Q1037
Samoa	70	49	Q683
Sao Tome and Principe	11	13	Q1039
Saudi Arabia	251143	268590	Q851
Senegal	2161	4175	Q1041
Serbia	9795	19630	Q403
Seychelles	400	495	Q1042
Sierra Leone	341	487	Q1044
Singapore	351867	390763	Q334
Slovak Republic	65957	89682	Q214
Slovenia	29200	44866	Q215
Solomon Islands	224	460	Q685
South Africa	91347	90016	Q258
Spain	254418	333622	Q29
Sri Lanka	8602	11973	Q854
St. Kitts and Nevis	32	65	Q763
St. Lucia	215	55	Q760
St. Martin (French part)	127	140	Q126125
St. Vincent and the Grenadines	42	42	Q757
Sudan	11404	2450	Q1049
Suriname	2026	2270	Q730
Sweden	158549	160543	Q34
Switzerland	195609	313866	Q39
Syrian Arab Republic	12796	2100	Q858
Tajikistan	1195	1050	Q863
Tanzania	4051	5048	Q924
Thailand	193306	246245	Q869
Timor-Leste	16	154	Q574
Togo	976	1103	Q945
Tonga	8	20	Q678
Trinidad and Tobago	10982	7320	Q754
Tunisia	16427	14933	Q948
Turkey	113883	180871	Q43
Turkmenistan	6500	10000	Q874
Tuvalu	0	0	Q672
Uganda	1619	3455	Q1036
Ukraine	51478	50066	Q212
United Arab Emirates	213539	280136	Q878
United Kingdom	420182	468817	Q145
United States	1278495	1645625	Q30
Uruguay	6724	7680	Q77
Uzbekistan	11695	16000	Q265
Vanuatu	49	48	Q686
Venezuela, RB	65745	16455	Q717
Vietnam	72237	264273	Q881
Yemen, Rep.	8100	1478	Q805
Zambia	7200	7303	Q953
Zimbabwe	3199	4359	Q954
