Country	%	ID
Afghanistan	95	Q889
Angola	3	Q916
Azerbaijan	41	Q227
Bangladesh	99	Q902
Benin	99	Q962
Bolivia	31	Q750
Botswana	83	Q963
Burkina Faso	0	Q965
Burundi	79	Q967
Cambodia	73	Q424
Cameroon	9	Q1009
Central African Republic	0	Q929
Chad	67	Q657
Comoros	21	Q970
Congo, Dem. Rep.	1	Q974
Congo, Rep.	12	Q971
Cote d'Ivoire	94	Q1008
Djibouti	78	Q977
Equatorial Guinea	5	Q983
Eritrea	51	Q986
Eswatini	33	Q1050
Ethiopia	77	Q115
Gabon	0	Q1000
Gambia, The	32	Q1005
Ghana	50	Q117
Guatemala	26	Q774
Guinea	64	Q1006
Guinea-Bissau	95	Q1007
Haiti	17	Q790
India	71	Q668
Indonesia	62	Q252
Kenya	44	Q114
Kiribati	37	Q710
Korea, Dem. Peopleâ€™s Rep.	90	Q423
Lao PDR	57	Q819
Lesotho	18	Q1013
Liberia	97	Q1014
Madagascar	87	Q1019
Malawi	91	Q1020
Maldives	69	Q826
Mali	9	Q912
Mauritania	0	Q1025
Mongolia	83	Q711
Morocco	99	Q1028
Mozambique	61	Q1029
Myanmar	89	Q836
Namibia	27	Q1030
Nepal	81	Q837
Nicaragua	3	Q811
Niger	53	Q1032
Nigeria	83	Q1033
Pakistan	92	Q843
Philippines	68	Q928
Rwanda	98	Q1037
Sao Tome and Principe	23	Q1039
Senegal	58	Q1041
Sierra Leone	98	Q1044
Somalia	11	Q1045
South Africa	47	Q258
South Sudan	51	Q958
Sri Lanka	93	Q854
Sudan	20	Q1049
Tajikistan	91	Q863
Tanzania	87	Q924
Timor-Leste	66	Q574
Togo	87	Q945
Uganda	27	Q1036
Uzbekistan	99	Q265
Vietnam	99	Q881
Yemen, Rep.	81	Q805
Zambia	99	Q953
Zimbabwe	43	Q954
