Country	Port container traffic	ID
Algeria	1466	Q262
Angola	778	Q916
Antigua and Barbuda	18	Q781
Argentina	1801	Q414
Aruba	32	Q21203
Australia	8747	Q408
Austria	286	Q40
Bahamas, The	939	Q778
Bahrain	432	Q398
Bangladesh	2827	Q902
Barbados	101	Q244
Belgium	12682	Q31
Belize	45	Q242
Benin	333	Q962
Brazil	10312	Q155
Brunei Darussalam	139	Q921
Bulgaria	217	Q219
Cambodia	742	Q424
Cameroon	406	Q1009
Canada	6664	Q16
Cayman Islands	113	Q5785
Chile	4663	Q298
China	225829	Q148
Hong Kong SAR, China	19641	Q8646
Colombia	4125	Q739
Congo, Dem. Rep.	49	Q974
Congo, Rep.	580	Q971
Costa Rica	1493	Q800
Cote d'Ivoire	907	Q1008
Croatia	265	Q224
Cuba	350	Q241
Curacao	98	Q25279
Cyprus	308	Q229
Denmark	1676	Q35
Djibouti	847	Q977
Dominica	8	Q784
Dominican Republic	1922	Q786
Ecuador	2434	Q736
Egypt, Arab Rep.	6152	Q79
El Salvador	231	Q792
Equatorial Guinea	10	Q983
Estonia	223	Q191
Fiji	93	Q712
Finland	1592	Q33
France	6369	Q142
French Polynesia	76	Q30971
Gabon	156	Q1000
Gambia, The	65	Q1005
Georgia	285	Q230
Germany	19598	Q183
Ghana	1009	Q117
Greece	5324	Q41
Grenada	24	Q769
Guam	163	Q16635
Guatemala	1531	Q774
Guinea	172	Q1006
Guyana	122	Q734
Haiti	196	Q790
Honduras	976	Q783
Iceland	352	Q189
India	16383	Q668
Indonesia	12853	Q252
Iran, Islamic Rep.	2379	Q794
Ireland	988	Q27
Israel	2946	Q801
Italy	10547	Q38
Jamaica	1833	Q766
Japan	22434	Q17
Jordan	815	Q810
Kenya	1300	Q114
Korea, Rep.	28945	Q884
Kuwait	3099	Q817
Latvia	473	Q211
Lebanon	1306	Q822
Liberia	128	Q1014
Libya	98	Q1016
Lithuania	750	Q37
Madagascar	174	Q1019
Malaysia	24956	Q833
Maldives	89	Q826
Malta	3315	Q233
Mauritania	90	Q1025
Mauritius	451	Q1027
Mexico	6980	Q96
Morocco	4764	Q1028
Mozambique	454	Q1029
Myanmar	1288	Q836
Namibia	360	Q1030
Netherlands	14826	Q55
New Caledonia	117	Q33788
New Zealand	3329	Q664
Nicaragua	276	Q811
Nigeria	1210	Q1033
Norway	898	Q20
Oman	4224	Q842
Pakistan	3275	Q843
Panama	6872	Q804
Papua New Guinea	341	Q691
Peru	2668	Q419
Philippines	8638	Q928
Poland	2834	Q36
Portugal	3199	Q45
Qatar	1835	Q846
Romania	678	Q218
Russian Federation	6335	Q159
Samoa	30	Q683
Saudi Arabia	8670	Q851
Senegal	571	Q1041
Sierra Leone	89	Q1044
Singapore	36600	Q334
Sint Maarten (Dutch part)	83	Q26273
Slovenia	989	Q215
South Africa	4892	Q258
Spain	17190	Q29
Sri Lanka	7000	Q854
St. Kitts and Nevis	14	Q763
St. Lucia	30	Q760
St. Vincent and the Grenadines	20	Q757
Sudan	552	Q1049
Suriname	115	Q730
Sweden	1593	Q34
Switzerland	103	Q39
Syrian Arab Republic	106	Q858
Tanzania	1190	Q924
Thailand	11185	Q869
Togo	1194	Q945
Trinidad and Tobago	359	Q754
Tunisia	493	Q948
Turkey	9943	Q43
Ukraine	1179	Q212
United Arab Emirates	19054	Q878
United Kingdom	11695	Q145
United States	54688	Q30
Uruguay	798	Q77
Venezuela, RB	371	Q717
Vietnam	16374	Q881
Yemen, Rep.	535	Q805
