Country	average annual % growth ('90-'00)	average annual % growth ('00-'19)	ID
Antigua and Barbuda	0.6	2.4	Q781
Argentina	2.5	2.4	Q414
Australia	1.9	-0.2	Q408
Austria	2.5	2.3	Q40
Azerbaijan	-15.7	5	Q227
Bahamas, The	1.2	0.9	Q778
Bangladesh	7.2	9	Q902
Belarus	-0.8	6.3	Q184
Belgium	3.6	0.5	Q31
Belize	2.4	0.2	Q242
Benin	5.7	1.3	Q962
Bhutan	8.9	8.3	Q917
Bolivia	3.8	4.5	Q750
Botswana	7.9	5	Q963
Brazil	0.4	0.7	Q155
Brunei Darussalam	3.4	-0.2	Q921
Burkina Faso	5.4	4.7	Q965
Cabo Verde	9.7	3.3	Q1011
Cambodia	19.9	9.3	Q424
Cameroon	-2.1	4	Q1009
Chile	5	2	Q298
Colombia	0.3	2.8	Q739
Congo, Dem. Rep.	-8.7	2.3	Q974
Congo, Rep.	-4.3	8.4	Q971
Costa Rica	4	1.3	Q800
Croatia	4	0.1	Q224
Cuba	0.2	2.6	Q241
Cyprus	0.1	-1.3	Q229
Czech Republic	7.5	5.2	Q213
Denmark	2.8	1.1	Q35
Dominica	1.6	-4	Q784
Dominican Republic	6.3	3	Q786
Ecuador	2.3	2.8	Q736
El Salvador	4	1.4	Q792
Estonia	8.1	3.8	Q191
Eswatini	2.8	3.2	Q1050
Ethiopia	3.7	11.6	Q115
Fiji	4.9	1.9	Q712
Finland	6.9	0.1	Q33
France	2.6	0.6	Q142
Gabon	3	13.2	Q1000
Gambia, The	1.3	1.4	Q1005
Germany	0.1	1.8	Q183
Greece	3.1	-2.3	Q41
Grenada	5.6	0.4	Q769
Guatemala	2.8	2.8	Q774
Guyana	3	7.4	Q734
Haiti	-5.8	1.8	Q790
Honduras	4.1	3.2	Q783
Hungary	8.3	2	Q28
Iceland	3.5	2.7	Q189
India	6.9	7.6	Q668
Indonesia	6.7	4.6	Q252
Iran, Islamic Rep.	5.4	4.8	Q794
Iraq	9.6	-1.1	Q796
Ireland	13.7	5.4	Q27
Israel	6.9	1.7	Q801
Italy	1.6	-0.3	Q38
Jamaica	-2.2	-0.6	Q766
Japan	1.3	1.4	Q17
Jordan	5.2	5.1	Q810
Kenya	1.3	3.4	Q114
Kiribati	2	0.7	Q710
Korea, Rep.	8.6	4.7	Q884
Kyrgyz Republic	-7.5	1.4	Q813
Latvia	5.4	1.2	Q211
Lebanon	5.7	2.9	Q822
Lesotho	7.1	1.6	Q1013
Lithuania	7.1	4.7	Q37
Luxembourg	3.8	-1.3	Q32
Malawi	0.5	6.4	Q1020
Malaysia	9.5	4.2	Q833
Maldives	9.7	2.7	Q826
Mauritania	0.6	2.6	Q1025
Mauritius	5.3	1.6	Q1027
Mexico	4.1	1.4	Q96
Micronesia, Fed. Sts.	3.1	-7.6	Q702
Moldova	-7.1	2.4	Q217
Mongolia	-6.6	6.2	Q711
Morocco	2.6	3	Q1028
Mozambique	10.2	4.4	Q1029
Namibia	2.6	3.6	Q1030
Nepal	8.9	2	Q837
Netherlands	2.9	1.2	Q55
New Zealand	2.3	0.2	Q664
Nicaragua	3.5	4.8	Q811
Niger	1.3	5.3	Q1032
Nigeria	-4.1	5.1	Q1033
North Macedonia	-5.6	4.3	Q221
Norway	1.7	1	Q20
Pakistan	3.8	5.3	Q843
Panama	3.1	3	Q804
Paraguay	1.9	3.1	Q733
Peru	3.8	4.1	Q419
Philippines	3	4.4	Q928
Poland	0.4	7.2	Q36
Portugal	4.2	0.2	Q45
Romania	-1.7	3.6	Q218
Samoa	-1.9	-3.7	Q683
Saudi Arabia	4.2	6.1	Q851
Serbia	4.4	1.5	Q403
Seychelles	8.3	0.7	Q1042
Sierra Leone	-3.3	3.2	Q1044
Singapore	7	5.1	Q334
Slovak Republic	7.6	7.5	Q214
Slovenia	5	2.3	Q215
South Africa	1.6	1.6	Q258
Spain	5.2	-0.6	Q29
Sri Lanka	8.1	4.2	Q854
St. Kitts and Nevis	4.3	-1.3	Q763
St. Lucia	-0.9	3.2	Q760
St. Vincent and the Grenadines	0.2	-0.7	Q757
Sudan	7.2	9	Q1049
Suriname	-1.3	1.6	Q730
Sweden	6.7	0.7	Q34
Switzerland	1.4	2.4	Q39
Tanzania	2.8	7.8	Q924
Thailand	3.5	3.4	Q869
Togo	1.8	7.7	Q945
Tonga	-1.1	0.3	Q678
Tunisia	5.7	2.2	Q948
Turkey	4.7	6.1	Q43
Uganda	14.2	6.1	Q1036
Ukraine	-11.2	-0.1	Q212
United Kingdom	1.2	-0.1	Q145
Uruguay	-0.1	3.4	Q77
Venezuela, RB	4.5	0.3	Q717
Vietnam	11.2	7.6	Q881
West Bank and Gaza	-3.4	5	Q407199
Zambia	1	5.1	Q953
Zimbabwe	0.4	2.6	Q954
