Country	By country of origin	By country of asylum	ID
Afghanistan	2681	72	Q889
Burkina Faso	11	25	Q965
Burundi	388	72	Q967
Cameroon	45	380	Q1009
Central African Republic	591	7	Q929
Chad	11	451	Q657
Congo, Dem. Rep.	720	529	Q974
Congo, Rep.	13	37	Q971
Cote d'Ivoire	38	2	Q1008
Eritrea	507	2	Q986
Gambia, The	17	4	Q1005
Guinea-Bissau	2	5	Q1007
Haiti	28	0	Q790
Iraq	372	283	Q796
Lebanon	6	1425	Q822
Liberia	6	9	Q1014
Libya	14	9	Q1016
Mali	158	27	Q912
Niger	3	175	Q1032
Nigeria	277	35	Q1033
Papua New Guinea	0	10	Q691
Somalia	950	17	Q1045
South Sudan	2285	292	Q958
Sudan	725	1078	Q1049
Syrian Arab Republic	6654	579	Q858
West Bank and Gaza	101	2268	Q407199
Yemen, Rep.	31	264	Q805
Zimbabwe	16	8	Q954
