Country	%	ID
Afghanistan	15.5	Q889
Albania	15.1	Q222
Argentina	3.6	Q414
Armenia	21	Q399
Austria	3.2	Q40
Bangladesh	10.7	Q902
Belarus	3.7	Q184
Belgium	3.4	Q31
Belize	3.9	Q242
Bolivia	6	Q750
Bosnia and Herzegovina	15.4	Q225
Brazil	6.9	Q155
Brunei Darussalam	8.8	Q921
Bulgaria	2.3	Q219
Burkina Faso	11.1	Q965
Cabo Verde	6.2	Q1011
Cambodia	0.9	Q424
Canada	4.6	Q16
Cayman Islands	2.5	Q5785
Chile	7	Q298
Colombia	11.2	Q739
Costa Rica	5.3	Q800
Cote d'Ivoire	12.4	Q1008
Croatia	6	Q224
Cyprus	7.6	Q229
Czech Republic	1.2	Q213
Denmark	4	Q35
Dominican Republic	3.7	Q786
Ecuador	5.3	Q736
Egypt, Arab Rep.	22.1	Q79
El Salvador	5	Q792
Estonia	3.6	Q191
Eswatini	11.3	Q1050
Fiji	5	Q712
Finland	4.2	Q33
France	5.4	Q142
Gambia, The	7	Q1005
Georgia	12.9	Q230
Germany	1.9	Q183
Ghana	4.6	Q117
Greece	14.2	Q41
Guatemala	2.9	Q774
Guyana	4.9	Q734
Honduras	7.6	Q783
Hong Kong SAR, China	2.4	Q8646
Hungary	1.5	Q28
Iceland	1.9	Q189
India	15.3	Q668
Indonesia	5.3	Q252
Iran, Islamic Rep.	20	Q794
Ireland	3.8	Q27
Israel	2.8	Q801
Italy	5.9	Q38
Japan	2.3	Q17
Kazakhstan	3.5	Q232
Kenya	7.8	Q114
Kiribati	2.2	Q710
Korea, Rep.	4.1	Q884
Kosovo	4.6	Q1246
Lao PDR	6.9	Q819
Latvia	3.7	Q211
Liberia	8.1	Q1014
Lithuania	2.8	Q37
Luxembourg	4.2	Q32
Macao SAR, China	1.5	Q14773
Madagascar	8.5	Q1019
Malawi	14.1	Q1020
Malaysia	4.1	Q833
Maldives	3.5	Q826
Mali	18.8	Q912
Malta	1.9	Q233
Mauritania	17.3	Q1025
Mauritius	7	Q1027
Mexico	4.1	Q96
Moldova	3.3	Q217
Mongolia	5.7	Q711
Montenegro	10.3	Q236
Mozambique	7.3	Q1029
Myanmar	2.3	Q836
Namibia	12.2	Q1030
Nepal	8.5	Q837
Netherlands	2.5	Q55
Niger	4.8	Q1032
Nigeria	13.7	Q1033
North Macedonia	17.8	Q221
Norway	2.3	Q20
Pakistan	7.1	Q843
Panama	3.2	Q804
Paraguay	2.8	Q733
Peru	3.9	Q419
Philippines	7.5	Q928
Poland	2	Q36
Portugal	5.4	Q45
Romania	2.1	Q218
Russian Federation	4.8	Q159
Rwanda	18.1	Q1037
Samoa	7.7	Q683
San Marino	8.2	Q238
Senegal	17.8	Q1041
Serbia	10.8	Q403
Seychelles	2.5	Q1042
Singapore	4.1	Q334
Slovak Republic	3.1	Q214
Slovenia	3.6	Q215
South Africa	12	Q258
Spain	8.9	Q29
Sri Lanka	7.1	Q854
St. Lucia	7.8	Q760
Sweden	3.7	Q34
Switzerland	3.5	Q39
Thailand	1.6	Q869
Timor-Leste	6.1	Q574
Togo	13.5	Q945
Tonga	2.5	Q678
Trinidad and Tobago	2.4	Q754
Tunisia	26.8	Q948
Turkey	12.2	Q43
Tuvalu	2.4	Q672
Ukraine	7.7	Q212
United Arab Emirates	3.3	Q878
United Kingdom	2.5	Q145
United States	2.5	Q30
Uruguay	3	Q77
Vietnam	2.1	Q881
West Bank and Gaza	32.5	Q407199
Zambia	8	Q953
