Country	Urban (2000)	Urban (2017)	Rural (2000)	Rural (2017)	ID
Afghanistan	29.6	62.3	21.8	37.1	Q889
Albania	97	98.3	82.1	96.9	Q222
Algeria	91.4	89.7	72.3	82.2	Q262
Andorra	100	100	100	100	Q228
Angola	47.5	64.3	7.5	23.2	Q916
Argentina	89.2	95.9	68.7	76.8	Q414
Armenia	92.3	99.7	77	83.2	Q399
Austria	100	100	100	100	Q40
Azerbaijan	73	96.4	52.9	87.6	Q227
Bangladesh	43.7	50.7	20.1	46.9	Q902
Belarus	89.8	98.2	96	96.3	Q184
Belgium	99.5	99.5	99.5	99.5	Q31
Belize	85.4	93.1	80	83.5	Q242
Benin	19	26.5	2.1	7.6	Q962
Bhutan	74.1	72.6	41.5	67	Q917
Bolivia	46.6	71.7	15	36.1	Q750
Bosnia and Herzegovina	98.5	98.9	92.6	92.1	Q225
Botswana	68.8	89.4	32.7	50.6	Q963
Brazil	81.4	92.8	36	60.1	Q155
Bulgaria	86.8	86.8	83.7	83.7	Q219
Burkina Faso	50.3	39.4	2.8	11.3	Q965
Burundi	40.6	41.7	45.6	46.4	Q967
Cabo Verde	55.5	80	22.2	62.4	Q1011
Cambodia	46.4	95.8	1.6	48.3	Q424
Cameroon	55.5	55.9	27.1	17.8	Q1009
Canada	99.9	99.4	99.4	98.7	Q16
Central African Republic	26.1	49.1	8.4	9.1	Q929
Chad	25.5	30.1	7.7	1.9	Q657
Chile	96	100	67.7	100	Q298
China	77.5	90.8	44.4	76.4	Q148
Colombia	79.4	92.9	49.3	76.2	Q739
Comoros	43.9	45.2	23.5	32.1	Q970
Congo, Dem. Rep.	23.2	23.4	20.4	18.2	Q974
Congo, Rep.	16.3	27.2	5.8	6.3	Q971
Costa Rica	96.5	98.4	88.6	95.8	Q800
Cote d'Ivoire	39	46.1	7.3	18	Q1008
Croatia	97.5	97.8	94.6	94.8	Q224
Cuba	91.5	92.2	73.3	94.8	Q241
Cyprus	99.8	99.5	100	98.4	Q229
Czech Republic	99.1	99.1	99.3	99.2	Q213
Denmark	99.6	99.6	99.6	99.6	Q35
Djibouti	58.1	76.3	12	19.4	Q977
Dominican Republic	81.8	86.4	71.3	73.6	Q786
Ecuador	80.1	90.9	53.8	83	Q736
Egypt, Arab Rep.	95.1	98.3	90.1	91.1	Q79
El Salvador	89.7	91	73.9	78.6	Q792
Equatorial Guinea	64.4	69.9	45.5	57.3	Q983
Eritrea	27.3	22	1.4	5.6	Q986
Estonia	99.9	99	99.4	99.4	Q191
Eswatini	68.1	50.9	44.9	60.7	Q1050
Ethiopia	16	19.6	1.2	4.2	Q115
Fiji	90.1	95.3	69.8	94.7	Q712
Finland	99.4	99.4	99.5	99.5	Q33
France	98.6	98.6	98.9	98.9	Q142
Gabon	35.5	48.7	30.5	37.4	Q1000
Gambia, The	50.5	45.5	64.2	29.6	Q1005
Georgia	94.2	95.3	96	82.7	Q230
Germany	99.3	99.3	99	99	Q183
Ghana	14	23.7	4.3	11.9	Q117
Greece	98.5	99.2	94.3	98.1	Q41
Greenland	99.6	99.6	99.6	99.6	Q223
Guatemala	81.5	79.2	48.2	50.5	Q774
Guinea	23.6	33.8	3.1	16.6	Q1006
Guinea-Bissau	24.6	36.9	4.3	8.2	Q1007
Guyana	84.5	91.5	76.5	83.7	Q734
Haiti	27.8	43.8	10.7	23.9	Q790
Honduras	75.8	85.3	51.7	76	Q783
Hungary	97.8	97.8	98.6	98.6	Q28
Iceland	98.7	98.7	100	100	Q189
India	49.3	72	3.8	53.2	Q668
Indonesia	62.7	80.3	25.4	64.5	Q252
Iran, Islamic Rep.	91.9	91.7	79	78.8	Q794
Iraq	78	96.7	55.8	88	Q796
Ireland	88.1	89.4	91.7	94.3	Q27
Israel	100	100	100	100	Q801
Jamaica	82	85.5	82	89.5	Q766
Jordan	98.6	97.4	98.1	96.3	Q810
Kazakhstan	96.6	97	97	99	Q232
Kenya	35.7	34.7	33.1	27	Q114
Korea, Dem. Peopleâ€™s Rep.	80.6	89.9	67.3	72.3	Q423
Kyrgyz Republic	94.1	91.8	91.6	99.2	Q813
Lao PDR	67.1	95.4	17.4	63.5	Q819
Latvia	96	96.2	72.5	83.4	Q211
Lesotho	21.1	42.7	5.9	42.8	Q1013
Liberia	25.3	27.7	4.1	5.9	Q1014
Lithuania	93.1	97.3	66.5	85.1	Q37
Luxembourg	97.5	97.5	98.8	98.7	Q32
North Macedonia	91	100	77	97.9	Q221
Madagascar	9.4	17.8	2.7	6.3	Q1019
Malawi	32	34.1	18.9	24.7	Q1020
Malaysia	98.3	99.9	94.4	98.7	Q833
Maldives	92.5	99.3	66.6	99.4	Q826
Mali	33.9	53.3	9.2	29.4	Q912
Malta	100	100	100	100	Q233
Marshall Islands	89	91.1	58.7	58.5	Q709
Mauritania	34.5	74.8	7	18.9	Q1025
Mauritius	92.3	96	88.5	95.2	Q1027
Mexico	82.8	93.4	52.7	82.4	Q96
Moldova	89.1	86.2	62.4	68.9	Q217
Mongolia	64.2	66.3	26.4	41.5	Q711
Morocco	83.1	94.4	45.8	79	Q1028
Mozambique	31.7	52.3	1.8	16.8	Q1029
Myanmar	82.5	76	66.6	59.3	Q836
Namibia	59.2	51.5	13.3	18.2	Q1030
Nepal	32.6	67.3	12.4	60.8	Q837
Netherlands	97.5	97.5	99.9	99.9	Q55
New Zealand	100	100	100	100	Q664
Nicaragua	70.5	83.7	43.4	61.5	Q811
Niger	25.2	43.8	1.2	7.7	Q1032
Nigeria	30.1	47.8	29.2	30.7	Q1033
Norway	98	98	98.3	98.3	Q20
Oman	93.5	100	76.7	100	Q842
Pakistan	65.7	76.6	14.5	50.3	Q843
Palau	99.6	100	98.7	100	Q695
Panama	71.5	92.3	43.9	64.8	Q804
Papua New Guinea	58.5	47.8	15.2	7.7	Q691
Paraguay	85.1	94.2	52	82.8	Q733
Peru	77.2	79.6	28.9	56.1	Q419
Philippines	72.2	78.5	53.5	74.8	Q928
Poland	94	98.5	77.2	99.2	Q36
Portugal	98.5	99.5	96	99.8	Q45
