Country	Total	ID
Afghanistan	38.1	Q889
Albania	91.3	Q222
Algeria	57.5	Q262
Angola	73.1	Q916
Antigua and Barbuda	66.3	Q781
Argentina	76.3	Q414
Armenia	82.5	Q399
Australia	96.9	Q408
Austria	94.4	Q40
Azerbaijan	78.8	Q227
Bahamas, The	81.3	Q778
Bahrain	46.3	Q398
Bangladesh	49.4	Q902
Barbados	76.9	Q244
Belarus	75.6	Q184
Belgium	100	Q31
Belize	79.4	Q242
Benin	74.4	Q962
Bhutan	71.9	Q917
Bolivia	82.5	Q750
Bosnia and Herzegovina	85	Q225
Botswana	63.8	Q963
Brazil	81.9	Q155
Brunei Darussalam	53.1	Q921
Bulgaria	90.6	Q219
Burkina Faso	79.4	Q965
Burundi	73.1	Q967
Cabo Verde	86.3	Q1011
Cambodia	75	Q424
Cameroon	56.9	Q1009
Canada	100	Q16
Central African Republic	71.3	Q929
Chad	66.3	Q657
Chile	77.5	Q298
China	75.6	Q148
Hong Kong SAR, China	89.4	Q8646
Colombia	81.9	Q739
Comoros	58.8	Q970
Congo, Dem. Rep.	78.8	Q974
Congo, Rep.	46.3	Q971
Costa Rica	80	Q800
Cote d'Ivoire	83.1	Q1008
Croatia	93.8	Q224
Cyprus	91.3	Q229
Czech Republic	93.8	Q213
Denmark	100	Q35
Djibouti	68.1	Q977
Dominica	62.5	Q784
Dominican Republic	86.3	Q786
Ecuador	89.4	Q736
Egypt, Arab Rep.	45	Q79
El Salvador	88.8	Q792
Equatorial Guinea	51.9	Q983
Eritrea	69.4	Q986
Estonia	97.5	Q191
Eswatini	46.3	Q1050
Ethiopia	71.9	Q115
Fiji	79.4	Q712
Finland	97.5	Q33
France	100	Q142
Gabon	57.5	Q1000
Gambia, The	74.4	Q1005
Georgia	85.6	Q230
Germany	97.5	Q183
Ghana	75	Q117
Greece	97.5	Q41
Grenada	80.6	Q769
Guatemala	70.6	Q774
Guinea	65	Q1006
Guinea-Bissau	42.5	Q1007
Guyana	86.9	Q734
Haiti	61.3	Q790
Honduras	75	Q783
Hungary	96.9	Q28
Iceland	100	Q189
India	74.4	Q668
Indonesia	64.4	Q252
Iran, Islamic Rep.	31.3	Q794
Iraq	45	Q796
Ireland	97.5	Q27
Israel	77.5	Q801
Italy	97.5	Q38
Jamaica	68.1	Q766
Japan	81.9	Q17
Jordan	40.6	Q810
Kazakhstan	72.5	Q232
Kenya	80.6	Q114
Kiribati	78.8	Q710
Korea, Rep.	85	Q884
Kosovo	91.9	Q1246
Kuwait	32.5	Q817
Kyrgyz Republic	76.9	Q813
Lao PDR	88.1	Q819
Latvia	100	Q211
Lebanon	52.5	Q822
Lesotho	75.6	Q1013
Liberia	83.8	Q1014
Libya	50	Q1016
Lithuania	93.8	Q37
Luxembourg	100	Q32
North Macedonia	85	Q221
Madagascar	71.9	Q1019
Malawi	80.6	Q1020
Malaysia	50	Q833
Maldives	73.8	Q826
Mali	60.6	Q912
Malta	88.8	Q233
Marshall Islands	58.8	Q709
Mauritania	45.6	Q1025
Mauritius	91.9	Q1027
Mexico	83.8	Q96
Micronesia, Fed. Sts.	61.3	Q702
Moldova	84.4	Q217
Mongolia	82.5	Q711
Montenegro	81.9	Q236
Morocco	75.6	Q1028
Mozambique	76.9	Q1029
Myanmar	58.8	Q836
Namibia	86.3	Q1030
Nepal	73.8	Q837
Netherlands	97.5	Q55
New Zealand	94.4	Q664
Nicaragua	86.3	Q811
Niger	59.4	Q1032
Nigeria	63.1	Q1033
Norway	96.9	Q20
Oman	38.8	Q842
Pakistan	49.4	Q843
Palau	58.8	Q695
Panama	79.4	Q804
Papua New Guinea	60	Q691
Paraguay	94.4	Q733
Peru	95	Q419
Philippines	81.3	Q928
Poland	93.8	Q36
Portugal	97.5	Q45
Puerto Rico	81.3	Q1183
Qatar	32.5	Q846
Romania	90.6	Q218
Russian Federation	73.1	Q159
Rwanda	78.1	Q1037
Samoa	80	Q683
San Marino	80	Q238
Sao Tome and Principe	86.3	Q1039
Saudi Arabia	70.6	Q851
Senegal	63.8	Q1041
Serbia	93.8	Q403
Seychelles	76.3	Q1042
Sierra Leone	63.1	Q1044
Singapore	82.5	Q334
Slovak Republic	94.4	Q214
Slovenia	93.8	Q215
Solomon Islands	56.9	Q685
Somalia	46.9	Q1045
South Africa	88.1	Q258
South Sudan	70	Q958
Spain	97.5	Q29
Sri Lanka	68.1	Q854
St. Kitts and Nevis	71.3	Q763
St. Lucia	83.8	Q760
St. Vincent and the Grenadines	68.1	Q757
Sudan	29.4	Q1049
Suriname	66.3	Q730
Sweden	100	Q34
Switzerland	85.6	Q39
Syrian Arab Republic	36.9	Q858
Tajikistan	78.8	Q863
Tanzania	84.4	Q924
Thailand	78.1	Q869
Timor-Leste	83.1	Q574
Togo	84.4	Q945
Tonga	58.8	Q678
Trinidad and Tobago	75	Q754
Tunisia	70	Q948
Turkey	82.5	Q43
Uganda	73.1	Q1036
Ukraine	78.8	Q212
United Arab Emirates	56.3	Q878
United Kingdom	97.5	Q145
United States	91.3	Q30
Uruguay	88.8	Q77
Uzbekistan	67.5	Q265
Vanuatu	58.1	Q686
Venezuela, RB	85	Q717
Vietnam	78.8	Q881
West Bank and Gaza	26.3	Q407199
Yemen, Rep.	26.9	Q805
Zambia	81.3	Q953
Zimbabwe	86.9	Q954
