Country	Investment (2010-14)	Investment (2015-19)	ID
Brazil	9664.6	2483.4	Q155
China	2027.5	8103.7	Q148
India	250.7	652.7	Q668
Indonesia	155	554.2	Q252
Mexico	2290.3	1961.9	Q96
Peru	1088.8	225.4	Q419
Philippines	178.3	539.8	Q928
Russian Federation	100	1200	Q159
