Country	average annual (1990-2000)	average annual (2000-2019)	ID
Algeria	20.3	2.4	Q262
Argentina	2.2	2.5	Q414
Armenia	-1.7	1.4	Q399
Australia	3	3	Q408
Austria	2.6	0.9	Q40
Bahamas, The	5.1	0.9	Q778
Bangladesh	4.2	8	Q902
Belarus	-1.9	-1	Q184
Belgium	1.5	0.6	Q31
Belize	3.6	3.9	Q242
Benin	2.5	4.1	Q962
Bolivia	3.6	5.9	Q750
Botswana	5.6	6.5	Q963
Brazil	1	0.4	Q155
Brunei Darussalam	2.1	0.7	Q921
Bulgaria	-7.2	2	Q219
Burkina Faso	2.9	6.6	Q965
Cambodia	7.2	5.3	Q424
Cameroon	-0.5	3.4	Q1009
Canada	0.1	1.3	Q16
Chile	3.6	4.2	Q298
Hong Kong SAR, China	4.1	3.3	Q8646
Macao SAR, China	4.6	4.3	Q14773
Colombia	9.8	5	Q739
Comoros	1.6	3.3	Q970
Congo, Dem. Rep.	-20.4	-4.2	Q974
Congo, Rep.	-5.5	3.4	Q971
Costa Rica	2.2	2.3	Q800
Croatia	1.3	0.7	Q224
Cuba	0	0.1	Q241
Cyprus	2.6	-0.8	Q229
Czech Republic	-0.1	1.4	Q213
Denmark	2.4	0.8	Q35
Dominican Republic	8.1	3.9	Q786
Ecuador	0.2	4.7	Q736
Egypt, Arab Rep.	5	4.5	Q79
El Salvador	4.1	1.1	Q792
Estonia	2.2	2.1	Q191
Eswatini	7.1	4.9	Q1050
Finland	1	0.7	Q33
France	1.4	1.3	Q142
Gabon	3.7	-1.7	Q1000
Germany	2.3	2.2	Q183
Greece	1.6	-2.1	Q41
Guatemala	5.1	2.7	Q774
Hungary	-1.5	1.9	Q28
Iceland	2.7	1.6	Q189
India	6.5	6.6	Q668
Indonesia	0.1	3.4	Q252
Iran, Islamic Rep.	1.9	1.6	Q794
Ireland	4.4	2	Q27
Israel	1.6	3.6	Q801
Italy	-0.2	-0.5	Q38
Japan	2.9	1.2	Q17
Jordan	6.9	-0.8	Q810
Kazakhstan	-7.1	3.8	Q232
Kenya	6.9	5.7	Q114
Korea, Rep.	4.3	4.4	Q884
Kyrgyz Republic	-7.4	0.8	Q813
Latvia	2.7	2.5	Q211
Lebanon	14.2	8.9	Q822
Lesotho	17.5	4	Q1013
Lithuania	1.3	0.3	Q37
Luxembourg	3.8	2.8	Q32
Madagascar	0	2.2	Q1019
Malaysia	4.8	4.6	Q833
Mali	5.3	4.2	Q912
Mauritania	-0.9	4.4	Q1025
Mauritius	3.7	2.9	Q1027
Mexico	2.1	1.9	Q96
Moldova	-13.1	-0.5	Q217
Morocco	-0.1	2.7	Q1028
Mozambique	3.5	11.7	Q1029
Namibia	3.3	3.6	Q1030
Netherlands	2.2	0.5	Q55
New Zealand	1.7	2.3	Q664
Nicaragua	-1.5	4.3	Q811
Niger	1	6.5	Q1032
Nigeria	1.8	-6	Q1033
North Macedonia	-0.4	0.7	Q221
Norway	2.9	1.9	Q20
Pakistan	0.7	6.1	Q843
Panama	1.5	4.8	Q804
Paraguay	3.2	4	Q733
Peru	5.2	6	Q419
Philippines	2.6	7.9	Q928
Poland	3.4	2.4	Q36
Portugal	2.9	-0.5	Q45
Puerto Rico	2.7	-1.4	Q1183
Romania	1.2	2.1	Q218
Russian Federation	-2.9	0.1	Q159
Rwanda	0	11	Q1037
Senegal	0.9	4.2	Q1041
Serbia	6.9	0.5	Q403
Sierra Leone	-1.1	3.7	Q1044
Singapore	8.8	4.3	Q334
Slovak Republic	0.1	2	Q214
Slovenia	2.9	0.6	Q215
South Africa	0.3	1.6	Q258
Spain	2.6	0.1	Q29
Sri Lanka	7.6	2.3	Q854
Sudan	5.5	3.4	Q1049
Sweden	0.7	1.5	Q34
Switzerland	0.9	1.5	Q39
Tanzania	-8.8	6.4	Q924
Thailand	6	2.5	Q869
Togo	0	10.2	Q945
Turkey	4.6	5.7	Q43
Uganda	6.4	4.3	Q1036
Ukraine	-4.1	0.9	Q212
United Kingdom	1.4	1.1	Q145
United States	1	0	Q30
Uruguay	2.6	2.5	Q77
Vietnam	3.2	7	Q881
West Bank and Gaza	12.5	2.6	Q407199
