Country	Winning films	Nominated films	Submitted films	ID
Italy	14	31	66	Q38
France	12	40	66	Q142
Spain	4	20	62	Q29
Japan	4	16	66	Q17
Sweden	3	16	58	Q34
Denmark	3	12	57	Q35
Netherlands	3	7	52	Q55
Germany	2	11	29	Q183
Hungary	2	10	55	Q28
Argentina	2	7	46	Q414
Switzerland	2	5	47	Q39
Austria	2	4	43	Q40
Iran	2	3	25	Q794
Poland	1	12	51	Q36
Mexico	1	9	52	Q96
Canada	1	7	45	Q16
Russia	1	7	27	Q159
Algeria	1	5	21	Q262
Taiwan	1	3	45	Q865
Czech Republic	1	3	26	Q213
Chile	1	2	24	Q298
South Africa	1	2	16	Q258
South Korea	1	1	31	Q884
Bosnia & Herzegovina	1	1	19	Q225
Ivory Coast	1	1	2	Q1008
Israel	0	10	52	Q801
Belgium	0	7	44	Q31
Norway	0	5	41	Q20
Greece	0	5	39	Q41
Brazil	0	4	47	Q155
India	0	3	52	Q668
Hong Kong	0	2	38	Q8646
China	0	2	33	Q148
United Kingdom	0	2	17	Q145
Lebanon	0	2	16	Q822
North Macedonia	0	2	16	Q221
Palestine	0	2	12	Q219060
Iceland	0	1	40	Q189
Finland	0	1	33	Q33
Colombia	0	1	28	Q739
Peru	0	1	26	Q419
Cuba	0	1	21	Q241
Uruguay	0	1	19	Q77
Georgia	0	1	18	Q230
Estonia	0	1	17	Q191
Vietnam	0	1	15	Q881
Kazakhstan	0	1	14	Q232
Australia	0	1	13	Q408
Puerto Rico	0	1	12	Q1183
Nepal	0	1	10	Q837
Cambodia	0	1	8	Q424
Jordan	0	1	3	Q810
Nicaragua	0	1	3	Q811
Mauritania	0	1	1	Q1025
Portugal	0	0	36	Q45
Romania	0	0	35	Q218
Egypt	0	0	34	Q79
Philippines	0	0	31	Q928
Bulgaria	0	0	30	Q219
Venezuela	0	0	29	Q717
Croatia	0	0	28	Q224
Serbia	0	0	26	Q403
Thailand	0	0	26	Q869
Turkey	0	0	26	Q43
Slovakia	0	0	23	Q214
Slovenia	0	0	23	Q215
Indonesia	0	0	21	Q252
Luxembourg	0	0	16	Q32
Bangladesh	0	0	15	Q902
Morocco	0	0	15	Q1028
Afghanistan	0	0	14	Q889
Singapore	0	0	13	Q334
Albania	0	0	12	Q222
Dominican Republic	0	0	12	Q786
Kyrgyzstan	0	0	12	Q813
Lithuania	0	0	12	Q37
Ukraine	0	0	12	Q212
Bolivia	0	0	11	Q750
Latvia	0	0	11	Q211
Iraq	0	0	9	Q796
Pakistan	0	0	9	Q843
Armenia	0	0	8	Q399
Costa Rica	0	0	8	Q800
Ecuador	0	0	8	Q736
Azerbaijan	0	0	7	Q227
Ireland	0	0	6	Q27
Kosovo	0	0	6	Q1246
Montenegro	0	0	6	Q236
New Zealand	0	0	6	Q664
Panama	0	0	6	Q804
Tunisia	0	0	6	Q948
Malaysia	0	0	5	Q833
Mongolia	0	0	5	Q711
Belarus	0	0	4	Q184
Ethiopia	0	0	4	Q115
Kenya	0	0	4	Q114
Paraguay	0	0	3	Q733
Saudi Arabia	0	0	3	Q851
Cameroon	0	0	2	Q1009
Chad	0	0	2	Q657
Greenland	0	0	2	Q223
Guatemala	0	0	2	Q774
Honduras	0	0	2	Q783
Kuwait	0	0	2	Q817
Moldova	0	0	2	Q217
Senegal	0	0	2	Q1041
Sri Lanka	0	0	2	Q854
Tajikistan	0	0	2	Q863
Yemen	0	0	2	Q805
Bhutan	0	0	1	Q917
Burkina Faso	0	0	1	Q965
Democratic Republic of the Congo	0	0	1	Q974
Fiji	0	0	1	Q712
Ghana	0	0	1	Q117
Haiti	0	0	1	Q790
Laos	0	0	1	Q819
Malawi	0	0	1	Q1020
Malta	0	0	1	Q233
Mozambique	0	0	1	Q1029
Niger	0	0	1	Q1032
Nigeria	0	0	1	Q1033
Syria	0	0	1	Q858
Tanzania	0	0	1	Q924
Uzbekistan	0	0	1	Q265
