Country	Revenue % (2010)	Revenue % (2018)	ID
Afghanistan	0	0	Q889
Albania	1	0	Q222
Angola	3	6	Q916
Argentina	4	5	Q414
Armenia	8	6	Q399
Australia	0	0	Q408
Austria	4	4	Q40
Azerbaijan	1	1	Q227
Bahamas, The	7	6	Q778
Bangladesh	3	3	Q902
Barbados	8	8	Q244
Belarus	3	0	Q184
Belgium	0	1	Q31
Belize	1	1	Q242
Bhutan	0	0	Q917
Bosnia and Herzegovina	0	0	Q225
Botswana	0	0	Q963
Brazil	1	1	Q155
Bulgaria	0	0	Q219
Burkina Faso	2	2	Q965
Cabo Verde	2	1	Q1011
Cambodia	0	0	Q424
Cameroon	4	4	Q1009
Central African Republic	2	13	Q929
Chile	8	-1	Q298
China	0	0	Q148
Macao SAR, China	1	1	Q14773
Colombia	6	2	Q739
Congo, Rep.	0	0	Q971
Costa Rica	3	3	Q800
Cote d'Ivoire	0	5	Q1008
Cyprus	5	4	Q229
Czech Republic	0	0	Q213
Denmark	4	5	Q35
Dominican Republic	1	1	Q786
Egypt, Arab Rep.	2	3	Q79
El Salvador	0	0	Q792
Equatorial Guinea	0	1	Q983
Finland	1	1	Q33
France	6	4	Q142
Gabon	3	6	Q1000
Georgia	1	1	Q230
Greece	2	4	Q41
Guatemala	2	1	Q774
Honduras	1	0	Q783
Hungary	1	3	Q28
Iceland	3	3	Q189
India	0	0	Q668
Indonesia	3	1	Q252
Ireland	2	2	Q27
Israel	4	4	Q801
Italy	5	5	Q38
Japan	2	3	Q17
Jordan	3	1	Q810
Kazakhstan	2	0	Q232
Korea, Rep.	7	3	Q884
Latvia	1	0	Q211
Lebanon	13	11	Q822
Lesotho	0	0	Q1013
Lithuania	0	0	Q37
Luxembourg	2	3	Q32
Madagascar	0	0	Q1019
Malawi	0	0	Q1020
Malaysia	1	2	Q833
Mali	11	2	Q912
Malta	1	0	Q233
Marshall Islands	1	1	Q709
Mauritius	2	2	Q1027
Mexico	1	1	Q96
Micronesia, Fed. Sts.	0	0	Q702
Moldova	0	0	Q217
Mongolia	2	1	Q711
Morocco	3	2	Q1028
Mozambique	1	5	Q1029
Myanmar	1	0	Q836
Nepal	0	1	Q837
Netherlands	2	3	Q55
New Zealand	0	0	Q664
Nicaragua	0	1	Q811
North Macedonia	2	0	Q221
Norway	1	0	Q20
Palau	5	2	Q695
Paraguay	0	1	Q733
Peru	4	7	Q419
Philippines	4	6	Q928
Poland	1	1	Q36
Portugal	3	2	Q45
Romania	0	0	Q218
Russian Federation	0	0	Q159
Samoa	0	0	Q683
San Marino	1	6	Q238
Saudi Arabia	1	2	Q851
Singapore	16	17	Q334
Slovak Republic	0	0	Q214
Slovenia	0	0	Q215
Solomon Islands	1	1	Q685
South Africa	1	1	Q258
Spain	0	0	Q29
Sri Lanka	12	0	Q854
St. Kitts and Nevis	2	2	Q763
St. Lucia	0	1	Q760
St. Vincent and the Grenadines	1	3	Q757
Sudan	4	0	Q1049
Sweden	28	30	Q34
Tanzania	7	2	Q924
Thailand	1	1	Q869
Timor-Leste	0	0	Q574
Togo	5	1	Q945
Tonga	0	0	Q678
Trinidad and Tobago	10	16	Q754
Turkey	4	2	Q43
Ukraine	0	0	Q212
United Kingdom	5	5	Q145
United States	1	1	Q30
Uruguay	2	5	Q77
Uzbekistan	0	0	Q265
Vanuatu	0	1	Q686
West Bank and Gaza	0	2	Q407199
Zambia	1	2	Q953
