Country	%_2000	%_2018	ID
Afghanistan	11	10.3	Q889
Albania	16.3	13.1	Q222
Algeria	29.8	9.9	Q262
Angola	4.8	6.7	Q916
Argentina	14	8.2	Q414
Armenia	8	17.8	Q399
Australia	6.5	5.3	Q408
Austria	4.8	5	Q40
Azerbaijan	11	4.1	Q227
Bahamas, The	6	10	Q778
Bahrain	0.6	0.1	Q398
Bangladesh	3.3	3.3	Q902
Barbados	7.4	9.2	Q244
Belarus	13.8	5.9	Q184
Belgium	5.3	6.3	Q31
Belize	7.2	4.5	Q242
Benin	1.1	2.2	Q962
Bhutan	1.2	1.8	Q917
Bolivia	2.3	3.5	Q750
Bosnia and Herzegovina	23.2	17.2	Q225
Botswana	14.8	14.3	Q963
Brazil	7.9	10.9	Q155
Brunei Darussalam	4.5	8.3	Q921
Bulgaria	16.6	5.7	Q219
Burkina Faso	2.4	3.8	Q965
Burundi	2.4	1.9	Q967
Cabo Verde	10.5	12.7	Q1011
Cambodia	0.6	0.5	Q424
Cameroon	8.5	2.9	Q1009
Canada	6.9	6.1	Q16
Central African Republic	4.1	3.8	Q929
Chad	1.4	2	Q657
Channel Islands	8.2	7.2	Q42314
Chile	9.4	6.7	Q298
China	3.6	4.7	Q148
Colombia	17.4	7.1	Q739
Comoros	4.3	4	Q970
Congo, Dem. Rep.	3.5	5	Q974
Congo, Rep.	18.6	9.1	Q971
Costa Rica	4.3	8	Q800
Cote d'Ivoire	4.6	2.8	Q1008
Croatia	15	7.6	Q224
Cuba	3.9	1.6	Q241
Cyprus	3.3	8	Q229
Czech Republic	7.3	1.8	Q213
Denmark	4	4.8	Q35
Djibouti	10.8	10.2	Q977
Dominican Republic	4.2	4.2	Q786
Ecuador	3.8	2.9	Q736
Egypt, Arab Rep.	5.1	8.1	Q79
El Salvador	9.1	4.2	Q792
Equatorial Guinea	6.8	6.6	Q983
Eritrea	5.6	5.3	Q986
Estonia	15	5.4	Q191
Eswatini	21.8	20.9	Q1050
Ethiopia	2.5	1.5	Q115
Fiji	3.4	3.5	Q712
Finland	10.4	7.4	Q33
France	8.5	9	Q142
French Polynesia	10.3	11.5	Q30971
Gabon	15.5	14.3	Q1000
Gambia, The	7.2	6.5	Q1005
Georgia	11.1	14.8	Q230
Germany	7.6	3.8	Q183
Ghana	10.1	4.1	Q117
Greece	7.5	15.4	Q41
Guam	16.9	5	Q16635
Guatemala	2.4	1.9	Q774
Guinea	5.6	5.4	Q1006
Guinea-Bissau	3	2.7	Q1007
Guyana	10.3	9.8	Q734
Haiti	7.1	10.9	Q790
Honduras	3.8	4.7	Q783
Hong Kong SAR, China	5.6	3.2	Q8646
Hungary	7.2	3.5	Q28
Iceland	1.3	2.9	Q189
India	5.8	5.3	Q668
Indonesia	5.7	4.7	Q252
Iran, Islamic Rep.	10.1	10.3	Q794
Iraq	9.2	10.1	Q796
Ireland	4.4	5.8	Q27
Israel	11.1	4	Q801
Italy	8.3	9.7	Q38
Jamaica	10.2	6.7	Q766
Japan	4.9	2.6	Q17
Jordan	12.4	13	Q810
Kazakhstan	11.1	4.3	Q232
Kenya	2.8	2.5	Q114
Korea, Dem. Peopleâ€™s Rep.	3.4	3.1	Q423
Korea, Rep.	5	3.9	Q884
Kuwait	0.4	0.9	Q817
Kyrgyz Republic	6.6	5.7	Q813
Lao PDR	1.9	0.7	Q819
Latvia	15	8.4	Q211
Lebanon	7.8	4.9	Q822
Lesotho	27.5	20.8	Q1013
Liberia	2.3	3.6	Q1014
Libya	16.3	15.3	Q1016
Lithuania	18.2	6.9	Q37
Luxembourg	1.8	5.3	Q32
Macao SAR, China	8.6	2.3	Q14773
Madagascar	5.7	1.7	Q1019
Malawi	5	4.7	Q1020
Malaysia	3	3.1	Q833
Maldives	1.6	6	Q826
Mali	4.9	6.5	Q912
Malta	6.2	3.8	Q233
Mauritania	9	8.3	Q1025
Mauritius	7.6	4.6	Q1027
Mexico	2.2	3.2	Q96
Moldova	9.8	3.5	Q217
Mongolia	6.2	6.8	Q711
Montenegro	26.3	15.2	Q236
Morocco	13.8	8.6	Q1028
Mozambique	4	3	Q1029
Myanmar	0.7	1.2	Q836
Namibia	19.1	21.1	Q1030
Nepal	2	1.6	Q837
Netherlands	2.2	3.7	Q55
New Caledonia	14.9	11.9	Q33788
New Zealand	6.3	4.1	Q664
Nicaragua	7.4	5.2	Q811
Niger	1.9	0.5	Q1032
Nigeria	3.9	7.5	Q1033
North Macedonia	30.5	21.3	Q221
Norway	3.6	4	Q20
Oman	4.7	1.5	Q842
Pakistan	0.7	4	Q843
Panama	3	3.2	Q804
Papua New Guinea	3.8	3.5	Q691
Paraguay	7.9	4	Q733
Peru	5.7	3.3	Q419
Philippines	3.5	2.1	Q928
Poland	14.6	3.8	Q36
Portugal	3	6.6	Q45
Puerto Rico	11.8	10.7	Q1183
Qatar	1.1	0.1	Q846
Romania	7.5	4.7	Q218
Russian Federation	10.8	4.9	Q159
Rwanda	1	1	Q1037
Samoa	4.1	7.5	Q683
Sao Tome and Principe	12.5	8.8	Q1039
Saudi Arabia	3.8	2.9	Q851
Senegal	4.5	6.2	Q1041
Serbia	10.8	12	Q403
Sierra Leone	4.5	5.2	Q1044
Singapore	3.9	3.8	Q334
Slovak Republic	19.4	6.1	Q214
Slovenia	6.8	4.6	Q215
Solomon Islands	2.4	0.6	Q685
Somalia	11.9	11.4	Q1045
South Africa	25.9	25.1	Q258
South Sudan	11.7	11.1	Q958
Spain	9.5	13.7	Q29
Sri Lanka	5.9	2.8	Q854
