Country	$ (2010)	$ (2018)	ID
Australia	115	38	Q408
Austria	49	6	Q40
Belarus	159	45	Q184
Belgium	9	16	Q31
Brazil	143	100	Q155
Brunei Darussalam	24	12	Q921
Bulgaria	4	14	Q219
Canada	250	111	Q16
Chile	100	0	Q298
China	1478	1140	Q148
Colombia	0	10	Q739
Czech Republic	4	88	Q213
Denmark	8	28	Q35
Finland	61	42	Q33
France	866	1773	Q142
Germany	2664	1071	Q183
India	5	43	Q668
Indonesia	8	15	Q252
Iran, Islamic Rep.	45	20	Q794
Israel	637	655	Q801
Italy	539	555	Q38
Jordan	117	1	Q810
Korea, Rep.	197	1066	Q884
Kyrgyz Republic	14	5	Q813
Montenegro	18	0	Q236
Netherlands	371	438	Q55
New Zealand	75	6	Q664
Norway	159	58	Q20
Pakistan	1	2	Q843
Poland	28	21	Q36
Portugal	0	3	Q45
Qatar	0	3	Q846
Russian Federation	6275	6506	Q159
Serbia	31	27	Q403
Singapore	25	47	Q334
Slovak Republic	4	12	Q214
South Africa	235	65	Q258
Spain	263	1025	Q29
Sweden	659	159	Q34
Switzerland	251	237	Q39
Turkey	72	265	Q43
Ukraine	485	195	Q212
United Arab Emirates	39	113	Q878
United Kingdom	1157	699	Q145
United States	8033	10414	Q30
Uzbekistan	209	68	Q265
