Country	Exports	ID
Albania	20.7	Q222
Algeria	0.5	Q262
Angola	21.9	Q916
Argentina	45	Q414
Armenia	29.9	Q399
Azerbaijan	10.5	Q227
Bangladesh	6.3	Q902
Belarus	13.5	Q184
Belize	10.1	Q242
Benin	7.8	Q962
Bhutan	10.7	Q917
Bolivia	9.6	Q750
Bosnia and Herzegovina	10.8	Q225
Botswana	2.4	Q963
Brazil	31.7	Q155
Bulgaria	15.3	Q219
Cabo Verde	5.6	Q1011
Cambodia	6.7	Q424
China	8.2	Q148
Colombia	40.8	Q739
Congo, Dem. Rep.	2.4	Q974
Costa Rica	18.3	Q800
Dominica	16.5	Q784
Dominican Republic	15.1	Q786
Ecuador	36.7	Q736
Egypt, Arab Rep.	15	Q79
El Salvador	45.8	Q792
Fiji	2	Q712
Georgia	23.7	Q230
Grenada	8.4	Q769
Guatemala	26.7	Q774
Guinea	2.2	Q1006
Haiti	1.2	Q790
Honduras	28.1	Q783
India	11.4	Q668
Indonesia	26	Q252
Iran, Islamic Rep.	0.8	Q794
Jamaica	20.4	Q766
Jordan	14.1	Q810
Kazakhstan	48.3	Q232
Kenya	22.6	Q114
Kosovo	11.4	Q1246
Kyrgyz Republic	31.3	Q813
Lao PDR	14.6	Q819
Lebanon	72.1	Q822
Lesotho	3.6	Q1013
North Macedonia	16.6	Q221
Madagascar	2.7	Q1019
Maldives	9.2	Q826
Mauritius	23.3	Q1027
Mexico	11.9	Q96
Moldova	12.9	Q217
Mongolia	101.6	Q711
Montenegro	63.7	Q236
Morocco	8.8	Q1028
Mozambique	13.1	Q1029
Myanmar	4.9	Q836
Nicaragua	19	Q811
Nigeria	8.3	Q1033
Pakistan	19.9	Q843
Papua New Guinea	26.1	Q691
Paraguay	15.7	Q733
Peru	12.2	Q419
Philippines	8.7	Q928
Romania	20.8	Q218
Russian Federation	19.6	Q159
Rwanda	12.6	Q1037
Samoa	9.8	Q683
Sao Tome and Principe	4.5	Q1039
Serbia	22.3	Q403
Solomon Islands	5.6	Q685
South Africa	19.9	Q258
Sri Lanka	36	Q854
St. Lucia	3.9	Q760
St. Vincent and the Grenadines	12.3	Q757
Sudan	4.2	Q1049
Eswatini	2.3	Q1050
Tajikistan	22	Q863
Thailand	5.4	Q869
Timor-Leste	0.3	Q574
Tonga	7.2	Q678
Tunisia	14	Q948
Turkey	36.7	Q43
Uganda	12.2	Q1036
Ukraine	20.7	Q212
Uzbekistan	5.8	Q265
Vietnam	7.1	Q881
Zambia	14.6	Q953
Zimbabwe	11.7	Q954
