Country	Water %	ID
Albania	43	Q222
Algeria	36	Q262
Antigua and Barbuda	63	Q781
Argentina	15	Q414
Armenia	6	Q399
Australia	23	Q408
Austria	21	Q40
Bangladesh	10	Q902
Belarus	36	Q184
Belgium	12	Q31
Bhutan	5	Q917
Bolivia	7	Q750
Brazil	23	Q155
Bulgaria	16	Q219
Cambodia	4	Q424
Canada	14	Q16
Chile	4	Q298
China	13	Q148
Colombia	27	Q739
Costa Rica	32	Q800
Croatia	80	Q224
Cuba	24	Q241
Cyprus	33	Q229
Denmark	55	Q35
Dominica	95	Q784
Dominican Republic	12	Q786
Egypt, Arab Rep.	12	Q79
Estonia	3	Q191
Finland	6	Q33
France	18	Q142
Greece	9	Q41
Grenada	85	Q769
Guatemala	25	Q774
Guyana	4	Q734
Haiti	13	Q790
Hungary	14	Q28
Iceland	29	Q189
India	7	Q668
Ireland	83	Q27
Italy	18	Q38
Jamaica	35	Q766
Japan	19	Q17
Jordan	44	Q810
Kazakhstan	4	Q232
Kenya	37	Q114
Kyrgyz Republic	3	Q813
Latvia	64	Q211
Libya	12	Q1016
Lithuania	24	Q37
Luxembourg	95	Q32
North Macedonia	41	Q221
Madagascar	3	Q1019
Maldives	95	Q826
Mali	2	Q912
Malta	34	Q233
Mexico	15	Q96
Moldova	14	Q217
Monaco	100	Q235
Mongolia	13	Q711
Montenegro	60	Q236
Morocco	10	Q1028
Mozambique	25	Q1029
Nepal	2	Q837
Netherlands	11	Q55
New Zealand	16	Q664
Nicaragua	19	Q811
Nigeria	40	Q1033
Norway	31	Q20
Pakistan	5	Q843
Panama	56	Q804
Paraguay	15	Q733
Peru	9	Q419
Philippines	8	Q928
Portugal	11	Q45
Puerto Rico	23	Q1183
Romania	15	Q218
Saudi Arabia	9	Q851
Slovak Republic	46	Q214
Slovenia	14	Q215
South Africa	27	Q258
South Sudan	29	Q958
Spain	14	Q29
St. Kitts and Nevis	99	Q763
St. Lucia	29	Q760
St. Vincent and the Grenadines	100	Q757
Sudan	4	Q1049
Suriname	8	Q730
Sweden	38	Q34
Switzerland	60	Q39
Tajikistan	6	Q863
Thailand	5	Q869
Trinidad and Tobago	62	Q754
Tunisia	15	Q948
Uganda	51	Q1036
Ukraine	22	Q212
United Kingdom	71	Q145
United States	13	Q30
Venezuela, RB	23	Q717
Zimbabwe	12	Q954
