Country	Lowest 20%	ID
Afghanistan	2.9	Q889
Albania	2.2	Q222
Algeria	0.8	Q262
American Samoa	2.2	Q16641
Andorra	1.8	Q228
Angola	-0.9	Q916
Antigua and Barbuda	4.7	Q781
Argentina	-2.2	Q414
Armenia	7.6	Q399
Aruba	2.0	Q21203
Australia	1.9	Q408
Austria	1.6	Q40
Azerbaijan	2.2	Q227
Bahamas, The	1.8	Q778
Bahrain	1.8	Q398
Bangladesh	8.2	Q902
Barbados	-0.1	Q244
Belarus	1.2	Q184
Belgium	1.4	Q31
Belize	0.3	Q242
Benin	6.9	Q962
Bhutan	3.0	Q917
Bolivia	2.2	Q750
Bosnia and Herzegovina	2.6	Q225
Botswana	3.0	Q963
Brazil	1.1	Q155
Brunei Darussalam	3.9	Q921
Bulgaria	3.4	Q219
Burkina Faso	5.7	Q965
Burundi	1.8	Q967
Cabo Verde	7.1	Q1011
Cambodia	4.0	Q424
Cameroon	1.7	Q1009
Canada	5.7	Q16
Cayman Islands	3.3	Q5785
Central African Republic	3.0	Q929
Chad	3.2	Q657
Chile	1.1	Q298
China	6.1	Q148
Hong Kong SAR, China	-1.2	Q8646
Macao SAR, China	-4.7	Q14773
Colombia	3.3	Q739
Comoros	2.7	Q970
Congo, Dem. Rep.	4.4	Q974
Congo, Rep.	-0.9	Q971
Costa Rica	2.1	Q800
Cote d'Ivoire	6.9	Q1008
Croatia	2.9	Q224
Cuba	2.2	Q241
Curacao	-2.2	Q25279
Cyprus	3.2	Q229
Czech Republic	2.6	Q213
Denmark	2.4	Q35
Djibouti	7.5	Q977
Dominica	5.7	Q784
Dominican Republic	5.1	Q786
Ecuador	0.1	Q736
Egypt, Arab Rep.	5.6	Q79
El Salvador	2.4	Q792
Equatorial Guinea	-5.6	Q983
Estonia	4.3	Q191
Eswatini	2.0	Q1050
Ethiopia	8.3	Q115
Fiji	1.1	Q712
Finland	1.0	Q33
France	1.5	Q142
Gabon	3.4	Q1000
Gambia, The	6.0	Q1005
Georgia	5.1	Q230
Germany	0.6	Q183
Ghana	6.5	Q117
Greece	1.9	Q41
Greenland	3.2	Q223
Grenada	3.1	Q769
Guam	-0.3	Q16635
Guatemala	3.8	Q774
Guinea	5.6	Q1006
Guinea-Bissau	4.6	Q1007
Guyana	4.7	Q734
Haiti	-0.9	Q790
Honduras	2.7	Q783
Hungary	4.9	Q28
Iceland	1.9	Q189
India	5.0	Q668
Indonesia	5.0	Q252
Iran, Islamic Rep.	3.8	Q794
Iraq	4.4	Q796
Ireland	5.5	Q27
Isle of Man	3.6	Q9676
Israel	3.5	Q801
Italy	0.3	Q38
Jamaica	0.7	Q766
Japan	0.7	Q17
Jordan	2.0	Q810
Kazakhstan	4.5	Q232
Kenya	5.4	Q114
Kiribati	2.2	Q710
Korea, Rep.	2.0	Q884
Kosovo	4.2	Q1246
Kuwait	0.4	Q817
Kyrgyz Republic	4.5	Q813
Lao PDR	4.7	Q819
Latvia	2.2	Q211
Lebanon	-5.6	Q822
Lesotho	1.5	Q1013
Liberia	-2.3	Q1014
Libya	2.5	Q1016
Lithuania	3.9	Q37
Luxembourg	2.3	Q32
Madagascar	4.8	Q1019
Malawi	4.4	Q1020
Malaysia	4.3	Q833
Maldives	5.2	Q826
Mali	5.0	Q912
Malta	4.4	Q233
Marshall Islands	3.6	Q709
Mauritania	5.9	Q1025
Mauritius	3.6	Q1027
Mexico	-0.1	Q96
Micronesia, Fed. Sts.	0.2	Q702
Moldova	3.5	Q217
Monaco	6.1	Q235
Mongolia	5.1	Q711
Montenegro	3.6	Q236
Morocco	2.3	Q1028
Mozambique	2.2	Q1029
Myanmar	2.9	Q836
Namibia	-1.1	Q1030
Nepal	0.0	Q837
Netherlands	7.0	Q55
New Caledonia	1.8	Q33788
Nicaragua	2.2	Q811
Niger	-3.9	Q1032
Nigeria	5.8	Q1033
North Macedonia	2.2	Q221
Northern Mariana Islands	3.6	Q16644
Norway	-19.6	Q20
Oman	1.2	Q842
Pakistan	0.5	Q843
Palau	1.0	Q695
Panama	1.7	Q804
Papua New Guinea	3.0	Q691
Paraguay	5.6	Q733
Peru	0.0	Q419
Philippines	2.2	Q928
Poland	6.0	Q36
Portugal	4.1	Q45
Puerto Rico	2.2	Q1183
Qatar	1.2	Q846
Romania	-0.2	Q218
Russian Federation	4.1	Q159
Rwanda	1.3	Q1037
Samoa	9.4	Q683
San Marino	3.5	Q238
Sao Tome and Principe	1.2	Q1039
Saudi Arabia	2.4	Q851
Senegal	0.3	Q1041
Serbia	5.3	Q403
Seychelles	4.2	Q1042
Sierra Leone	4.7	Q1044
Singapore	5.5	Q334
Sint Maarten (Dutch part)	0.7	Q26273
Slovak Republic	-8.4	Q214
Slovenia	2.4	Q215
Solomon Islands	2.4	Q685
Somalia	2.7	Q1045
South Sudan	0.2	Q958
Sri Lanka	2.0	Q854
St. Kitts and Nevis	2.3	Q763
St. Lucia	2.5	Q760
St. Martin (French part)	1.7	Q126125
Sudan	0.3	Q1049
Suriname	-2.6	Q730
Sweden	-0.8	Q34
Switzerland	1.2	Q39
Syrian Arab Republic	0.9	Q858
Tanzania	7.0	Q924
Thailand	5.8	Q869
Timor-Leste	2.4	Q574
Togo	3.4	Q945
Tonga	5.3	Q678
Trinidad and Tobago	0.3	Q754
Tunisia	0.0	Q948
Turkey	1.0	Q43
Turkmenistan	0.9	Q874
Turks and Caicos Islands	6.2	Q18221
Tuvalu	5.3	Q672
Uganda	9.8	Q1036
Ukraine	6.5	Q212
United Arab Emirates	3.2	Q878
United Kingdom	1.7	Q145
United States	1.4	Q30
Uruguay	2.3	Q77
Uzbekistan	0.2	Q265
Vanuatu	5.6	Q686
Venezuela, RB	2.9	Q717
Virgin Islands (U.S.)	7.0	Q11703
West Bank and Gaza	-1.7	Q407199
Yemen, Rep.	0.9	Q805
Zambia	0.8	Q953
Zimbabwe	1.7	Q954
