Country	Male	Female	ID
Afghanistan	20.2	7.7	Q889
Albania	42.6	45.3	Q222
Algeria	67.2	74.6	Q262
Angola	41.5	17.6	Q916
Argentina	72.3	77.4	Q414
Armenia	58.7	61.2	Q399
Australia	79.7	88	Q408
Austria	85.7	90.6	Q40
Azerbaijan	36.4	26.9	Q227
Bahamas, The	80.6	91.7	Q778
Bahrain	97.3	96.9	Q398
Bangladesh	43.4	31.7	Q902
Barbados	78.6	88.2	Q244
Belarus	94.4	97.2	Q184
Belgium	83.1	89.3	Q31
Belize	66.5	67.7	Q242
Benin	16.4	5	Q962
Bhutan	36.4	15.8	Q917
Bolivia	34.4	27.8	Q750
Bosnia and Herzegovina	78.5	78.9	Q225
Botswana	73.7	68.6	Q963
Brazil	63	73	Q155
Brunei Darussalam	90.8	91.5	Q921
Bulgaria	85.7	91.4	Q219
Burkina Faso	15.2	9.6	Q965
Burundi	7.8	3.1	Q967
Cabo Verde	68.4	51.3	Q1011
Cambodia	56.7	41.6	Q424
Cameroon	31.2	14.2	Q1009
Canada	81.8	87.9	Q16
Central African Republic	10.4	3.8	Q929
Chad	11.5	1.1	Q657
Channel Islands	81.9	89.7	Q42314
Chile	71.8	74.4	Q298
China	55.3	50	Q148
Hong Kong SAR, China	88.2	94.8	Q8646
Macao SAR, China	91.3	96.5	Q14773
Colombia	46.9	51	Q739
Comoros	41	17.8	Q970
Congo, Dem. Rep.	27.3	8.7	Q974
Congo, Rep.	36.3	8.8	Q971
Costa Rica	73.6	77	Q800
Cote d'Ivoire	33.9	17.1	Q1008
Croatia	86.1	90	Q224
Cuba	64.4	87.2	Q241
Cyprus	84.1	89.9	Q229
Czech Republic	79.4	87.6	Q213
Denmark	89.3	94.8	Q35
Djibouti	58	44.4	Q977
Dominican Republic	47.7	69.5	Q786
Ecuador	56.2	41.1	Q736
Egypt, Arab Rep.	69.6	63.9	Q79
El Salvador	66.3	54	Q792
Equatorial Guinea	17.3	8.4	Q983
Eritrea	18.3	6.9	Q986
Estonia	85.7	93.2	Q191
Eswatini	70.7	58.7	Q1050
Ethiopia	15.5	10.5	Q115
Fiji	57.5	51	Q712
Finland	83.1	90.8	Q33
France	85.3	91.6	Q142
French Polynesia	80.7	86.8	Q30971
Gabon	69.9	59.5	Q1000
Gambia, The	34.1	15.6	Q1005
Georgia	48.4	49	Q230
Germany	87.8	92.7	Q183
Ghana	32.5	17.1	Q117
Greece	63	71.6	Q41
Guam	84.9	91.4	Q16635
Guatemala	64.2	50.3	Q774
Guinea	14.8	3.2	Q1006
Guinea-Bissau	30.1	14.6	Q1007
Guyana	67.4	67.2	Q734
Haiti	34.5	17.8	Q790
Honduras	52.8	41.5	Q783
Hungary	87.7	91.9	Q28
Iceland	84.6	91.5	Q189
India	23.5	23.2	Q668
Indonesia	52.8	40.9	Q252
Iran, Islamic Rep.	54.4	56.5	Q794
Iraq	76.1	90.7	Q796
Ireland	79	92.1	Q27
Israel	84.8	90.7	Q801
Italy	72.7	83.1	Q38
Jamaica	55.7	67	Q766
Japan	88.5	91.3	Q17
Jordan	82.7	96.6	Q810
Kazakhstan	74.7	76.4	Q232
Kenya	56.2	39.9	Q114
Korea, Dem. Peopleâ€™s Rep.	14.6	5.7	Q423
Korea, Rep.	73	77.4	Q884
Kuwait	97.8	99.4	Q817
Kyrgyz Republic	60.5	70.9	Q813
Lao PDR	25.4	12.3	Q819
Latvia	86.6	90.3	Q211
Lebanon	57.4	84.1	Q822
Lesotho	85.4	80.3	Q1013
Liberia	32.6	9	Q1014
Libya	92.3	95	Q1016
Lithuania	85.8	90.8	Q37
Luxembourg	90.4	92.6	Q32
North Macedonia	73.6	80.6	Q221
Madagascar	13.4	8.4	Q1019
Malawi	44.8	33.8	Q1020
Malaysia	75	73.9	Q833
Maldives	79.6	64.3	Q826
Mali	23.1	11.9	Q912
Malta	81.6	91.9	Q233
Mauritania	50.6	31	Q1025
Mauritius	75.9	85.2	Q1027
Mexico	68.5	68.1	Q96
Moldova	58.6	65.6	Q217
Mongolia	47.1	53.9	Q711
Montenegro	72.1	86	Q236
Morocco	52.8	38.2	Q1028
Mozambique	23.6	5.8	Q1029
Myanmar	37.3	37.5	Q836
Namibia	67.8	57.1	Q1030
Nepal	32.6	10.6	Q837
Netherlands	80.3	86.9	Q55
New Caledonia	80.2	86.5	Q33788
New Zealand	78.6	85.4	Q664
Nicaragua	56.9	49.9	Q811
Niger	8	2.3	Q1032
Nigeria	22.8	13.1	Q1033
Norway	91.6	95.7	Q20
Oman	96.3	95.5	Q842
Pakistan	46.6	28.4	Q843
Panama	61.3	64.5	Q804
Papua New Guinea	28.4	11.9	Q691
Paraguay	57.5	56.1	Q733
Peru	49.9	39.8	Q419
Philippines	65.6	60.1	Q928
Poland	76.3	84	Q36
Portugal	79.3	87.6	Q45
Puerto Rico	76.5	92	Q1183
Qatar	99.6	99.6	Q846
Romania	73.8	76.1	Q218
Russian Federation	92.2	94.2	Q159
Rwanda	41.7	22.3	Q1037
Samoa	63.2	74.2	Q683
Sao Tome and Principe	53.8	42.5	Q1039
Saudi Arabia	94.6	98.6	Q851
Senegal	39.1	27.1	Q1041
Serbia	68.3	76.1	Q403
Sierra Leone	17.2	5.2	Q1044
Singapore	82.5	90.9	Q334
Slovak Republic	81.1	90.1	Q214
Slovenia	82	88.1	Q215
Solomon Islands	41.2	24.6	Q685
Somalia	13.4	5.4	Q1045
South Africa	82	87.5	Q258
South Sudan	14.8	8	Q958
Spain	80.6	88.2	Q29
Sri Lanka	59	55.6	Q854
St. Lucia	58.6	69.9	Q760
St. Vincent and the Grenadines	71.4	79	Q757
Sudan	48.1	33.5	Q1049
Suriname	83.9	89.3	Q730
Sweden	86.7	94.4	Q34
Switzerland	83.4	87.4	Q39
Syrian Arab Republic	59.4	83.7	Q858
Tajikistan	59.2	52.7	Q863
Tanzania	18.2	10	Q924
Thailand	48.6	48.4	Q869
Timor-Leste	40.2	19.8	Q574
Togo	23.1	11.1	Q945
Tonga	49.5	41.7	Q678
Trinidad and Tobago	71	84.1	Q754
Tunisia	69.8	82.4	Q948
Turkey	69.2	65.5	Q43
Turkmenistan	72	73.9	Q874
Uganda	27.8	14.8	Q1036
Ukraine	82.2	86.3	Q212
United Arab Emirates	96	96.3	Q878
United Kingdom	81.2	89.1	Q145
United States	92.8	94.8	Q30
Uruguay	68.6	75.8	Q77
Uzbekistan	57.7	54.3	Q265
Vanuatu	30.9	24.2	Q686
Venezuela, RB	60.8	63.4	Q717
Vietnam	48.3	38	Q881
Virgin Islands (U.S.)	83.2	91.2	Q11703
West Bank and Gaza	68.7	75.5	Q407199
Yemen, Rep.	48.5	30.3	Q805
Zambia	30.5	11.7	Q953
Zimbabwe	44.8	25.3	Q954
