Country	% GDP (2010)	% GDP (2018)	% Expenditure (2010)	% Expenditure (2018)	ID
Afghanistan	1.9	1	9.4	3.7	Q889
Albania	1.6	1.2	5.3	4.1	Q222
Algeria	3.5	5.3	9.4	13.8	Q262
Angola	4.2	1.8	10.6	9.4	Q916
Argentina	0.8	0.9	2.4	2.1	Q414
Armenia	4.3	4.8	16.3	20.9	Q399
Australia	1.9	1.9	5	5.1	Q408
Austria	0.8	0.7	1.6	1.5	Q40
Azerbaijan	2.8	3.8	8.7	11	Q227
Bahrain	3.3	3.6	11.5	10.9	Q398
Bangladesh	1.3	1.4	11.2	10.2	Q902
Belarus	1.3	1.3	30.3	31.9	Q184
Belgium	1.1	0.9	2	1.8	Q31
Belize	1.1	1.3	3.8	3.9	Q242
Benin	1	0.9	4.9	3.7	Q962
Bolivia	1.7	1.5	5.3	3.9	Q750
Bosnia and Herzegovina	1.3	1.1	2.6	2.7	Q225
Botswana	2.7	2.8	6.2	8.6	Q963
Brazil	1.5	1.5	4	3.9	Q155
Brunei Darussalam	2.9	2.4	7.9	7.8	Q921
Bulgaria	1.8	1.7	5.1	4.8	Q219
Burkina Faso	1.4	2.1	5.7	8	Q965
Burundi	2.5	1.9	6.7	8.4	Q967
Cambodia	1.5	2.2	7.1	9.2	Q424
Cameroon	1.5	1.3	8.5	6	Q1009
Canada	1.2	1.3	2.8	3.1	Q16
Cabo Verde	0.5	0.6	1.3	1.8	Q1011
Central African Republic	2.6	1.4	14	8.4	Q929
Chad	5.8	2.1	23.7	14.6	Q657
Chile	2.2	1.9	9.6	7.4	Q298
China	1.9	1.9	7.6	5.5	Q148
Colombia	3.6	3.2	12.4	11.6	Q739
Congo, Dem. Rep.	0.9	0.7	5.4	5.5	Q974
Congo, Rep.	1.8	2.5	7.2	10.4	Q971
Costa Rica	0	0	0	0	Q800
Cote d'Ivoire	1.6	1.4	7.8	6	Q1008
Croatia	1.7	1.5	3.6	3.1	Q224
Cyprus	1.9	1.6	4.4	4.3	Q229
Czech Republic	1.2	1.1	2.8	2.8	Q213
Denmark	1.4	1.2	2.5	2.3	Q35
Dominican Republic	0.7	0.7	4.2	4.1	Q786
Ecuador	3	2.4	8.7	6.4	Q736
Egypt, Arab Rep.	2	1.2	6.2	4.1	Q79
El Salvador	1.1	1	4.4	4.2	Q792
Equatorial Guinea	2.5	0.2	6.2	0.6	Q983
Estonia	1.7	2.1	4.2	5.1	Q191
Ethiopia	1.1	0.6	6.1	3.9	Q115
Fiji	1.6	0.9	5.8	2.7	Q712
Finland	1.5	1.4	2.7	2.6	Q33
France	2.3	2.3	4.1	4.1	Q142
Gabon	1.9	1.5	8.1	9.2	Q1000
Gambia, The	0.8	1.1	3.4	3.3	Q1005
Georgia	3.9	1.9	11.8	6.6	Q230
Germany	1.4	1.2	2.9	2.8	Q183
Ghana	0.4	0.4	1.4	1.6	Q117
Greece	2.7	2.4	5.2	4.9	Q41
Guatemala	0.4	0.4	2.8	2.9	Q774
Guinea	3	2.5	11.4	9.9	Q1006
Guyana	1.4	1.7	4.4	4.4	Q734
Honduras	1.1	1.7	4.1	6.5	Q783
Hungary	1	1.1	2.1	2.2	Q28
India	2.7	2.4	9.9	8.7	Q668
Indonesia	0.6	0.7	3.7	4.3	Q252
Iran, Islamic Rep.	2.9	2.7	15.2	15.8	Q794
Iraq	2.7	2.7	5.5	8.4	Q796
Ireland	0.6	0.3	0.9	1.3	Q27
Israel	6.2	4.3	15.5	11.1	Q801
Italy	1.5	1.3	3	2.8	Q38
Jamaica	0.9	1.4	2.6	4.4	Q766
Japan	1	0.9	2.5	2.5	Q17
Jordan	5.9	4.7	17.9	15	Q810
Kazakhstan	1	1	4.5	4.8	Q232
Kenya	1.6	1.2	6.4	4.8	Q114
Korea, Rep.	2.6	2.6	13.2	12.4	Q884
Kosovo	0.7	0.8	2.3	2.7	Q1246
Kuwait	3.8	5.1	8.4	11	Q817
Kyrgyz Republic	1.6	1.6	4.3	4.4	Q813
Latvia	1.1	2	2.5	5.2	Q211
Lebanon	4.1	5	14.1	15.6	Q822
Lesotho	2.7	1.8	5.6	3.8	Q1013
Liberia	0.7	0.8	1.7	1.5	Q1014
Lithuania	0.9	2	2.1	5.8	Q37
Luxembourg	0.5	0.6	1.2	1.4	Q32
North Macedonia	1.4	1	4.3	3.1	Q221
Madagascar	0.7	0.6	4.6	3.5	Q1019
Malawi	0.7	0.8	2.6	3.1	Q1020
Malaysia	1.5	1	5.6	4.3	Q833
Mali	1.4	2.9	6.8	14.3	Q912
Malta	0.7	0.5	1.6	1.3	Q233
Mauritania	3.1	3	13.2	11.2	Q1025
Mauritius	0.2	0.2	0.6	0.6	Q1027
Mexico	0.6	0.5	2	2.1	Q96
Moldova	0.3	0.3	0.8	1	Q217
Mongolia	0.8	0.8	2.4	2.5	Q711
Montenegro	1.8	1.5	3.9	3.2	Q236
Morocco	3.4	3.1	10.9	10.5	Q1028
Mozambique	1	1	3.3	3.2	Q1029
Myanmar	3.7	2.9	19.6	15.2	Q836
Namibia	3.5	3.3	10.5	8.8	Q1030
Nepal	1.6	1.4	8.3	4.5	Q837
Netherlands	1.3	1.2	2.8	2.9	Q55
New Zealand	1.4	1.2	3.1	3	Q664
Nicaragua	0.5	0.6	2.3	2.2	Q811
Niger	1.2	2.5	5.7	9.5	Q1032
Nigeria	0.5	0.5	3.2	4	Q1033
Norway	1.5	1.6	3.4	3.4	Q20
Oman	6.3	8.2	18.5	19	Q842
Pakistan	3.4	4	16.8	18.5	Q843
Panama	0	0	0	0	Q804
Papua New Guinea	0.3	0.3	1.8	1.4	Q691
Paraguay	0.8	0.9	5.1	4.8	Q733
Peru	1.5	1.2	7	5.6	Q419
Philippines	1.2	1.1	6.4	5.4	Q928
Poland	1.8	2	4	4.8	Q36
Portugal	2	1.8	3.8	4.1	Q45
Romania	1.3	1.9	3.3	6	Q218
Russian Federation	3.6	3.9	10.1	11.4	Q159
Rwanda	1.3	1.2	5.1	4.7	Q1037
Saudi Arabia	8.6	8.8	25.9	24.6	Q851
Senegal	1.5	1.9	11.4	8.8	Q1041
Serbia	2.2	1.9	4.9	4.4	Q403
Seychelles	0.7	1.4	2.1	3.9	Q1042
Sierra Leone	1	0.8	4.8	3.1	Q1044
Singapore	3.4	3.1	22.2	17.1	Q334
Slovak Republic	1.3	1.2	3	3	Q214
Slovenia	1.6	1	3.5	2.5	Q215
South Africa	1.1	1	3.5	2.9	Q258
South Sudan	4.1	1.3	29	3.4	Q958
Spain	1.4	1.3	3	3.1	Q29
Sri Lanka	2.7	1.9	13.5	10.1	Q854
Sudan	6	2.3	29.1	11.5	Q1049
Eswatini	2.3	1.5	7.5	5.2	Q1050
Sweden	1.2	1	2.4	2.1	Q34
Switzerland	0.7	0.7	2.2	2.1	Q39
Tanzania	0.9	1.2	4.5	6.9	Q924
Thailand	1.6	1.3	6.7	6.3	Q869
Timor-Leste	0.6	0.6	2.5	1.4	Q574
Togo	1.8	2	7.9	7.1	Q945
Trinidad and Tobago	0.6	0.8	1.9	2.4	Q754
Tunisia	1.3	2.1	5.2	6.9	Q948
Turkey	2.3	2.5	6.4	7.1	Q43
Uganda	3	1.4	16	7.1	Q1036
Ukraine	2.7	3.8	5.6	8.7	Q212
United Kingdom	2.4	1.8	5.3	4.6	Q145
United States	4.7	3.2	11.7	9	Q30
Uruguay	1.9	2	6.2	5.8	Q77
Vietnam	2.3	2.3	7.7	8.1	Q881
Zambia	1.4	1.4	7.7	5.7	Q953
Zimbabwe	1	2.2	4.5	5.6	Q954
