Country	2017 %	2013 %	2012 % 	 2011 %	ID
Qatar	0.74	0.11	0.1	0.02	Q846
Malta	0.6	0.61	0.61	0.72	Q233
Saudi Arabia	1.14	1.32	1.31	1.26	Q851
Barbados	1.32	1.16	1.15	2.44	Q244
Grenada	1.42	1.44	1.46	2.29	Q769
Iceland	1.52	1.55	1.53	1.56	Q189
Bahrain	1.69	1.81	1.81	1.66	Q398
Kiribati	1.78	1.78	1.78	1.88	Q710
United Arab Emirates	1.97	2.1	2.07	4.09	Q878
Sweden	2.12	2.26	2.15	2.0	Q34
Norway	2.19	2.35	2.31	2.28	Q20
Finland	2.21	2.28	2.24	2.06	Q33
Singapore	2.27	2.49	2.54	2.85	Q334
Egypt	2.29	2.34	2.33	2.38	Q79
Estonia	2.36	2.52	2.5	2.25	Q191
Switzerland	2.37	2.61	2.59	2.55	Q39
Luxembourg	2.43	2.68	2.65	2.7	Q32
Seychelles	2.55	2.58	2.6	2.68	Q1042
France	2.62	2.79	2.78	2.76	Q142
Oman	2.64	2.74	2.72	2.8	Q842
Cyprus	2.68	2.77	2.81	3.46	Q229
Denmark	2.89	3.1	3.09	2.86	Q35
Lithuania	2.92	3.18	3.23	2.89	Q37
Germany	2.95	3.24	3.27	2.96	Q183
Ukraine	2.97	3.14	3.19	3.02	Q212
Canada	3.01	3.18	3.18	2.57	Q16
Spain	3.05	3.38	3.4	3.29	Q29
Belgium	3.07	3.42	3.48	3.51	Q31
Mongolia	3.08	3.1	3.24	3.43	Q711
Belarus	3.11	3.31	3.32	2.98	Q184
Poland	3.2	3.46	3.53	3.42	Q36
Kuwait	3.28	3.7	3.71	3.71	Q817
Latvia	3.31	3.48	3.51	3.09	Q211
Czech Republic	3.37	3.61	3.67	4.15	Q213
Slovakia	3.39	3.63	3.69	3.38	Q214
Austria	3.39	3.8	3.75	3.41	Q40
Slovenia	3.41	3.69	3.81	3.72	Q215
Portugal	3.45	3.8	3.82	3.62	Q45
Paraguay	3.48	3.85	3.84	4.12	Q733
United Kingdom	3.54	3.71	3.65	3.61	Q145
Kazakhstan	3.56	3.84	3.87	4.04	Q232
Argentina	3.56	3.76	3.8	3.77	Q414
Russia	3.58	3.78	3.83	3.56	Q159
United States	3.76	3.99	3.99	3.72	Q30
Libya	3.79	3.93	3.8	3.67	Q1016
Croatia	3.97	4.24	4.35	3.71	Q224
Uruguay	4.03	4.09	4.12	3.94	Q77
Brazil	4.09	4.26	4.3	4.26	Q155
Bahamas	4.14	3.99	4.17	4.52	Q778
Australia	4.22	4.51	4.57	4.28	Q408
Bulgaria	4.22	4.43	4.56	4.08	Q219
Italy	4.42	4.88	4.82	4.74	Q38
Equatorial Guinea	4.46	4.49	4.47	6.72	Q983
Iraq	4.49	4.83	4.95	5.77	Q796
New Zealand	4.55	4.69	4.44	4.28	Q664
Jordan	4.58	4.88	4.9	5.13	Q810
Bolivia	4.58	5.08	5.13	5.16	Q750
South Korea	4.59	4.94	4.89	4.14	Q884
Ireland	4.6	4.69	4.5	4.15	Q27
Iran	4.73	4.92	4.98	5.11	Q794
Moldova	4.79	5.05	5.23	4.78	Q217
Lebanon	5.01	5.05	5.1	5.01	Q822
Nepal	5.12	5.53	5.69	6.15	Q837
Botswana	5.14	5.37	5.21	5.56	Q963
Turkey	5.2	5.52	5.68	5.38	Q43
Hungary	5.32	5.69	5.87	5.49	Q28
Namibia	5.37	5.68	5.72	6.63	Q1030
Tunisia	5.4	5.9	5.9	5.72	Q948
Azerbaijan	5.54	6.19	6.25	5.86	Q227
South Africa	5.58	5.8	5.9	5.71	Q258
Laos	5.59	5.71	5.73	5.8	Q819
Syria	5.69	5.67	5.68	6.19	Q858
Macedonia	5.87	6.28	6.1	6.8	Q221
Romania	5.92	6.61	6.78	6.43	Q218
Venezuela	5.93	6.16	6.13	6.11	Q717
Mexico	5.97	6.39	6.39	6.53	Q96
Yemen	5.97	6.03	5.98	6.83	Q805
Gabon	6.04	5.93	6.2	6.3	Q1000
Armenia	6.07	6.91	7.05	6.36	Q399
