Country	Goveernment % (2010)	Goveernment % (2018)	ID
Afghanistan	2.6	0.7	Q889
Albania	0.1	1.9	Q222
Angola	-1.7	13.6	Q916
Armenia	-1.4	1.6	Q399
Australia	0	1.2	Q408
Azerbaijan	15.6	7.1	Q227
Bahamas, The	0.6	0.3	Q778
Bangladesh	2	2.3	Q902
Barbados	1.6	3	Q244
Belarus	1	4.3	Q184
Bhutan	2.3	4.3	Q917
Bosnia and Herzegovina	-0.4	1.4	Q225
Botswana	-2.4	0.3	Q963
Brazil	4.9	-1.1	Q155
Burkina Faso	0.3	-0.5	Q965
Cambodia	-0.3	1.8	Q424
Cameroon	0.9	-0.2	Q1009
Central African Republic	0.3	-0.5	Q929
Chile	2	0	Q298
Colombia	3.2	-0.5	Q739
Congo, Rep.	4.9	-2	Q971
Cote d'Ivoire	1.1	0.2	Q1008
Dominican Republic	0.8	1	Q786
El Salvador	-1.7	-3.2	Q792
Ethiopia	18.1	0.4	Q115
Fiji	1.7	2.1	Q712
Gabon	-0.2	0.8	Q1000
Georgia	1.6	0.8	Q230
Ghana	-0.9	0.1	Q117
Guatemala	0.1	0.2	Q774
Honduras	-0.1	1.3	Q783
Hungary	-1.3	1.7	Q28
Iceland	2.5	-0.1	Q189
India	0.9	0.8	Q668
Indonesia	0.7	0.7	Q252
Ireland	-7	5.4	Q27
Israel	-1.7	-0.5	Q801
Jamaica	3.3	-2.7	Q766
Japan	-0.5	0.6	Q17
Kazakhstan	7.2	2.4	Q232
Kiribati	-6	16.1	Q710
Korea, Rep.	2.7	3.5	Q884
Lebanon	-2.9	-0.4	Q822
Lesotho	-4	-2.5	Q1013
Madagascar	1.2	0.6	Q1019
Malawi	0.3	0	Q1020
Malaysia	-0.1	0.1	Q833
Mali	0.4	-1.4	Q912
Malta	2.6	2.1	Q233
Marshall Islands	3.9	0	Q709
Mauritius	-0.6	-2.8	Q1027
Mexico	-0.6	0.4	Q96
Micronesia, Fed. Sts.	0.7	19.4	Q702
Moldova	0.6	-0.4	Q217
Mongolia	2.9	-0.2	Q711
Morocco	0	-0.1	Q1028
Mozambique	2.1	3.3	Q1029
Myanmar	0	0.1	Q836
Namibia	-2.3	-0.6	Q1030
Nepal	1	0.5	Q837
North Macedonia	-0.9	1.6	Q221
Norway	14.3	11.6	Q20
Palau	3.9	10.3	Q695
Paraguay	1.8	2.7	Q733
Peru	-0.6	-3.3	Q419
Philippines	0.5	-0.3	Q928
Russian Federation	-0.3	3.9	Q159
Samoa	-0.9	1.9	Q683
Seychelles	15.9	2.7	Q1042
Singapore	17	13.7	Q334
Solomon Islands	7	0.6	Q685
South Africa	3.1	0.7	Q258
Spain	1.3	2.2	Q29
Sri Lanka	0.9	0.3	Q854
Tanzania	6.7	0.1	Q924
Thailand	1.8	1.9	Q869
Timor-Leste	186.4	-3.3	Q574
Togo	-0.2	0.1	Q945
Tonga	-0.7	3.8	Q678
Trinidad and Tobago	-3	0.1	Q754
Turkey	0.3	0.9	Q43
Ukraine	3.3	-0.2	Q212
United Arab Emirates	-0.3	0.3	Q878
United Kingdom	0.6	0.8	Q145
United States	1.6	1.2	Q30
Uruguay	-2.3	-0.7	Q77
Uzbekistan	7.3	2.6	Q265
Vanuatu	-0.9	3.4	Q686
Zambia	1.1	0.2	Q953
