Country	Consumption (2000-2018)	Consumption (2017-2018)	ID
Afghanistan	1.9	0.3	Q889
Albania	3.7	4.3	Q222
Angola	-0.1	7.8	Q916
Antigua and Barbuda	-0.3	2.6	Q781
Argentina	0.9	4	Q414
Armenia	-0.9	7.1	Q399
Australia	0.4	3.6	Q408
Austria	0.6	-0.3	Q40
Azerbaijan	-4.7	18.4	Q227
Bahamas, The	4.9	21.5	Q778
Bahrain	-2.2	15.1	Q398
Bangladesh	0.4	0	Q902
Barbados	0.8	2.1	Q244
Belarus	1	-0.1	Q184
Belgium	0.8	1.5	Q31
Belize	0.3	4.8	Q242
Benin	0.9	3.4	Q962
Bhutan	1.3	8.5	Q917
Bolivia	2.4	6.1	Q750
Bosnia and Herzegovina	7	-2.6	Q225
Botswana	2.8	6.5	Q963
Brazil	0.1	0.2	Q155
Brunei Darussalam	-0.6	2.9	Q921
Bulgaria	0.4	-1.3	Q219
Burkina Faso	3.2	6.6	Q965
Burundi	-1.2	1.4	Q967
Cabo Verde	1.8	-1.6	Q1011
Cambodia	5.4	7.3	Q424
Cameroon	3.3	2.6	Q1009
Canada	0.8	0.2	Q16
Central African Republic	7	-7.6	Q929
Chad	2.9	7.9	Q657
Chile	0.3	5.6	Q298
China	3.1	-11.3	Q148
Hong Kong SAR, China	-0.2	-0.4	Q8646
Macao SAR, China	0.8	22.1	Q14773
Colombia	0.8	6.5	Q739
Comoros	0.8	-0.2	Q970
Congo, Dem. Rep.	-3.6	12.8	Q974
Congo, Rep.	-1.4	2.1	Q971
Costa Rica	-0.7	0.4	Q800
Cote d'Ivoire	-6	-10.6	Q1008
Croatia	-0.8	-2.3	Q224
Cyprus	0.1	-12	Q229
Czech Republic	0	-2.3	Q213
Denmark	-0.3	0.7	Q35
Dominica	12.4	29.1	Q784
Dominican Republic	0.8	3.6	Q786
Ecuador	3.5	7.5	Q736
Egypt, Arab Rep.	-0.2	3.6	Q79
El Salvador	4.8	3.6	Q792
Equatorial Guinea	-1.2	-2.5	Q983
Estonia	1.6	-1	Q191
Eswatini	0.3	-1.9	Q1050
Ethiopia	6.8	10.8	Q115
Fiji	0.7	8.6	Q712
Finland	0.6	-1.1	Q33
France	1	1.4	Q142
Gabon	0	1.8	Q1000
Gambia, The	0	-1.3	Q1005
Georgia	0.5	0.6	Q230
Germany	0.2	1.5	Q183
Ghana	7.5	2.1	Q117
Greece	1.7	-3.6	Q41
Grenada	5.7	-1.4	Q769
Guatemala	3.5	0.9	Q774
Guinea	5.4	11.8	Q1006
Guinea-Bissau	-0.5	-7.4	Q1007
Guyana	1.7	0.4	Q734
Haiti	8.9	5.2	Q790
Honduras	0.7	6.2	Q783
Hungary	-0.3	-2.2	Q28
Iceland	1.8	8	Q189
India	0.2	6.4	Q668
Indonesia	1.6	5.5	Q252
Iraq	-2.8	4.8	Q796
Ireland	4.6	-0.3	Q27
Israel	-1	1.5	Q801
Italy	1.2	-0.7	Q38
Jamaica	-0.2	4.8	Q766
Japan	-0.1	-0.3	Q17
Jordan	-2.2	2.4	Q810
Kazakhstan	-1.6	12.7	Q232
Kenya	-0.9	1.5	Q114
Kiribati	-1.7	0.9	Q710
Korea, Rep.	0.9	2.9	Q884
Kosovo	1.7	2.1	Q1246
Kuwait	0	32.1	Q817
