Country	assessment (2004)	assessment (2019)	ID
Afghanistan	0	40	Q889
Albania	60	70	Q222
Algeria	30	50	Q262
Angola	30	40	Q916
Antigua and Barbuda	20	20	Q781
Argentina	100	70	Q414
Armenia	70	100	Q399
Azerbaijan	70	80	Q227
Bangladesh	50	30	Q902
Belarus	80	90	Q184
Belize	50	40	Q242
Benin	40	40	Q962
Bhutan	40	40	Q917
Bolivia	50	40	Q750
Bosnia and Herzegovina	40	70	Q225
Botswana	50	20	Q963
Brazil	90	90	Q155
Bulgaria	90	90	Q219
Burkina Faso	40	50	Q965
Burundi	40	50	Q967
Cambodia	50	30	Q424
Cameroon	40	40	Q1009
Cabo Verde	40	50	Q1011
Central African Republic	0	20	Q929
Chad	50	10	Q657
Chile	80	90	Q298
China	50	100	Q148
Colombia	90	80	Q739
Comoros	20	20	Q970
Congo, Dem. Rep.	40	20	Q974
Congo, Rep.	40	20	Q971
Costa Rica	80	90	Q800
Cote d'Ivoire	70	60	Q1008
Croatia	90	80	Q224
Djibouti	40	50	Q977
Dominica	50	50	Q784
Dominican Republic	60	60	Q786
Ecuador	80	60	Q736
Egypt, Arab Rep.	40	80	Q79
El Salvador	70	90	Q792
Equatorial Guinea	10	10	Q983
Eritrea	20	20	Q986
Ethiopia	40	30	Q115
Fiji	40	30	Q712
Gabon	20	30	Q1000
Gambia, The	40	60	Q1005
Georgia	60	90	Q230
Ghana	30	60	Q117
Grenada	40	50	Q769
Guatemala	50	50	Q774
Guinea	40	30	Q1006
Guinea-Bissau	10	30	Q1007
Guyana	50	30	Q734
Haiti	20	20	Q790
Honduras	40	40	Q783
Hungary	100	20	Q28
India	80	80	Q668
Indonesia	90	90	Q252
Iran, Islamic Rep.	60	70	Q794
Iraq	0	20	Q796
Jamaica	60	40	Q766
Jordan	70	90	Q810
Kazakhstan	90	90	Q232
Kenya	60	50	Q114
Kiribati	10	40	Q710
Kyrgyz Republic	80	90	Q813
Lao PDR	50	50	Q819
Lebanon	30	40	Q822
Lesotho	50	40	Q1013
Liberia	0	40	Q1014
Libya	40	20	Q1016
North Macedonia	70	60	Q221
Madagascar	40	40	Q1019
Malawi	60	50	Q1020
Malaysia	70	80	Q833
Maldives	70	70	Q826
Mali	30	30	Q912
Marshall Islands	10	20	Q709
Mauritania	20	30	Q1025
Mauritius	80	90	Q1027
Mexico	90	100	Q96
Micronesia, Fed. Sts.	20	20	Q702
Moldova	70	100	Q217
Mongolia	70	90	Q711
Montenegro	30	80	Q236
Morocco	70	60	Q1028
Mozambique	40	40	Q1029
Myanmar	50	70	Q836
Namibia	40	30	Q1030
Nepal	50	50	Q837
Nicaragua	70	50	Q811
Niger	40	40	Q1032
Nigeria	20	30	Q1033
Pakistan	60	50	Q843
Palau	20	30	Q695
Panama	60	50	Q804
Papua New Guinea	50	50	Q691
Paraguay	50	60	Q733
Peru	100	80	Q419
Philippines	70	50	Q928
Poland	90	90	Q36
Romania	70	80	Q218
Russian Federation	60	90	Q159
Rwanda	40	50	Q1037
Samoa	50	60	Q683
Sao Tome and Principe	30	50	Q1039
Senegal	60	80	Q1041
Serbia	30	80	Q403
Seychelles	50	80	Q1042
Sierra Leone	20	30	Q1044
Slovak Republic	90	20	Q214
Solomon Islands	20	40	Q685
Somalia	0	10	Q1045
South Africa	90	80	Q258
Sri Lanka	50	70	Q854
St. Kitts and Nevis	40	30	Q763
St. Lucia	50	40	Q760
St. Vincent and the Grenadines	60	50	Q757
Sudan	20	50	Q1049
Suriname	30	40	Q730
Eswatini	30	40	Q1050
Syrian Arab Republic	60	10	Q858
Tajikistan	40	60	Q863
Tanzania	50	30	Q924
Thailand	90	80	Q869
Timor-Leste	20	60	Q574
Togo	40	50	Q945
Tonga	40	50	Q678
Trinidad and Tobago	70	50	Q754
Tunisia	60	70	Q948
Turkey	90	90	Q43
Turkmenistan	20	30	Q874
Uganda	40	50	Q1036
Ukraine	80	100	Q212
Uruguay	60	70	Q77
Uzbekistan	50	70	Q265
Vanuatu	40	30	Q686
Venezuela, RB	70	30	Q717
Vietnam	50	60	Q881
Yemen, Rep.	40	40	Q805
Zambia	50	50	Q953
Zimbabwe	60	30	Q954
