Country	Index	ID
Afghanistan	1.95	Q889
Albania	2.66	Q222
Algeria	2.45	Q262
Angola	02.05	Q916
Argentina	2.89	Q414
Armenia	2.61	Q399
Australia	3.75	Q408
Austria	04.03	Q40
Azerbaijan	2.45	Q227
Bahamas, The	2.53	Q778
Bahrain	2.93	Q398
Bangladesh	2.58	Q902
Belarus	2.57	Q184
Belgium	04.04	Q31
Benin	2.75	Q962
Bhutan	2.17	Q917
Bolivia	2.36	Q750
Bosnia and Herzegovina	2.81	Q225
Botswana	03.05	Q963
Brazil	2.99	Q155
Brunei Darussalam	2.71	Q921
Bulgaria	03.03	Q219
Burkina Faso	2.62	Q965
Burundi	02.06	Q967
Cambodia	2.58	Q424
Cameroon	2.6	Q1009
Canada	3.73	Q16
Central African Republic	2.15	Q929
Chad	2.42	Q657
Chile	3.32	Q298
China	3.61	Q148
Hong Kong SAR, China	3.92	Q8646
Colombia	2.94	Q739
Comoros	2.56	Q970
Congo, Dem. Rep.	2.43	Q974
Congo, Rep.	2.49	Q971
Costa Rica	2.79	Q800
Cote d'Ivoire	03.08	Q1008
Croatia	3.1	Q224
Cuba	2.2	Q241
Cyprus	3.15	Q229
Czech Republic	3.68	Q213
Denmark	3.99	Q35
Djibouti	2.63	Q977
Dominican Republic	2.66	Q786
Ecuador	2.88	Q736
Egypt, Arab Rep.	2.82	Q79
El Salvador	2.58	Q792
Equatorial Guinea	2.32	Q983
Eritrea	02.09	Q986
Estonia	3.31	Q191
Ethiopia	2.38	Q115
Fiji	2.35	Q712
Finland	3.97	Q33
France	3.84	Q142
Gabon	2.16	Q1000
Gambia, The	2.4	Q1005
Georgia	2.44	Q230
Germany	4.2	Q183
Ghana	2.57	Q117
Greece	3.2	Q41
Guatemala	2.41	Q774
Guinea	2.2	Q1006
Guinea-Bissau	2.39	Q1007
Guyana	2.36	Q734
Haiti	2.11	Q790
Honduras	2.6	Q783
Hungary	3.42	Q28
Iceland	3.23	Q189
India	3.18	Q668
Indonesia	3.15	Q252
Iran, Islamic Rep.	2.85	Q794
Iraq	2.18	Q796
Ireland	3.51	Q27
Israel	3.31	Q801
Italy	3.74	Q38
Jamaica	2.52	Q766
Japan	04.03	Q17
Jordan	2.69	Q810
Kazakhstan	2.81	Q232
Kenya	2.81	Q114
Korea, Rep.	3.61	Q884
Kuwait	2.86	Q817
Kyrgyz Republic	2.55	Q813
Lao PDR	2.7	Q819
Latvia	2.81	Q211
Lebanon	2.72	Q822
Lesotho	2.28	Q1013
Liberia	2.23	Q1014
Libya	2.11	Q1016
Lithuania	03.02	Q37
Luxembourg	3.63	Q32
North Macedonia	2.7	Q221
Madagascar	2.39	Q1019
Malawi	2.59	Q1020
Malaysia	3.22	Q833
Maldives	2.67	Q826
Mali	2.59	Q912
Malta	2.81	Q233
Mauritania	2.33	Q1025
Mauritius	2.73	Q1027
Mexico	03.05	Q96
Moldova	2.46	Q217
Mongolia	2.37	Q711
Montenegro	2.75	Q236
Morocco	2.54	Q1028
Mozambique	2.68	Q1029
Myanmar	2.3	Q836
Namibia	2.74	Q1030
Nepal	2.51	Q837
Netherlands	04.02	Q55
New Zealand	3.88	Q664
Nicaragua	2.53	Q811
Niger	02.07	Q1032
Nigeria	2.53	Q1033
Norway	3.7	Q20
Oman	3.2	Q842
Pakistan	2.42	Q843
Panama	3.28	Q804
Papua New Guinea	2.17	Q691
Paraguay	2.78	Q733
Peru	2.69	Q419
Philippines	2.9	Q928
Poland	3.54	Q36
Portugal	3.64	Q45
Qatar	3.47	Q846
Romania	3.12	Q218
Russian Federation	2.76	Q159
Rwanda	2.97	Q1037
Sao Tome and Principe	2.65	Q1039
Saudi Arabia	03.01	Q851
Senegal	2.25	Q1041
Serbia	2.84	Q403
Sierra Leone	02.08	Q1044
Singapore	4	Q334
Slovak Republic	03.03	Q214
Slovenia	3.31	Q215
Solomon Islands	2.57	Q685
Somalia	2.21	Q1045
South Africa	3.38	Q258
Spain	3.83	Q29
Sri Lanka	2.6	Q854
Sudan	2.43	Q1049
Sweden	04.05	Q34
Switzerland	3.9	Q39
Syrian Arab Republic	2.3	Q858
Tajikistan	2.34	Q863
Tanzania	2.99	Q924
Thailand	3.41	Q869
Togo	2.45	Q945
Trinidad and Tobago	2.42	Q754
Tunisia	2.57	Q948
Turkey	3.15	Q43
Turkmenistan	2.41	Q874
Uganda	2.58	Q1036
Ukraine	2.83	Q212
United Arab Emirates	3.96	Q878
United Kingdom	3.99	Q145
United States	3.89	Q30
Uruguay	2.69	Q77
Uzbekistan	2.58	Q265
Venezuela, RB	2.23	Q717
Vietnam	3.27	Q881
Yemen, Rep.	2.27	Q805
Zambia	2.53	Q953
Zimbabwe	2.12	Q954
