Country	Poorest quintile	Richest quintile	Male	female	Urban	Rural	ID
Albania	71	88	84	94	86	90	Q222
Bangladesh	56	85	73	85	73	79	Q902
Bhutan	65	92	85	92	86	90	Q917
Bolivia	100	101	100	104	101	103	Q750
Cameroon	47	134	97	82	114	74	Q1009
Central African Republic	26	107	75	49	88	46	Q929
Chad	34	96	65	35	93	39	Q657
Colombia	97	100	101	103	103	100	Q739
Dominican Republic	80	107	112	91	101	100	Q786
Egypt, Arab Rep.	79	85	93	88	88	92	Q79
Eswatini	72	112	80	106	90	93	Q1050
Ghana	88	77	97	82	93	87	Q117
Guyana	114	83	95	108	78	111	Q734
Haiti	71	139	95	108	126	87	Q790
Honduras	76	100	88	99	98	89	Q783
Kenya	74	103	92	99	102	93	Q114
Kosovo	100	92	93	100	93	98	Q1246
Kyrgyz Republic	119	97	111	111	103	114	Q813
Madagascar	29	106	67	75	111	66	Q1019
Malawi	60	110	90	90	99	89	Q1020
Maldives	115	126	118	122	142	113	Q826
Montenegro	113	97	88	108	89	111	Q236
Niger	33	91	65	52	92	51	Q1032
Nigeria	38	92	84	72	94	71	Q1033
North Macedonia	91	117	107	99	105	101	Q221
Peru	102	98	95	96	92	101	Q419
Sao Tome and Principe	90	125	111	131	130	109	Q1039
Senegal	51	73	60	71	83	57	Q1041
Sierra Leone	53	90	81	71	85	71	Q1044
Suriname	56	121	80	106	101	76	Q730
Vietnam	102	95	105	101	100	105	Q881
