Country	GDP per person employed_2000-02	GDP per person employed_2015-18	ID
Afghanistan	90.6	77.1	Q889
Albania	59.7	53.8	Q222
Algeria	30.3	27.7	Q262
Angola	46.2	52.6	Q916
Argentina	24.4	22.8	Q414
Armenia	42.6	39.4	Q399
Australia	14.9	12.8	Q408
Austria	7.8	7.9	Q40
Azerbaijan	47.8	48.2	Q227
Bahamas, The	19.2	19.4	Q778
Bahrain	2	1.1	Q398
Bangladesh	62	50.6	Q902
Barbados	16.6	20.3	Q244
Belarus	4.9	4.4	Q184
Belgium	11.5	11.8	Q31
Belize	26.4	29.5	Q242
Benin	84.7	81.8	Q962
Bhutan	70.5	63.4	Q917
Bolivia	60.7	58.8	Q750
Bosnia and Herzegovina	25	15.7	Q225
Botswana	27.9	23.2	Q963
Brazil	33.9	31	Q155
Brunei Darussalam	4.5	5.8	Q921
Bulgaria	16.1	9.2	Q219
Burkina Faso	90.8	83.9	Q965
Burundi	92.3	92.1	Q967
Cabo Verde	39.4	27	Q1011
Cambodia	80.7	43.2	Q424
Cameroon	67.8	65.1	Q1009
Canada	11.9	11.9	Q16
Central African Republic	88.5	87.9	Q929
Chad	90.6	88.2	Q657
Channel Islands	11.9	11.7	Q42314
Chile	29.9	22.7	Q298
China	55.2	42.8	Q148
Hong Kong SAR, China	7.3	7.4	Q8646
Macao SAR, China	9.5	4.2	Q14773
Colombia	47	47.8	Q739
Comoros	56.5	53.8	Q970
Congo, Dem. Rep.	81.1	69.8	Q974
Congo, Rep.	64.1	62.2	Q971
Costa Rica	24.9	21.1	Q800
Cote d'Ivoire	71.2	63.9	Q1008
Croatia	18.7	8	Q224
Cuba	13.2	30.4	Q241
Cyprus	20.2	12.7	Q229
Czech Republic	13.2	16.2	Q213
Denmark	5.5	6.1	Q35
Djibouti	42.3	39.1	Q977
Dominican Republic	45.6	48	Q786
Ecuador	34.5	40.1	Q736
Egypt, Arab Rep.	19.5	17.8	Q79
El Salvador	31.7	27.9	Q792
Equatorial Guinea	73.9	71.3	Q983
Eritrea	82.6	81	Q986
Estonia	5.8	7.5	Q191
Eswatini	15.8	26.6	Q1050
Ethiopia	87.7	83.6	Q115
Fiji	38.2	41.2	Q712
Finland	11.5	11.7	Q33
France	7.8	8.6	Q142
French Polynesia	17.6	14.2	Q30971
Gabon	33.2	27.1	Q1000
Gambia, The	67.5	64.2	Q1005
Georgia	58.5	49	Q230
Germany	6.3	6.2	Q183
