Country	Total (1990)	Total (2018)	% Total (1990)	% Total (2018)	ID
Afghanistan	2629	9477	21	25	Q889
Albania	1197	1729	36	60	Q222
Algeria	13417	30670	52	73	Q262
American Samoa	38	48	81	87	Q16641
Andorra	52	68	95	88	Q228
Angola	4401	20185	37	66	Q916
Antigua and Barbuda	22	24	35	25	Q781
Argentina	28373	40877	87	92	Q414
Armenia	2385	1864	67	63	Q399
Aruba	31	46	50	43	Q21203
Australia	14579	21488	85	86	Q408
Austria	4834	5154	63	58	Q40
Azerbaijan	3848	5534	54	56	Q227
Bahamas, The	205	320	80	83	Q778
Bahrain	437	1401	88	89	Q398
Bangladesh	20439	59108	20	37	Q902
Barbados	98	89	37	31	Q244
Belarus	6723	7454	66	79	Q184
Belgium	9606	11199	96	98	Q31
Belize	89	175	47	46	Q242
Benin	1717	5434	34	47	Q962
Bermuda	59	64	100	100	Q23635
Bhutan	87	309	16	41	Q917
Bolivia	3815	7882	56	69	Q750
Bosnia and Herzegovina	1752	1604	39	48	Q225
Botswana	540	1565	42	69	Q963
Brazil	110146	181336	74	87	Q155
Brunei Darussalam	172	333	66	78	Q921
Bulgaria	5787	5269	66	75	Q219
Burkina Faso	1217	5799	14	29	Q965
Burundi	341	1456	6	13	Q967
Cabo Verde	149	357	44	66	Q1011
Cambodia	1395	3801	16	23	Q424
Cameroon	4672	14215	40	56	Q1009
Canada	21206	30169	77	81	Q16
Cayman Islands	25	64	100	100	Q5785
Central African Republic	1034	1930	37	41	Q929
Chad	1241	3569	21	23	Q657
Channel Islands	44	53	31	31	Q42314
Chile	11054	16400	83	88	Q298
China	300166	823828	26	59	Q148
Hong Kong SAR, China	5677	7451	100	100	Q8646
Macao SAR, China	343	632	100	100	Q14773
Colombia	23000	40105	69	81	Q739
Comoros	115	241	28	29	Q970
Congo, Dem. Rep.	10603	37377	31	44	Q974
Congo, Rep.	1280	3509	54	67	Q971
Costa Rica	1560	3967	50	79	Q800
Cote d'Ivoire	4692	12730	39	51	Q1008
Croatia	2438	2328	51	57	Q224
Cuba	7774	8735	73	77	Q241
Curacao	123	142	85	89	Q25279
Cyprus	512	795	67	67	Q229
Czech Republic	7773	7844	75	74	Q213
Denmark	4362	5091	85	88	Q35
Djibouti	448	746	76	78	Q977
Dominica	44	50	63	70	Q784
Dominican Republic	3940	8616	55	81	Q786
Ecuador	5636	10903	55	64	Q736
Egypt, Arab Rep.	24406	42031	43	43	Q79
El Salvador	2597	4624	49	72	Q792
Equatorial Guinea	146	944	35	72	Q983
Estonia	1118	911	71	69	Q191
Eswatini	166	270	20	24	Q1050
Ethiopia	6044	22678	13	21	Q115
Faroe Islands	14	20	31	42	Q4628
Fiji	303	497	42	56	Q712
Finland	3958	4709	79	85	Q33
France	43127	53870	74	80	Q142
French Polynesia	116	172	58	62	Q30971
Gabon	657	1894	69	89	Q1000
Gambia, The	366	1397	38	61	Q1005
Georgia	2643	2185	55	59	Q230
Germany	58080	64096	73	77	Q183
Ghana	5384	16687	36	56	Q117
Greece	7287	8485	71	79	Q41
Greenland	44	49	80	87	Q223
Grenada	32	40	33	36	Q769
Guam	118	157	91	95	Q16635
Guatemala	3800	8346	42	51	Q774
Guinea	1780	4487	28	36	Q1006
Guinea-Bissau	301	813	31	43	Q1007
Guyana	220	207	30	27	Q734
Haiti	2007	6149	29	55	Q790
Honduras	2005	5474	40	57	Q783
Hungary	6830	6975	66	71	Q28
Iceland	231	331	91	94	Q189
India	223096	460296	26	34	Q668
Indonesia	55483	148085	31	55	Q252
Iran, Islamic Rep.	31751	61267	56	75	Q794
Iraq	12142	27085	70	70	Q796
Ireland	2000	3075	57	63	Q27
Isle of Man	36	44	52	53	Q9676
Israel	4211	8209	90	92	Q801
Italy	37846	42560	67	70	Q38
Jamaica	1196	1634	49	56	Q766
Japan	95542	115921	77	92	Q17
Jordan	2613	9058	73	91	Q810
Kazakhstan	9198	10496	56	57	Q232
Kenya	3973	13892	17	27	Q114
Kiribati	25	63	35	54	Q710
Korea, Dem. Peopleâ€™s Rep.	11848	15815	58	62	Q423
Korea, Rep.	31656	42038	74	81	Q884
Kuwait	2053	4137	98	100	Q817
Kyrgyz Republic	1659	2298	38	36	Q813
Lao PDR	657	2472	15	35	Q819
Latvia	1844	1313	69	68	Q211
Lebanon	2330	6068	83	89	Q822
Lesotho	238	594	14	28	Q1013
Liberia	1151	2465	55	51	Q1014
Libya	3360	5350	76	80	Q1016
Liechtenstein	5	5	17	14	Q347
Lithuania	2499	1896	68	68	Q37
Luxembourg	309	553	81	91	Q32
North Macedonia	1154	1207	58	58	Q221
Madagascar	2733	9767	24	37	Q1019
Malawi	1087	3073	12	17	Q1020
Malaysia	8978	23973	50	76	Q833
Maldives	58	205	26	40	Q826
Mali	1971	8081	23	42	Q912
Malta	320	459	90	95	Q233
Marshall Islands	31	45	65	77	Q709
Mauritania	800	2363	39	54	Q1025
Mauritius	465	516	44	41	Q1027
Mexico	59951	101149	71	80	Q96
Micronesia, Fed. Sts.	25	26	26	23	Q702
Moldova	1388	1154	47	43	Q217
Monaco	29	39	100	100	Q235
Mongolia	1246	2170	57	68	Q711
Montenegro	291	416	48	67	Q236
Morocco	12005	22501	48	62	Q1028
Mozambique	3247	10615	25	36	Q1029
Myanmar	10434	16423	25	31	Q836
Namibia	396	1225	28	50	Q1030
Nepal	1674	5545	9	20	Q837
Netherlands	10269	15765	69	91	Q55
New Caledonia	102	201	60	71	Q33788
New Zealand	2822	4189	85	87	Q664
Nicaragua	2215	3784	53	59	Q811
Niger	1234	3686	15	16	Q1032
Nigeria	28259	98611	30	50	Q1033
Northern Mariana Islands	41	52	90	92	Q16644
Norway	3052	4369	72	82	Q20
Oman	1198	4083	66	85	Q842
Pakistan	32914	77811	31	37	Q843
Palau	10	14	70	80	Q695
Panama	1332	2828	54	68	Q804
Papua New Guinea	692	1133	15	13	Q691
Paraguay	2057	4284	49	62	Q733
Peru	15207	24922	69	78	Q419
Philippines	29082	50027	47	47	Q928
