Country	Mortality Rate (1990)	Mortality Rate (2019)	ID
Afghanistan	74	36	Q889
Albania	13	8	Q222
Algeria	23	16	Q262
Andorra	7	1	Q228
Angola	53	28	Q916
Antigua and Barbuda	8	4	Q781
Argentina	15	6	Q414
Armenia	23	6	Q399
Australia	5	2	Q408
Austria	5	2	Q40
Azerbaijan	33	11	Q227
Bahamas, The	14	7	Q778
Bahrain	15	3	Q398
Bangladesh	64	19	Q902
Barbados	12	8	Q244
Belarus	9	1	Q184
Belgium	5	2	Q31
Belize	18	8	Q242
Benin	46	31	Q962
Bhutan	42	17	Q917
Bolivia	41	15	Q750
Bosnia and Herzegovina	11	4	Q225
Botswana	17	18	Q963
Brazil	25	8	Q155
Brunei Darussalam	6	6	Q921
Bulgaria	8	3	Q219
Burkina Faso	46	26	Q965
Burundi	40	21	Q967
Cabo Verde	20	9	Q1011
Cambodia	40	15	Q424
Cameroon	40	26	Q1009
Canada	4	3	Q16
Central African Republic	52	40	Q929
Chad	52	33	Q657
Chile	9	5	Q298
China	30	4	Q148
Colombia	18	8	Q739
Comoros	50	30	Q970
Congo, Dem. Rep.	42	27	Q974
Congo, Rep.	27	19	Q971
Costa Rica	9	6	Q800
Cote d'Ivoire	49	33	Q1008
Croatia	8	3	Q224
Cuba	7	2	Q241
Cyprus	6	1	Q229
Czech Republic	7	2	Q213
Denmark	4	3	Q35
Djibouti	49	31	Q977
Dominica	10	28	Q784
Dominican Republic	24	19	Q786
Ecuador	22	7	Q736
Egypt, Arab Rep.	33	11	Q79
El Salvador	22	7	Q792
Equatorial Guinea	48	29	Q983
Eritrea	35	18	Q986
Estonia	10	1	Q191
Eswatini	22	18	Q1050
Ethiopia	59	28	Q115
Fiji	12	11	Q712
Finland	4	1	Q33
France	4	3	Q142
Gabon	31	20	Q1000
Gambia, The	46	27	Q1005
Georgia	25	5	Q230
Germany	3	2	Q183
Ghana	42	23	Q117
Greece	7	2	Q41
Grenada	12	11	Q769
Guatemala	28	12	Q774
Guinea	61	30	Q1006
Guinea-Bissau	63	35	Q1007
Guyana	31	19	Q734
Haiti	39	25	Q790
Honduras	22	9	Q783
Hungary	11	2	Q28
Iceland	4	1	Q189
India	57	22	Q668
Indonesia	31	12	Q252
Iran, Islamic Rep.	25	9	Q794
Iraq	26	15	Q796
Ireland	5	2	Q27
Israel	6	2	Q801
Italy	6	2	Q38
Jamaica	20	10	Q766
Japan	3	1	Q17
Jordan	20	9	Q810
Kazakhstan	23	5	Q232
Kenya	28	21	Q114
Kiribati	35	22	Q710
Korea, Dem. Peopleâ€™s Rep.	21	10	Q423
Korea, Rep.	7	2	Q884
Kuwait	10	5	Q817
Kyrgyz Republic	24	12	Q813
Lao PDR	47	22	Q819
Latvia	8	2	Q211
Lebanon	21	4	Q822
Lesotho	39	43	Q1013
Liberia	59	32	Q1014
Libya	21	7	Q1016
Lithuania	8	2	Q37
Luxembourg	4	2	Q32
Madagascar	39	20	Q1019
Malawi	50	20	Q1020
Malaysia	8	5	Q833
Maldives	39	5	Q826
Mali	67	32	Q912
Malta	8	5	Q233
Marshall Islands	19	15	Q709
Mauritania	46	32	Q1025
Mauritius	15	10	Q1027
Mexico	22	9	Q96
Micronesia, Fed. Sts.	25	16	Q702
Moldova	19	11	Q217
Monaco	4	2	Q235
Mongolia	30	8	Q711
Montenegro	11	1	Q236
Morocco	36	14	Q1028
Mozambique	62	29	Q1029
Myanmar	47	22	Q836
Namibia	28	19	Q1030
Nepal	58	20	Q837
Netherlands	5	3	Q55
New Zealand	4	3	Q664
Nicaragua	23	10	Q811
Niger	55	24	Q1032
Nigeria	50	36	Q1033
North Macedonia	17	4	Q221
Norway	4	1	Q20
Oman	17	5	Q842
Pakistan	64	41	Q843
Palau	19	9	Q695
Panama	18	9	Q804
Papua New Guinea	34	22	Q691
Paraguay	22	11	Q733
Peru	28	6	Q419
Philippines	19	13	Q928
Poland	11	3	Q36
Portugal	7	2	Q45
Qatar	11	3	Q846
Romania	16	3	Q218
Russian Federation	11	3	Q159
Rwanda	41	16	Q1037
Samoa	16	8	Q683
San Marino	7	1	Q238
Sao Tome and Principe	26	14	Q1039
Saudi Arabia	22	4	Q851
Senegal	40	22	Q1041
Serbia	17	3	Q403
Seychelles	11	9	Q1042
Sierra Leone	52	31	Q1044
Singapore	4	1	Q334
Slovak Republic	9	3	Q214
Slovenia	6	1	Q215
Solomon Islands	15	8	Q685
Somalia	45	37	Q1045
South Africa	20	12	Q258
South Sudan	64	39	Q958
Spain	5	2	Q29
Sri Lanka	13	4	Q854
St. Kitts and Nevis	19	10	Q763
St. Lucia	12	13	Q760
St. Vincent and the Grenadines	13	9	Q757
Sudan	42	27	Q1049
Suriname	21	11	Q730
Sweden	4	1	Q34
Switzerland	4	3	Q39
Syrian Arab Republic	16	11	Q858
Tajikistan	31	15	Q863
Tanzania	40	20	Q924
Thailand	21	5	Q869
Timor-Leste	55	20	Q574
Togo	43	25	Q945
Tonga	10	7	Q678
Trinidad and Tobago	20	12	Q754
Tunisia	28	12	Q948
Turkey	33	5	Q43
Turkmenistan	27	24	Q874
Tuvalu	28	16	Q672
Uganda	39	20	Q1036
Ukraine	12	5	Q212
United Arab Emirates	8	4	Q878
United Kingdom	5	3	Q145
United States	6	4	Q30
Uruguay	12	4	Q77
Uzbekistan	31	10	Q265
Vanuatu	16	11	Q686
Venezuela, RB	13	15	Q717
Vietnam	23	11	Q881
West Bank and Gaza	22	11	Q407199
Yemen, Rep.	43	27	Q805
Zambia	36	23	Q953
Zimbabwe	25	26	Q954
