Country	Male_2000	Male_2018	Female_2000	Female_2018	ID
Afghanistan	9.6	16.4	11.2	24.5	Q889
Albania	17.8	22.7	7.1	15.7	Q222
Algeria	23.9	32.1	30.4	23.9	Q262
Angola	15.5	15.3	1.8	1.1	Q916
Argentina	31.6	31.3	10.4	9.1	Q414
Armenia	22.7	23.8	8.6	8.9	Q399
Australia	30.5	30.1	10.2	8.1	Q408
Austria	42.3	37.2	14.2	11.9	Q40
Azerbaijan	13.8	22.9	7.5	5.9	Q227
Bahamas, The	27.2	24.9	5.8	3	Q778
Bahrain	32.6	42	12.6	8.9	Q398
Bangladesh	11.3	22.3	8.6	17.3	Q902
Barbados	29.8	29	10.5	9.2	Q244
Belarus	38.3	42	23	19.1	Q184
Belgium	36.2	31.9	11.7	8.5	Q31
Belize	19.9	19.5	11.6	9.3	Q242
Benin	19.8	21.1	20.4	16.6	Q962
Bhutan	8.1	10.9	5	9.9	Q917
Bolivia	25	26.8	9.7	10.2	Q750
Bosnia and Herzegovina	36.9	41	18.5	17.9	Q225
Botswana	26.6	25.7	14.3	9.6	Q963
Brazil	27.2	27.1	13.4	10.8	Q155
Brunei Darussalam	29.5	21	9.9	9.1	Q921
Bulgaria	37.6	36.8	27.3	22.4	Q219
Burkina Faso	4.8	33.3	8.6	33.6	Q965
Burundi	3.7	2.7	0.6	0.4	Q967
Cabo Verde	23.2	30.4	11.9	11.1	Q1011
Cambodia	7.3	29.6	9.7	26.9	Q424
Cameroon	11.8	18.1	7.5	11.2	Q1009
Canada	33.3	29.6	11.4	8.5	Q16
Central African Republic	9.2	7.7	3.6	2.7	Q929
Chad	3	3.4	0.6	0.6	Q657
Channel Islands	42.3	33.8	18.7	10.8	Q42314
Chile	29.1	31.1	12.3	10.2	Q298
China	20.8	30.3	24.6	25.5	Q148
Hong Kong SAR, China	27.5	19.3	10.4	4	Q8646
Macao SAR, China	41.4	17	12.8	2.6	Q14773
Colombia	19.2	23.7	17.4	14.9	Q739
Comoros	15.8	15.5	13.2	10	Q970
Congo, Dem. Rep.	12.9	15.6	3.5	3.5	Q974
Congo, Rep.	23.5	22.5	24.7	21.3	Q971
Costa Rica	25.3	24.9	16.4	11	Q800
Cote d'Ivoire	13	14.5	12.6	10.5	Q1008
Croatia	36	37.8	20.4	15.2	Q224
Cuba	21.8	21.1	13.8	10.4	Q241
Cyprus	30.9	25.4	13	6.4	Q229
Czech Republic	49.8	48.3	27.2	23.9	Q213
Denmark	35.5	27.5	13.5	8.7	Q35
Djibouti	14.6	16.4	8.1	7.4	Q977
Dominican Republic	26.7	26.3	20.3	9.5	Q786
Ecuador	24.3	23.8	14.4	10.8	Q736
Egypt, Arab Rep.	24.5	32.4	6.9	6.9	Q79
El Salvador	24.2	25.4	24.3	17.8	Q792
Equatorial Guinea	18.5	24.9	6.2	11	Q983
