Country	Both sexes	Male	Female	ID
Afghanistan	29.8	31.8	27.7	Q889
Albania	17.0	20.7	13.1	Q222
Algeria	14.2	15.2	13.2	Q262
Angola	16.5	17.2	16.0	Q916
Antigua and Barbuda	22.6	25.2	20.0	Q781
Argentina	15.8	19.7	12.2	Q414
Armenia	22.3	30.9	15.0	Q399
Australia	9.1	11.0	7.2	Q408
Austria	11.4	14.4	8.5	Q40
Azerbaijan	22.2	28.7	16.1	Q227
Bahamas	15.5	18.6	12.7	Q778
Bahrain	11.3	10.9	11.9	Q398
Bangladesh	21.6	22.6	20.4	Q902
Barbados	16.2	19.7	12.9	Q244
Belarus	23.7	35.2	13.8	Q184
Belgium	11.4	14.1	8.6	Q31
Belize	22.1	25.5	18.5	Q242
Benin	19.6	19.9	19.3	Q962
Bhutan	23.3	21.9	24.9	Q917
Bolivia (Plurinational State of)	17.2	17.7	16.8	Q750
Bosnia and Herzegovina	17.8	23.1	12.9	Q225
Botswana	20.3	23.4	17.9	Q963
Brazil	16.6	20.0	13.5	Q155
Brunei Darussalam	16.6	18.5	14.8	Q921
Bulgaria	23.6	32.0	15.5	Q219
Burkina Faso	21.7	22.5	21.2	Q965
Burundi	22.9	23.1	22.7	Q967
Cabo Verde	17.2	19.0	15.9	Q1011
Cambodia	21.1	23.9	19.1	Q424
Cameroon	21.6	22.3	20.9	Q1009
Canada	9.8	11.5	8.1	Q16
Central African Republic	23.1	23.9	22.4	Q929
Chad	23.9	24.2	23.7	Q657
Chile	12.4	14.8	10.1	Q298
China	17.0	19.8	14.1	Q148
Colombia	15.8	18.3	13.5	Q739
Comoros	22.9	24.8	21.2	Q970
Congo	16.7	15.9	17.4	Q971
Costa Rica	11.5	13.7	9.4	Q800
Côte d'Ivoire	29.1	28.2	30.1	Q1008
Croatia	16.7	22.8	10.7	Q224
Cuba	16.4	19.0	13.8	Q241
Cyprus	11.3	15.2	7.5	Q229
Czechia	15.0	20.0	10.2	Q213
Democratic People's Republic of Korea	25.6	34.4	17.6	Q423
Democratic Republic of the Congo	19.4	19.7	19.2	Q974
Denmark	11.3	13.1	9.5	Q35
Djibouti	19.6	21.2	18.2	Q977
Dominican Republic	19.0	21.7	16.5	Q786
Ecuador	13.0	13.9	12.2	Q736
Egypt	27.7	31.5	23.8	Q79
El Salvador	14.0	15.1	13.1	Q792
Equatorial Guinea	22.0	22.6	21.3	Q983
Eritrea	23.9	25.3	22.7	Q986
Estonia	17.0	25.0	10.3	Q191
