Country	Male	Female	ID
Afghanistan	94	86	Q889
Albania	99	98	Q222
Algeria	100	98	Q262
Antigua and Barbuda	100	99	Q781
Argentina	100	100	Q414
Armenia	98	99	Q399
Austria	100	100	Q40
Azerbaijan	100	98	Q227
Bahrain	99	100	Q398
Belarus	98	99	Q184
Belize	97	97	Q242
Benin	83	85	Q962
Bhutan	99	100	Q917
Bolivia	97	97	Q750
Bosnia and Herzegovina	98	98	Q225
Brunei Darussalam	100	100	Q921
Bulgaria	100	99	Q219
Burkina Faso	81	79	Q965
Burundi	76	77	Q967
Cabo Verde	94	95	Q1011
Cambodia	87	92	Q424
Cameroon	64	69	Q1009
Chad	80	65	Q657
Chile	97	98	Q298
Hong Kong SAR, China	100	100	Q8646
Macao SAR, China	98	100	Q14773
Costa Rica	93	90	Q800
Cote d'Ivoire	91	93	Q1008
Croatia	99	98	Q224
Cuba	98	99	Q241
Cyprus	99	100	Q229
Czech Republic	100	100	Q213
Denmark	100	100	Q35
Djibouti	88	84	Q977
Dominican Republic	92	95	Q786
Ecuador	99	100	Q736
Egypt, Arab Rep.	95	98	Q79
El Salvador	95	95	Q792
Eritrea	96	93	Q986
Estonia	100	100	Q191
Eswatini	98	98	Q1050
Fiji	98	98	Q712
Finland	100	100	Q33
Georgia	100	100	Q230
Germany	100	99	Q183
Ghana	93	95	Q117
Greece	99	99	Q41
Grenada	96	100	Q769
Guatemala	94	86	Q774
Honduras	69	73	Q783
Hungary	100	99	Q28
India	91	92	Q668
Indonesia	95	87	Q252
Iran, Islamic Rep.	97	94	Q794
Israel	100	100	Q801
Italy	100	100	Q38
Jamaica	96	98	Q766
Japan	100	100	Q17
Jordan	98	98	Q810
Kazakhstan	100	100	Q232
Kenya	98	100	Q114
Kiribati	96	97	Q710
Korea, Rep.	100	100	Q884
Kuwait	97	99	Q817
Kyrgyz Republic	100	100	Q813
Lao PDR	88	85	Q819
Latvia	99	99	Q211
Lebanon	95	97	Q822
Lesotho	86	88	Q1013
Liberia	78	81	Q1014
Liechtenstein	100	96	Q347
Lithuania	99	99	Q37
Madagascar	74	73	Q1019
Malaysia	92	90	Q833
Maldives	98	100	Q826
Mali	77	80	Q912
Malta	100	98	Q233
Mauritania	68	64	Q1025
Mauritius	100	99	Q1027
Mexico	97	96	Q96
Moldova	98	99	Q217
Mongolia	99	100	Q711
Montenegro	100	100	Q236
Morocco	93	88	Q1028
Mozambique	72	76	Q1029
Nepal	84	81	Q837
Niger	60	56	Q1032
Norway	100	99	Q20
Oman	97	100	Q842
Pakistan	87	88	Q843
Panama	100	98	Q804
Peru	96	95	Q419
Philippines	96	97	Q928
Poland	100	100	Q36
Qatar	99	99	Q846
Romania	100	99	Q218
Russian Federation	100	100	Q159
Rwanda	73	72	Q1037
Samoa	95	98	Q683
Sao Tome and Principe	94	100	Q1039
Saudi Arabia	100	96	Q851
Senegal	75	71	Q1041
Serbia	100	100	Q403
Seychelles	97	97	Q1042
Sierra Leone	89	92	Q1044
Singapore	100	98	Q334
Slovak Republic	99	99	Q214
Slovenia	100	100	Q215
Solomon Islands	89	88	Q685
South Africa	93	98	Q258
Spain	100	100	Q29
Sri Lanka	99	100	Q854
St. Kitts and Nevis	99	100	Q763
St. Lucia	97	99	Q760
St. Vincent and the Grenadines	91	100	Q757
Sudan	90	94	Q1049
Suriname	60	72	Q730
Sweden	100	99	Q34
Switzerland	100	100	Q39
Tajikistan	100	99	Q863
Tanzania	73	69	Q924
Thailand	98	99	Q869
Timor-Leste	92	94	Q574
Togo	84	80	Q945
Tunisia	98	98	Q948
Turkey	100	100	Q43
Tuvalu	95	92	Q672
Uganda	61	57	Q1036
Ukraine	100	100	Q212
United Kingdom	100	100	Q145
United States	100	98	Q30
Uzbekistan	100	99	Q265
Venezuela, RB	99	99	Q717
Vietnam	100	100	Q881
West Bank and Gaza	96	97	Q407199
