Country	Total	ID
Afghanistan	97.7	Q889
Albania	100	Q222
Algeria	100	Q262
Andorra	100	Q228
Angola	42	Q916
Antigua and Barbuda	100	Q781
Argentina	100	Q414
Armenia	100	Q399
Aruba	100	Q21203
Australia	100	Q408
Austria	100	Q40
Azerbaijan	100	Q227
Bahamas, The	100	Q778
Bahrain	100	Q398
Bangladesh	88	Q902
Barbados	100	Q244
Belarus	100	Q184
Belgium	100	Q31
Belize	98.3	Q242
Benin	34.5	Q962
Bermuda	100	Q23635
Bhutan	97.7	Q917
Bolivia	91.8	Q750
Bosnia and Herzegovina	100	Q225
Botswana	62.6	Q963
Brazil	100	Q155
Brunei Darussalam	100	Q921
Bulgaria	100	Q219
Burkina Faso	17.5	Q965
Burundi	9.3	Q967
Cabo Verde	91.4	Q1011
Cambodia	89.1	Q424
Cameroon	61.3	Q1009
Canada	100	Q16
Cayman Islands	100	Q5785
Central African Republic	29.8	Q929
Chad	10.9	Q657
Chile	100	Q298
China	100	Q148
Hong Kong SAR, China	100	Q8646
Macao SAR, China	100	Q14773
Colombia	98.5	Q739
Comoros	79.4	Q970
Congo, Dem. Rep.	18.2	Q974
Congo, Rep.	64.7	Q971
Costa Rica	99.6	Q800
Cote d'Ivoire	65.6	Q1008
Croatia	100	Q224
Cuba	99.9	Q241
Curacao	100	Q25279
Cyprus	100	Q229
Czech Republic	100	Q213
Denmark	100	Q35
Djibouti	60.2	Q977
Dominica	100	Q784
Dominican Republic	100	Q786
Ecuador	99.2	Q736
Egypt, Arab Rep.	100	Q79
El Salvador	96.8	Q792
Equatorial Guinea	66.8	Q983
Eritrea	48.3	Q986
Estonia	100	Q191
Eswatini	73.5	Q1050
Ethiopia	44.3	Q115
Faroe Islands	100	Q4628
Fiji	96	Q712
Finland	100	Q33
France	100	Q142
French Polynesia	100	Q30971
Gabon	91.9	Q1000
Gambia, The	56.2	Q1005
Georgia	100	Q230
Germany	100	Q183
Ghana	79	Q117
Greece	100	Q41
Greenland	100	Q223
Grenada	94.5	Q769
Guam	100	Q16635
Guatemala	93.3	Q774
Guinea	35.4	Q1006
Guinea-Bissau	26	Q1007
Guyana	90.9	Q734
Haiti	43.8	Q790
Honduras	86.5	Q783
Hungary	100	Q28
Iceland	100	Q189
India	92.6	Q668
