Country	Male_2000	Male_2018	Female_2000	Female_2018	ID
Afghanistan	26.8	46	8.9	9.8	Q889
Albania	38.6	43	29.9	42.8	Q222
Algeria	52.4	56.7	56.5	72.4	Q262
Angola	54.8	40.3	52.7	42.2	Q916
Argentina	67.4	68.6	89.4	90.8	Q414
Armenia	38.5	48.6	42.7	57.4	Q399
Australia	63.6	66.5	86.3	90.2	Q408
Austria	51.9	58.7	79.5	84.9	Q40
Azerbaijan	49.7	46.2	46.3	52.1	Q227
Bahamas, The	66.1	71.2	93.1	96.6	Q778
Bahrain	65.4	56.8	87.2	91.1	Q398
Bangladesh	28	46.3	12.6	24.2	Q902
Barbados	65.2	67.3	86.2	89.2	Q244
Belarus	42.5	43.1	66.5	73.2	Q184
Belgium	61.4	66.8	87.1	90.8	Q31
Belize	45.4	56.2	82.8	85.8	Q242
Benin	26.6	31.7	38.3	52.5	Q962
Bhutan	33.7	38.8	20.3	25.8	Q917
Bolivia	34.8	42.1	53.1	58.7	Q750
Bosnia and Herzegovina	39.9	43.5	54.6	66	Q225
Botswana	51.3	49.3	68.5	73.9	Q963
Brazil	52.1	59.8	76.9	85.1	Q155
Brunei Darussalam	69.1	77	89.1	90.4	Q921
Bulgaria	47	54.6	62.1	73.4	Q219
Burkina Faso	10.4	34.6	16.4	48.6	Q965
Burundi	9.1	9.6	2.6	3.6	Q967
Cabo Verde	48.8	53.5	72.8	82.3	Q1011
Cambodia	20.6	38.7	15.5	37.3	Q424
Cameroon	25	42	22.6	40.1	Q1009
Canada	63.5	68.4	86.9	90.6	Q16
Central African Republic	14.9	18.2	11.1	15.7	Q929
Chad	16.2	18.6	15.5	24.2	Q657
Channel Islands	50.4	61.3	76.7	87.1	Q42314
Chile	51.3	56.8	83	84.6	Q298
China	25.7	41.3	29.7	51.3	Q148
Hong Kong SAR, China	72.2	80.4	89.4	95.9	Q8646
Macao SAR, China	58	82.3	87.1	97.3	Q14773
Colombia	48.5	53.3	76.1	77.3	Q739
Comoros	32.4	37.8	22.4	33.9	Q970
Congo, Dem. Rep.	22.2	25.6	15.4	23.4	Q974
Congo, Rep.	36.3	42.4	31.8	44.6	Q971
Costa Rica	52.6	57.8	79.7	84.6	Q800
Cote d'Ivoire	35.5	38.2	40	57.7	Q1008
Croatia	47.6	54.9	62.8	79.7	Q224
Cuba	44.2	54.7	72.2	82.2	Q241
Cyprus	63.2	71.5	82.4	92.6	Q229
Czech Republic	43.9	48	69	74.3	Q213
Denmark	59.3	69.1	84.5	90.3	Q35
Djibouti	40.8	48.3	46.4	60.7	Q977
Dominican Republic	51.3	59.2	77.2	89.2	Q786
Ecuador	43.1	45.6	60.8	63.1	Q736
Egypt, Arab Rep.	48	46.3	53.7	56.9	Q79
El Salvador	41.9	48.3	71.9	78.7	Q792
Equatorial Guinea	30.3	33.5	41.7	46	Q983
Eritrea	26.1	30.8	21.3	28.9	Q986
Estonia	44.6	54	72.9	81	Q191
Eswatini	55.5	60.5	54.4	66.5	Q1050
Ethiopia	11.4	16.2	23.2	31.6	Q115
Fiji	34.9	46.6	38.4	56.1	Q712
Finland	51.6	60	81.9	89	Q33
France	58.7	66.4	83.1	89	Q142
French Polynesia	63.4	68.5	85.2	90.9	Q30971
Gabon	56.2	60.1	38.1	48.5	Q1000
Gambia, The	46.4	52.6	48.6	62.2	Q1005
Georgia	37.8	39.3	38.2	49.7	Q230
Germany	51.7	59.4	79.6	85.2	Q183
Ghana	26.6	43.7	35.6	53.9	Q117
Greece	55.3	66.9	68.2	80.5	Q41
Guam	79.7	77.7	96.4	96.4	Q16635
Guatemala	27.4	38.2	57.5	72.9	Q774
Guinea	23.7	28.7	22.9	34	Q1006
Guinea-Bissau	21.2	24.4	17.1	24.7	Q1007
Guyana	40.9	46	73.9	82.5	Q734
Haiti	38.2	47	75.8	84.8	Q790
Honduras	28.5	35.9	67	71.1	Q783
Hungary	49.9	50.7	71.9	77.3	Q28
Iceland	54.8	68.3	85.4	91.3	Q189
India	27.5	32.9	14	27.2	Q668
Indonesia	36.7	43.3	38.3	55.5	Q252
Iran, Islamic Rep.	45.4	50.3	43.4	53.9	Q794
Iraq	51	57.8	58.2	71.1	Q796
Ireland	50.6	64.9	82.5	90.1	Q27
Israel	64.5	73.1	85.4	91.5	Q801
Italy	55.9	59.7	75.1	84.5	Q38
Jamaica	46.9	53.7	84.5	85.1	Q766
Japan	57.1	63.6	72.9	82.8	Q17
Jordan	73.2	69.6	83.1	85.7	Q810
Kazakhstan	40	53.6	55.4	73.9	Q232
Kenya	43.6	38.7	35.7	36.7	Q114
Korea, Dem. Peopleâ€™s Rep.	29.6	36.6	23.5	32.9	Q423
Korea, Rep.	56.2	61.1	68.7	81.8	Q884
Kuwait	69.1	65.9	97.3	96.6	Q817
Kyrgyz Republic	35.3	47.7	38	65.3	Q813
Lao PDR	16.5	24.2	11.1	26.2	Q819
Latvia	48.9	55.5	68.3	83	Q211
Lebanon	55	61.3	59.2	70.8	Q822
Lesotho	31.9	36.4	57.3	65.4	Q1013
Liberia	34.4	39.8	40.7	53.1	Q1014
Libya	47.4	55.3	53.6	66	Q1016
Lithuania	43.8	55.1	63.8	78.7	Q37
Luxembourg	66.8	80.2	92.1	95.4	Q32
Madagascar	15.7	22.6	13.6	30.5	Q1019
Malawi	32	38.6	31.9	45.7	Q1020
Malaysia	45.3	54.9	57	74.1	Q833
Maldives	57.9	71.8	54.4	76.5	Q826
Mali	18.9	28	18.6	31.1	Q912
Malta	61.1	73.2	74.6	90.7	Q233
Mauritania	26.8	33.6	26.2	38.9	Q1025
Mauritius	50.1	61.8	47.7	78.7	Q1027
Mexico	47.7	50.5	71.2	78.6	Q96
Moldova	30.2	39	39.8	55.8	Q217
Mongolia	32.8	44.3	42.5	62.8	Q711
Montenegro	58	63.9	75.9	85	Q236
Morocco	39	46.2	23.2	32.9	Q1028
Mozambique	23.1	25.8	8.7	16.6	Q1029
Myanmar	22.9	30.3	28.6	40.2	Q836
Namibia	50.1	51	64	71.3	Q1030
Nepal	18.2	23.3	9.9	16.6	Q837
Netherlands	65.4	72.6	88.2	92.4	Q55
New Caledonia	59.3	64.6	88.5	92.1	Q33788
New Zealand	56.4	63.1	81.9	86.9	Q664
Nicaragua	39.9	36.7	72.8	78.9	Q811
Niger	14.6	16.6	12.2	18.7	Q1032
Nigeria	34.3	43.7	45	62.8	Q1033
North Macedonia	39.7	49.3	43.5	58.5	Q221
Norway	61.3	66.4	88.3	91.9	Q20
Oman	82.7	58	81	95.3	Q842
Pakistan	39.4	42.7	19	17.1	Q843
Panama	53.1	57	89	82.2	Q804
Papua New Guinea	24.9	32.8	21	35.7	Q691
Paraguay	39.1	50.7	69.3	77.3	Q733
Peru	45	50.1	59.2	65.4	Q419
Philippines	36.8	44.6	62.9	75.8	Q928
Poland	40.1	45.9	62.8	74.2	Q36
Portugal	44.5	58	63.1	80.7	Q45
Puerto Rico	69.4	76.7	85.1	91.6	Q1183
Qatar	53.6	36.6	97.1	93.6	Q846
Romania	26.6	41	31.7	56.3	Q218
Russian Federation	47.1	55	66	80.3	Q159
Rwanda	12.6	31.6	5.6	24.8	Q1037
Samoa	31.9	39.4	52.7	60	Q683
Sao Tome and Principe	36.6	49.6	75.9	87.4	Q1039
Saudi Arabia	70.6	69	96.2	97.3	Q851
Senegal	37.7	47.3	48.9	68.7	Q1041
Serbia	41	48.9	54.2	67.7	Q403
Sierra Leone	23.5	30.3	24	45.9	Q1044
Singapore	67.9	79.7	76.5	88.8	Q334
Slovak Republic	43.6	47.2	70.2	78.2	Q214
Slovenia	44.9	49.7	62	74.7	Q215
Solomon Islands	39.9	47.3	44	57.6	Q685
Somalia	11.6	13.8	7.7	11.2	Q1045
South Africa	54.3	61.6	76.7	84.5	Q258
South Sudan	33.9	38.5	13.4	18.3	Q958
Spain	52	64.5	80.8	88.7	Q29
Sri Lanka	38.3	46.5	29	44	Q854
St. Lucia	49.6	51	71.3	81.1	Q760
St. Vincent and the Grenadines	49.5	55.4	83.1	88.4	Q757
Sudan	38.2	44.1	30.2	40.4	Q1049
Suriname	59.5	57.7	87.4	88.7	Q730
Sweden	59.5	69.3	87.1	92	Q34
Switzerland	59.6	66.9	83.6	87.6	Q39
Syrian Arab Republic	43.2	58.7	30.6	83.6	Q858
Tajikistan	28.1	43	16.9	31.7	Q863
Tanzania	15.2	26.3	13	28.9	Q924
Thailand	29.7	40.2	35.1	50.8	Q869
Timor-Leste	32	40.9	33.8	50.1	Q574
Togo	40.3	47.3	36.7	50.4	Q945
Tonga	36.3	46.9	36.5	46.6	Q678
Trinidad and Tobago	53.1	58.1	83.6	86.1	Q754
Tunisia	49.7	52.9	41.5	57.2	Q948
Turkey	43.5	53.5	22.9	57.9	Q43
Turkmenistan	31.4	34	36.6	42.4	Q874
Uganda	26.6	21.6	17.2	19.4	Q1036
Ukraine	39.4	48.7	57.8	73.8	Q212
United Arab Emirates	55	57.8	86.3	94.5	Q878
United Kingdom	61.6	71	87.3	91.9	Q145
United States	63.5	68.8	86.4	90.5	Q30
Uruguay	55.6	60.2	80.2	87.6	Q77
Uzbekistan	33.8	38.5	43.5	57.8	Q265
Vanuatu	26.5	33.7	28.2	42	Q686
Venezuela, RB	55.2	64.2	85.5	90.6	Q717
Vietnam	21.1	31.9	23.6	37.5	Q881
Virgin Islands (U.S.)	52.4	61.7	87.6	91.5	Q11703
West Bank and Gaza	51.4	58.4	53.9	83.7	Q407199
Yemen, Rep.	49.5	61.8	29.8	42	Q805
Zambia	25.2	39.1	18.8	40.6	Q953
Zimbabwe	29.8	25.5	25.7	28	Q954
