Country	FH Free press report	RWB Press freedom index	ID
GuineaBissau	57.0	28.94	Q1007
Guyana	33.0	27.08	Q734
Haiti	50.0	24.09	Q790
Honduras	62.0	36.92	Q783
Hong Kong	33.0	26.16	Q8646
Hungary	36.0	26.09	Q28
Iceland	14.0	8.49	Q189
India	37.0	41.22	Q668
Indonesia	49.0	41.05	Q252
Iran	92.0	73.4	Q794
Iraq	69.0	44.67	Q796
Ireland	16.0	10.6	Q27
Israel	30.0	32.97	Q801
Italy	33.0	26.11	Q38
Jamaica	18.0	9.88	Q766
Japan	22.0	25.17	Q17
Jordan	63.0	38.47	Q810
Kazakhstan	81.0	55.08	Q232
Kenya	52.0	27.8	Q114
Kosovo	49.0	28.47	Q1246
Kuwait	57.0	28.28	Q817
Kyrgyzstan	69.0	32.2	Q813
Laos	84.0	67.99	Q819
Latvia	27.0	22.89	Q211
Lebanon	51.0	30.15	Q822
Lesotho	49.0	28.36	Q1013
Liberia	60.0	29.89	Q1014
Libya	60.0	37.86	Q1016
Liechtenstein	14.0	7.35	Q347
Lithuania	23.0	18.24	Q37
Luxembourg	12.0	6.68	Q32
Macedonia	54.0	34.27	Q221
Madagascar	63.0	28.62	Q1019
Malawi	60.0	28.18	Q1020
Malaysia	63.0	42.73	Q833
Maldives	51.0	31.1	Q826
Mali	24.0	30.03	Q912
Malta	22.0	23.3	Q233
Mauritania	52.0	26.76	Q1025
Mauritius	29.0	26.47	Q1027
Mexico	62.0	45.3	Q96
Moldova	54.0	26.01	Q217
Mongolia	37.0	29.93	Q711
Montenegro	35.0	32.97	Q236
Morocco	68.0	39.04	Q1028
Mozambique	43.0	28.01	Q1029
Myanmar	85.0	44.71	Q836
Namibia	32.0	12.5	Q1030
Nepal	55.0	34.61	Q837
Netherlands	12.0	6.48	Q55
New Zealand	17.0	8.38	Q664
Nicaragua	49.0	28.31	Q811
Niger	49.0	23.08	Q1032
Nigeria	50.0	34.11	Q1033
North Korea	97.0	83.9	Q423
Norway	10.0	6.52	Q20
Oman	71.0	41.51	Q842
Pakistan	63.0	51.31	Q843
Palestinian territories	83.0	43.09	Q219060
Panama	46.0	32.95	Q804
Papua New Guinea	27.0	22.97	Q691
Paraguay	60.0	28.78	Q733
Peru	44.0	31.87	Q419
Philippines	42.0	43.11	Q928
Poland	25.0	13.11	Q36
Portugal	17.0	16.75	Q45
Qatar	67.0	32.86	Q846
Romania	41.0	23.05	Q218
Russia	80.0	43.42	Q159
Rwanda	82.0	55.46	Q1037
Samoa	29.0	23.84	Q683
