Country	Total	ID
Afghanistan	86	Q889
Albania	102	Q222
Algeria	105	Q262
Antigua and Barbuda	96	Q781
Argentina	100	Q414
Armenia	90	Q399
Austria	99	Q40
Azerbaijan	100	Q227
Bahamas, The	76	Q778
Bahrain	98	Q398
Barbados	89	Q244
Belarus	105	Q184
Belize	104	Q242
Benin	81	Q962
Bermuda	92	Q23635
Bhutan	100	Q917
Bolivia	95	Q750
Brunei Darussalam	108	Q921
Bulgaria	90	Q219
Burkina Faso	65	Q965
Burundi	63	Q967
Cabo Verde	87	Q1011
Cambodia	88	Q424
Cameroon	64	Q1009
Central African Republic	41	Q929
Chad	41	Q657
Chile	95	Q298
Hong Kong SAR, China	104	Q8646
Macao SAR, China	101	Q14773
Colombia	106	Q739
Comoros	77	Q970
Congo, Dem. Rep.	70	Q974
Costa Rica	99	Q800
Cote d'Ivoire	72	Q1008
Croatia	96	Q224
Cuba	84	Q241
Cyprus	101	Q229
Czech Republic	98	Q213
Denmark	104	Q35
Djibouti	66	Q977
Dominica	114	Q784
Dominican Republic	93	Q786
Ecuador	104	Q736
Egypt, Arab Rep.	101	Q79
El Salvador	87	Q792
Equatorial Guinea	41	Q983
Eritrea	60	Q986
Estonia	97	Q191
Eswatini	96	Q1050
Ethiopia	54	Q115
Fiji	107	Q712
Finland	101	Q33
Gambia, The	69	Q1005
Georgia	96	Q230
Germany	99	Q183
Ghana	94	Q117
Greece	97	Q41
Grenada	123	Q769
Guatemala	80	Q774
Guinea	60	Q1006
Honduras	82	Q783
Hungary	105	Q28
India	92	Q668
Indonesia	102	Q252
Iran, Islamic Rep.	99	Q794
Israel	106	Q801
Italy	99	Q38
Jamaica	86	Q766
Jordan	73	Q810
Kazakhstan	110	Q232
Kenya	100	Q114
Kiribati	101	Q710
Korea, Dem. People’s Rep.	102	Q423
Korea, Rep.	91	Q884
Kuwait	92	Q817
Kyrgyz Republic	105	Q813
Lao PDR	98	Q819
Latvia	99	Q211
Lesotho	86	Q1013
Liberia	61	Q1014
Liechtenstein	90	Q347
Lithuania	102	Q37
Luxembourg	80	Q32
Madagascar	65	Q1019
Malaysia	99	Q833
Maldives	97	Q826
Mali	50	Q912
Malta	102	Q233
Marshall Islands	71	Q709
Mauritania	76	Q1025
Mauritius	101	Q1027
Mexico	104	Q96
Moldova	89	Q217
Mongolia	102	Q711
Montenegro	94	Q236
Morocco	94	Q1028
Mozambique	52	Q1029
Myanmar	95	Q836
Namibia	94	Q1030
Nepal	120	Q837
Niger	72	Q1032
North Macedonia	91	Q221
Norway	101	Q20
Oman	100	Q842
Pakistan	71	Q843
Panama	90	Q804
Papua New Guinea	77	Q691
Peru	96	Q419
Philippines	109	Q928
Poland	106	Q36
Puerto Rico	79	Q1183
Qatar	96	Q846
Romania	92	Q218
Russian Federation	96	Q159
Rwanda	87	Q1037
Samoa	105	Q683
San Marino	107	Q238
Sao Tome and Principe	84	Q1039
Saudi Arabia	97	Q851
Senegal	57	Q1041
Serbia	99	Q403
Seychelles	102	Q1042
Sierra Leone	82	Q1044
Singapore	99	Q334
Slovak Republic	92	Q214
Slovenia	96	Q215
Solomon Islands	87	Q685
South Africa	87	Q258
Spain	101	Q29
Sri Lanka	103	Q854
St. Kitts and Nevis	98	Q763
St. Lucia	95	Q760
St. Vincent and the Grenadines	106	Q757
Sudan	62	Q1049
Suriname	85	Q730
Sweden	105	Q34
Switzerland	97	Q39
Tajikistan	95	Q863
Tanzania	69	Q924
Thailand	93	Q869
Timor-Leste	104	Q574
Togo	90	Q945
Tunisia	95	Q948
Turkey	90	Q43
Tuvalu	79	Q672
Uganda	53	Q1036
United Arab Emirates	104	Q878
United Kingdom	100	Q145
United States	99	Q30
Uruguay	99	Q77
Uzbekistan	103	Q265
Venezuela, RB	93	Q717
Vietnam	110	Q881
West Bank and Gaza	97	Q407199
Yemen, Rep.	72	Q805
