Country	Expenditure % (2010)	Expenditure % (2018)	ID
Afghanistan	23	34	Q889
Albania	27	24	Q222
Angola	36	45	Q916
Armenia	24	21	Q399
Australia	10	10	Q408
Austria	11	11	Q40
Azerbaijan	18	16	Q227
Bahamas, The	42	33	Q778
Bangladesh	21	25	Q902
Barbados	28	25	Q244
Belarus	12	14	Q184
Belgium	6	6	Q31
Belize	40	52	Q242
Bhutan	38	31	Q917
Bosnia and Herzegovina	28	26	Q225
Botswana	41	45	Q963
Brazil	14	12	Q155
Bulgaria	20	19	Q219
Burkina Faso	46	46	Q965
Cabo Verde	43	39	Q1011
Cambodia	36	47	Q424
Cameroon	36	40	Q1009
Canada	11	11	Q16
Central African Republic	25	49	Q929
Chile	21	22	Q298
Macao SAR, China	28	32	Q14773
Colombia	18	13	Q739
Congo, Rep.	25	25	Q971
Costa Rica	48	41	Q800
Cote d'Ivoire	44	31	Q1008
Croatia	16	16	Q224
Cyprus	35	28	Q229
Czech Republic	12	14	Q213
Denmark	11	11	Q35
Dominican Republic	37	39	Q786
Egypt, Arab Rep.	25	27	Q79
El Salvador	38	41	Q792
Equatorial Guinea	17	23	Q983
Estonia	18	18	Q191
Ethiopia	14	12	Q115
Fiji	39	30	Q712
Finland	9	8	Q33
France	18	18	Q142
Gabon	36	55	Q1000
Georgia	18	15	Q230
Germany	6	6	Q183
Ghana	36	36	Q117
Greece	22	22	Q41
Guatemala	30	34	Q774
Honduras	56	46	Q783
Hungary	12	20	Q28
Iceland	18	24	Q189
India	9	9	Q668
Indonesia	15	16	Q252
Ireland	16	27	Q27
Israel	23	23	Q801
Italy	14	14	Q38
Jamaica	38	37	Q766
Japan	6	6	Q17
Jordan	52	47	Q810
Kazakhstan	7	6	Q232
Kiribati	45	33	Q710
Korea, Rep.	10	10	Q884
Kuwait	27	33	Q817
Latvia	14	19	Q211
Lebanon	21	23	Q822
Lesotho	41	45	Q1013
Lithuania	14	16	Q37
Luxembourg	18	18	Q32
Madagascar	59	52	Q1019
Malawi	23	31	Q1020
Malaysia	31	35	Q833
Mali	34	41	Q912
Malta	31	31	Q233
Marshall Islands	45	38	Q709
Mauritius	35	35	Q1027
Mexico	12	11	Q96
Micronesia, Fed. Sts.	36	24	Q702
Moldova	14	13	Q217
Mongolia	29	17	Q711
Morocco	42	46	Q1028
Mozambique	43	54	Q1029
Myanmar	16	22	Q836
Namibia	46	49	Q1030
Nepal	28	23	Q837
Netherlands	7	8	Q55
New Zealand	24	24	Q664
Nicaragua	38	39	Q811
North Macedonia	17	15	Q221
Norway	16	16	Q20
Palau	36	38	Q695
Paraguay	55	53	Q733
Peru	18	20	Q419
Philippines	36	38	Q928
Poland	14	14	Q36
Portugal	25	22	Q45
Romania	18	23	Q218
Russian Federation	16	13	Q159
Samoa	40	47	Q683
San Marino	34	27	Q238
Saudi Arabia	60	54	Q851
Seychelles	26	34	Q1042
Singapore	30	25	Q334
Slovak Republic	14	14	Q214
Slovenia	19	19	Q215
Solomon Islands	35	37	Q685
South Africa	15	14	Q258
Spain	11	10	Q29
Sri Lanka	28	27	Q854
St. Kitts and Nevis	42	45	Q763
St. Lucia	47	40	Q760
St. Vincent and the Grenadines	47	50	Q757
Sudan	31	37	Q1049
Sweden	9	9	Q34
Switzerland	7	7	Q39
Tanzania	20	21	Q924
Thailand	40	27	Q869
Timor-Leste	15	21	Q574
Togo	34	38	Q945
Tonga	46	43	Q678
Trinidad and Tobago	24	31	Q754
Turkey	22	22	Q43
Ukraine	12	15	Q212
United Arab Emirates	30	36	Q878
United Kingdom	13	16	Q145
United States	10	10	Q30
Uruguay	23	25	Q77
Vanuatu	52	49	Q686
West Bank and Gaza	56	54	Q407199
Zambia	45	38	Q953
Zimbabwe	49	37	Q954
