Country	Imports (1990)	Imports (2015)	ID
Albania	8	14	Q222
Algeria	-351	-177	Q262
Angola	-387	-541	Q916
Argentina	-5	13	Q414
Armenia	98	71	Q399
Australia	-82	-190	Q408
Austria	67	64	Q40
Azerbaijan	8	-310	Q227
Bahrain	-173	-62	Q398
Bangladesh	16	17	Q902
Belarus	93	87	Q184
Belgium	73	80	Q31
Benin	-7	47	Q962
Bolivia	-89	-178	Q750
Bosnia and Herzegovina	34	23	Q225
Botswana	29	44	Q963
Brazil	26	12	Q155
Brunei Darussalam	-806	-357	Q921
Bulgaria	66	37	Q219
Cameroon	-120	-28	Q1009
Canada	-31	-73	Q16
Chile	43	65	Q298
China	-1	15	Q148
Hong Kong SAR, China	99	99	Q8646
Colombia	-99	-274	Q739
Congo, Dem. Rep.	-2	2	Q974
Congo, Rep.	-1011	-497	Q971
Costa Rica	59	50	Q800
Cote d'Ivoire	22	7	Q1008
Croatia	40	46	Q224
Cuba	57	50	Q241
Curacao	100	100	Q25279
Cyprus	100	94	Q229
Czech Republic	17	32	Q213
Denmark	42	2	Q35
Dominican Republic	76	87	Q786
Ecuador	-159	-115	Q736
Egypt, Arab Rep.	-70	-7	Q79
El Salvador	31	49	Q792
Eritrea	19	22	Q986
Estonia	45	-3	Q191
Ethiopia	4	6	Q115
Finland	57	45	Q33
France	50	44	Q142
Gabon	-1138	-213	Q1000
Georgia	84	69	Q230
Germany	47	61	Q183
Ghana	17	-8	Q117
Greece	57	64	Q41
Guatemala	23	33	Q774
Haiti	20	22	Q790
Honduras	29	53	Q783
Hungary	49	58	Q28
Iceland	29	12	Q189
India	8	34	Q668
Indonesia	-71	-103	Q252
Iran, Islamic Rep.	-171	-33	Q794
Iraq	-451	-229	Q796
Ireland	65	86	Q27
Israel	96	65	Q801
Italy	83	76	Q38
Jamaica	83	82	Q766
Japan	83	93	Q17
Jordan	95	97	Q810
Kazakhstan	-24	-117	Q232
Kenya	18	17	Q114
Korea, Dem. Peopleâ€™s Rep.	13	-75	Q423
Korea, Rep.	76	81	Q884
Kuwait	-453	-391	Q817
Kyrgyz Republic	67	50	Q813
Latvia	86	45	Q211
Lebanon	93	98	Q822
Libya	-555	-103	Q1016
Lithuania	69	75	Q37
Luxembourg	99	96	Q32
North Macedonia	49	52	Q221
Malaysia	-122	-6	Q833
Malta	100	98	Q233
Mauritius	55	85	Q1027
Mexico	-58	-5	Q96
Moldova	99	90	Q217
Mongolia	20	-168	Q711
Morocco	81	91	Q1028
Mozambique	5	-55	Q1029
Myanmar	0	-33	Q836
Namibia	55	74	Q1030
Nepal	5	17	Q837
Netherlands	8	35	Q55
New Zealand	10	19	Q664
Nicaragua	30	41	Q811
Nigeria	-120	-93	Q1033
Norway	-467	-581	Q20
Oman	-808	-206	Q842
Pakistan	20	24	Q843
Panama	59	81	Q804
Paraguay	-49	-37	Q733
Peru	-9	-15	Q419
Philippines	40	46	Q928
Poland	-1	29	Q36
Portugal	80	77	Q45
Qatar	-324	-399	Q846
Romania	34	17	Q218
Russian Federation	-47	-84	Q159
Saudi Arabia	-535	-192	Q851
Senegal	43	53	Q1041
Serbia	30	29	Q403
Singapore	99	98	Q334
Slovak Republic	75	61	Q214
Slovenia	46	49	Q215
South Africa	-26	-14	Q258
Spain	62	71	Q29
Sri Lanka	24	50	Q854
Sudan	17	-9	Q1049
Sweden	37	25	Q34
Switzerland	58	50	Q39
Syrian Arab Republic	-113	48	Q858
Tajikistan	62	36	Q863
Tanzania	7	11	Q924
Thailand	37	42	Q869
Togo	17	20	Q945
Trinidad and Tobago	-111	-103	Q754
Tunisia	-16	36	Q948
Turkey	51	75	Q43
Turkmenistan	-317	-192	Q874
Ukraine	46	27	Q212
United Arab Emirates	-440	-184	Q878
United Kingdom	-1	35	Q145
United States	14	7	Q30
Uruguay	49	44	Q77
Uzbekistan	17	-26	Q265
Venezuela, RB	-266	-179	Q717
Vietnam	-2	-15	Q881
Yemen, Rep.	-273	-121	Q805
Zambia	9	8	Q953
Zimbabwe	8	15	Q954
