Country	Receipts $ (2012)	Receipts $ (2018)	Receipts % (2012)	Receipts % (2018)	ID
Afghanistan	167	50	7.2	3.1	Q889
Albania	1623	2306	45.6	48.2	Q222
Angola	711	557	1	1.3	Q916
Antigua and Barbuda	319	971	58.9	84.3	Q781
Argentina	5665	5999	6	7.8	Q414
Armenia	853	1237	29.2	26.3	Q399
Aruba	1.412,00	2.024,00	44.8	79.6	Q21203
Australia	34.137,00	47.327,00	10.9	14.5	Q408
Austria	18.931,00	25.411,00	8.7	10,00	Q40
Azerbaijan	2634	2830	7.2	11.1	Q227
Bahamas, The	2.333,00	3.383,00	63.5	77.2	Q778
Bahrain	1.752,00	3.834,00	5.6	12.7	Q398
Bangladesh	105,00	357,00	0.4	0.8	Q902
Belarus	986	1221	1.9	2.9	Q184
Belgium	13.704,00	10.381,00	3.4	2.3	Q31
Belize	298	487	28.8	45.2	Q242
Bermuda	448,00	583,00	32,00	36.9	Q23635
Bhutan	93	121	12.8	15.5	Q917
Bolivia	631,00	970,00	5.1	9.4	Q750
Bosnia and Herzegovina	686	1081	12.3	12.7	Q225
Botswana	516	575	7.1	7.8	Q963
Brazil	6623	6324	2.4	2.3	Q155
Brunei Darussalam	92,00	190,00	0.7	2.7	Q921
Bulgaria	3.975,00	5.072,00	12.2	11.7	Q219
Burundi	2	4	0.7	1.4	Q967
Cabo Verde	452	524	58.6	54.1	Q1011
Cambodia	2663	4832	30	26.2	Q424
Cameroon	377	633	5.1	8.7	Q1009
Canada	17.404,00	21.978,00	3.1	4,00	Q16
Chile	3.158,00	3.972,00	3.5	4.6	Q298
China	50028	40386	2.3	1.5	Q148
Hong Kong SAR, China	37.098,00	41.870,00	6.5	6.1	Q8646
Macao SAR, China	36.521,00	40.358,00	93.2	88.5	Q14773
Colombia	4363	6617	6.4	12.2	Q739
Comoros	39	77	43.9	50.4	Q970
Congo, Dem. Rep.	7	61	0.1	0.4	Q974
Costa Rica	2773	3995	18.3	19.4	Q800
Croatia	8.912,00	12.075,00	38.1	39.3	Q224
Curacao	676,00	605,00	28.8	31.5	Q25279
Cyprus	2.603,00	3.449,00	18.9	18.9	Q229
Czech Republic	8.174,00	8.291,00	5.2	4.3	Q213
Denmark	6.135,00	9.097,00	3.4	4.6	Q35
Djibouti	21	57	4.5	1.2	Q977
Dominica	76	111	47.4	68.5	Q784
Dominican Republic	4.687,00	7.561,00	31.1	37.4	Q786
Ecuador	1039	1878	3.9	7.4	Q736
Egypt, Arab Rep.	10.823,00	12.704,00	22.3	24.6	Q79
El Salvador	900	1370	14.7	18.2	Q792
Estonia	1.286,00	2.332,00	6.5	10.2	Q191
Ethiopia	1980	3548	33	46.5	Q115
Fiji	989	1370	40.7	51.3	Q712
Finland	5.419,00	5.663,00	5.3	5.3	Q33
France	63.975,00	73.125,00	8,00	8.1	Q142
Gambia, The	104	168	37.9	48.3	Q1005
Georgia	1565	3518	26	39.5	Q230
Germany	51.626,00	60.260,00	3.2	3.2	Q183
Ghana	1154	996	6.9	4.4	Q117
Greece	14.665,00	21.594,00	23.2	26.4	Q41
Grenada	122	548	59.1	84.3	Q769
Guatemala	1419	1553	12.5	11.6	Q774
Guinea	2	8	0.1	0.2	Q1006
Guinea-Bissau	7	20	4.4	5.3	Q1007
Guyana	64	28	3.7	1.8	Q734
Haiti	447,00	620,00	33.7	34.9	Q790
Honduras	684	745	10.3	10.2	Q783
Hungary	6.149,00	9.595,00	5.6	7.1	Q28
Iceland	865,00	3.128,00	10.7	25.6	Q189
India	18340	29143	4.1	5.4	Q668
Indonesia	9463	15600	4.5	7.4	Q252
Iraq	1640	1986	1.7	2.2	Q796
Ireland	9.060,00	14.658,00	4,00	3.1	Q27
Israel	6.165,00	8.073,00	6.7	7.4	Q801
Italy	40.943,00	51.602,00	6.9	7.9	Q38
Jamaica	2069	3099	46.1	53.4	Q766
Japan	16.197,00	45.276,00	1.8	4.9	Q17
Jordan	5123	6221	35.8	41.3	Q810
Kazakhstan	2154	2651	2.3	3.9	Q232
Korea, Rep.	18.731,00	19.856,00	2.7	2.7	Q884
Kuwait	780,00	919,00	0.6	1.1	Q817
Kyrgyz Republic	486	487	13.9	17.8	Q813
Lao PDR	461	757	16.2	12.2	Q819
Latvia	744,00	1.057,00	4.3	5,00	Q211
Lebanon	7361	8694	36.6	45.4	Q822
Lesotho	22	24	2.2	1.9	Q1013
Lithuania	1.317,00	1.419,00	3.9	3.2	Q37
Luxembourg	5.395,00	5.537,00	5.2	4.1	Q32
North Macedonia	237	387	5.5	5.1	Q221
Madagascar	596	879	21.2	20.2	Q1019
Malawi	35	43	2.5	3.8	Q1020
Malaysia	21711	21774	8.7	8.8	Q833
Maldives	2032	3054	81.7	82.7	Q826
Malta	1.260,00	1.845,00	8.3	8.7	Q233
Marshall Islands	4,00	20,00	3.5	15.6	Q709
Mauritania	50	6	1.8	0.3	Q1025
Mauritius	1.778,00	2.161,00	29.4	38.9	Q1027
Mexico	13320	23802	3.4	5	Q96
Moldova	279	500	10.3	14.5	Q217
Mongolia	215	526	4.8	6.8	Q711
Montenegro	860	1224	50.6	52.2	Q236
Morocco	8491	9523	26.3	22	Q1028
Mozambique	224	331	4.8	5.5	Q1029
Myanmar	550	1670	5.8	10.6	Q836
