Country	per capita	ID
Afghanistan	0.3	Q889
Albania	1.9	Q222
Algeria	3.7	Q262
Andorra	5.8	Q228
Angola	1.7	Q916
Antigua and Barbuda	5.7	Q781
Argentina	4.6	Q414
Armenia	1.9	Q399
Aruba	8.4	Q21203
Australia	15.4	Q408
Austria	6.9	Q40
Azerbaijan	3.9	Q227
Bahamas, The	6.3	Q778
Bahrain	23.5	Q398
Bangladesh	0.5	Q902
Barbados	4.4	Q244
Belarus	6.6	Q184
Belgium	8.3	Q31
Belize	1.4	Q242
Benin	0.5	Q962
Bermuda	10	Q23635
Bhutan	1.4	Q917
Bolivia	1.9	Q750
Bosnia and Herzegovina	5.6	Q225
Botswana	3.3	Q963
Brazil	2.6	Q155
Brunei Darussalam	22.1	Q921
Bulgaria	5.9	Q219
Burkina Faso	0.2	Q965
Burundi	0	Q967
Cabo Verde	0.9	Q1011
Cambodia	0.4	Q424
Cameroon	0.3	Q1009
Canada	15.3	Q16
Cayman Islands	9	Q5785
Central African Republic	0.1	Q929
Chad	0.1	Q657
Chile	4.5	Q298
China	7.5	Q148
Hong Kong SAR, China	6.3	Q8646
Macao SAR, China	2.7	Q14773
Colombia	1.8	Q739
Comoros	0.2	Q970
Congo, Dem. Rep.	0.1	Q974
Congo, Rep.	0.7	Q971
Costa Rica	1.6	Q800
Cote d'Ivoire	0.5	Q1008
Croatia	4	Q224
Cuba	2.4	Q241
Curacao	37.7	Q25279
Cyprus	5.3	Q229
Czech Republic	9.2	Q213
Denmark	5.9	Q35
Djibouti	0.7	Q977
Dominica	2.5	Q784
Dominican Republic	2.2	Q786
Ecuador	2.9	Q736
Egypt, Arab Rep.	2.5	Q79
El Salvador	1	Q792
Equatorial Guinea	6.5	Q983
Eritrea	0.2	Q986
Estonia	13.8	Q191
Eswatini	0.8	Q1050
Ethiopia	0.1	Q115
Faroe Islands	12.5	Q4628
Fiji	1.9	Q712
Finland	8.6	Q33
France	4.6	Q142
French Polynesia	2.7	Q30971
Gabon	2.8	Q1000
Gambia, The	0.3	Q1005
Georgia	2.4	Q230
Germany	8.9	Q183
Ghana	0.6	Q117
Greece	6.2	Q41
Greenland	9	Q223
Grenada	2.2	Q769
Guatemala	0.9	Q774
Guinea	0.2	Q1006
Guinea-Bissau	0.2	Q1007
Guyana	2.6	Q734
Haiti	0.3	Q790
Honduras	1.1	Q783
Hungary	4.2	Q28
Iceland	6.1	Q189
India	1.7	Q668
Indonesia	1.5	Q252
Iran, Islamic Rep.	8.4	Q794
Iraq	4.8	Q796
Ireland	7.3	Q27
Israel	7.7	Q801
Italy	5.3	Q38
