Country	Net Inflows $	Net Inflows %	ID
Afghanistan	119	0.6	Q889
Albania	1204	8	Q222
Algeria	1506	0.9	Q262
Angola	-6456	-6.4	Q916
Antigua and Barbuda	135	8.4	Q781
Argentina	11873	2.3	Q414
Armenia	254	2	Q399
Australia	62173	4.3	Q408
Austria	4220	0.9	Q40
Azerbaijan	1403	3	Q227
Bahamas, The	491	4	Q778
Bahrain	111	0.3	Q398
Bangladesh	2940	1.1	Q902
Barbados	195	3.8	Q244
Belarus	1427	2.4	Q184
Belgium	-54789	-10.1	Q31
Belize	120	6.4	Q242
Benin	141	1	Q962
Bhutan	3	0.1	Q917
Bolivia	302	0.8	Q750
Bosnia and Herzegovina	489	2.4	Q225
Botswana	229	1.2	Q963
Brazil	78163	4.1	Q155
Brunei Darussalam	516	3.8	Q921
Bulgaria	1223	1.8	Q219
Burkina Faso	268	1.7	Q965
Burundi	1	0	Q967
Cabo Verde	108	5.5	Q1011
Cambodia	3213	13.1	Q424
Cameroon	765	2	Q1009
Canada	46543	2.7	Q16
Cayman Islands	57384	1046.1	Q5785
Central African Republic	18	0.8	Q929
Chad	662	5.9	Q657
Chile	6082	2	Q298
China	235365	1.7	Q148
Hong Kong SAR, China	97036	26.8	Q8646
Macao SAR, China	2326	4.2	Q14773
Colombia	11535	3.5	Q739
Comoros	7	0.6	Q970
Congo, Dem. Rep.	1285	2.7	Q974
Congo, Rep.	4313	37	Q971
Costa Rica	2764	4.6	Q800
Cote d'Ivoire	620	1.1	Q1008
Croatia	1213	2	Q224
Curacao	127	4.1	Q25279
Cyprus	5207	20.9	Q229
Czech Republic	8325	3.4	Q213
Denmark	1166	0.3	Q35
Djibouti	170	5.6	Q977
Dominica	13	2.4	Q784
Dominican Republic	2745	3.2	Q786
Ecuador	1456	1.4	Q736
Egypt, Arab Rep.	8141	3.2	Q79
El Salvador	413	1.6	Q792
Equatorial Guinea	396	3	Q983
Estonia	1180	3.8	Q191
Ethiopia	3360	4	Q115
Fiji	469	8.5	Q712
Finland	-10592	-3.8	Q33
France	59858	2.1	Q142
Gabon	846	5	Q1000
Gambia, The	33	2	Q1005
Georgia	1219	6.9	Q230
Germany	167956	4.3	Q183
Ghana	2989	4.6	Q117
Greece	4025	1.8	Q41
Grenada	154	13.2	Q769
Guatemala	936	1.3	Q774
Guinea	353	2.9	Q1006
Guinea-Bissau	21	1.4	Q1007
Guyana	1180	30.4	Q734
Haiti	105	1.1	Q790
Honduras	1443	6	Q783
Hungary	-65534	-41.5	Q28
Iceland	-612	-2.4	Q189
India	42117	1.6	Q668
Indonesia	18910	1.8	Q252
Iraq	-4885	-2.2	Q796
Ireland	64536	16.9	Q27
Israel	20789	5.6	Q801
Italy	39613	1.9	Q38
Jamaica	775	4.9	Q766
Japan	24606	0.5	Q17
Jordan	950	2.2	Q810
Kazakhstan	214	0.1	Q232
Kenya	1626	1.9	Q114
Kiribati	-1	-0.6	Q710
Korea, Rep.	12183	0.7	Q884
Kosovo	319	4	Q1246
Kuwait	-21	0	Q817
Kyrgyz Republic	144	1.7	Q813
Lao PDR	1320	7.4	Q819
Latvia	447	1.3	Q211
Lebanon	2632	4.8	Q822
Lesotho	129	5	Q1013
Liberia	129	4	Q1014
Libya	0	0	Q1016
Lithuania	868	1.6	Q37
Luxembourg	-5615	-7.9	Q32
North Macedonia	649	5.1	Q221
Madagascar	612	4.4	Q1019
Malawi	102	1.5	Q1020
Malaysia	8570	2.4	Q833
Maldives	539	10.1	Q826
Mali	467	2.7	Q912
Malta	4750	32.5	Q233
Marshall Islands	10	4.4	Q709
Mauritania	71	1	Q1025
Mauritius	372	2.6	Q1027
Mexico	38644	3.2	Q96
Moldova	312	2.7	Q217
Mongolia	1952	14.9	Q711
Montenegro	486	8.8	Q236
Morocco	3544	3	Q1028
Mozambique	2678	18.2	Q1029
Myanmar	1291	1.7	Q836
Namibia	183	1.4	Q1030
Nepal	68	0.2	Q837
Netherlands	-239337	-26.2	Q55
New Zealand	2129	1	Q664
Nicaragua	359	2.7	Q811
Niger	466	3.6	Q1032
Nigeria	1997	0.5	Q1033
Norway	-6634	-1.5	Q20
Oman	6342	8	Q842
Pakistan	1737	0.6	Q843
Palau	22	7.6	Q695
Panama	5945	9.1	Q804
Papua New Guinea	1135	4.8	Q691
Paraguay	387	1	Q733
Peru	6488	2.9	Q419
Philippines	9949	2.9	Q928
Poland	16697	2.8	Q36
Portugal	7816	3.2	Q45
Qatar	-2186	-1.1	Q846
Romania	7344	3	Q218
Russian Federation	8785	0.5	Q159
Rwanda	302	3.1	Q1037
Samoa	17	2	Q683
Sao Tome and Principe	24	5.6	Q1039
Saudi Arabia	4247	0.5	Q851
Senegal	848	3.6	Q1041
Serbia	4072	8	Q403
Seychelles	308	19.4	Q1042
Sierra Leone	218	5.3	Q1044
Singapore	91036	24.4	Q334
Slovak Republic	2552	2.4	Q214
Slovenia	1524	2.8	Q215
Solomon Islands	25	1.8	Q685
South Africa	5569	1.5	Q258
Spain	49074	3.5	Q29
Sri Lanka	1611	1.8	Q854
St. Kitts and Nevis	94	9.3	Q763
St. Lucia	40	1.9	Q760
St. Vincent and the Grenadines	110	13.6	Q757
Sudan	1136	4.4	Q1049
Suriname	131	3.8	Q730
Eswatini	31	0.7	Q1050
Sweden	-1820	-0.3	Q34
Switzerland	-76221	-10.8	Q39
Tajikistan	221	2.9	Q863
Tanzania	1056	1.8	Q924
Thailand	13205	2.6	Q869
Timor-Leste	48	3.1	Q574
Togo	-181	-3.4	Q945
Tonga	15	3.3	Q678
Trinidad and Tobago	-702	-2.9	Q754
Tunisia	989	2.5	Q948
Turkey	13023	1.7	Q43
Turkmenistan	1985	4.9	Q874
Turks and Caicos Islands	42	4.1	Q18221
Tuvalu	0	0.7	Q672
Uganda	1055	3.2	Q1036
Ukraine	2476	1.9	Q212
United Arab Emirates	10385	2.5	Q878
United Kingdom	81159	2.8	Q145
United States	258390	1.3	Q30
Uruguay	1172	2	Q77
