Country	$ (2010)	$ (2019)	ID
Afghanistan	5154	7310	Q889
Albania	4406	5897	Q222
Algeria	40473	42944	Q262
American Samoa	361	635	Q16641
Angola	16667	14490	Q916
Antigua and Barbuda	501	605	Q781
Argentina	56793	49124	Q414
Armenia	3783	5514	Q399
Australia	201639	221569	Q408
Austria	159009	184964	Q40
Azerbaijan	6746	12000	Q227
Bahamas, The	2591	2990	Q778
Bahrain	12260	12506	Q398
Bangladesh	27821	60144	Q902
Barbados	1569	1596	Q244
Belarus	34884	39342	Q184
Belgium	391177	426198	Q31
Belize	706	980	Q242
Benin	2054	3646	Q962
Bermuda	972	1150	Q23635
Bhutan	854	960	Q917
Bolivia	5590	9784	Q750
Bosnia and Herzegovina	9223	11159	Q225
Botswana	5657	6573	Q963
Brazil	191537	184104	Q155
Brunei Darussalam	2538	4370	Q921
Bulgaria	25513	37176	Q219
Burkina Faso	2048	4672	Q965
Burundi	509	883	Q967
Cabo Verde	742	796	Q1011
Cambodia	6791	22090	Q424
Cameroon	5133	5651	Q1009
Canada	402690	463711	Q16
Cayman Islands	872	1150	Q5785
Central African Republic	300	460	Q929
Chad	2400	2230	Q657
Chile	59207	69593	Q298
China	1396247	2077097	Q148
Hong Kong SAR, China	441369	577834	Q8646
Macao SAR, China	5629	11168	Q14773
Colombia	40486	52703	Q739
Comoros	233	222	Q970
Congo, Dem. Rep.	4500	6200	Q974
Congo, Rep.	4000	3165	Q971
Costa Rica	13570	16148	Q800
Cote d'Ivoire	7849	10487	Q1008
Croatia	20067	28026	Q224
Cuba	11496	10740	Q241
Curacao	2130	1540	Q25279
Cyprus	8569	9167	Q229
Czech Republic	126652	178248	Q213
Denmark	83052	97533	Q35
Djibouti	374	887	Q977
Dominica	224	310	Q784
Dominican Republic	15489	20494	Q786
Ecuador	20591	22564	Q736
Egypt, Arab Rep.	52923	70919	Q79
El Salvador	8416	12018	Q792
Equatorial Guinea	5485	2000	Q983
Eritrea	660	1158	Q986
Estonia	12287	18015	Q191
Eswatini	1960	1768	Q1050
Ethiopia	8602	16084	Q115
Faroe Islands	780	1096	Q4628
Fiji	1808	2755	Q712
Finland	68803	73500	Q33
France	611070	651179	Q142
French Polynesia	1726	2600	Q30971
Gabon	2983	3039	Q1000
Gambia, The	285	619	Q1005
Georgia	5257	9066	Q230
Germany	1054814	1234222	Q183
Ghana	10922	13434	Q117
Greece	65907	62218	Q41
Greenland	808	950	Q223
Grenada	318	470	Q769
