Country,date,total_cases,new_cases,new_cases_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million
Aruba,2020-03-13,2,2,,18.733,18.733,
Aruba,2020-03-19,,,0.286,,,2.676
Aruba,2020-03-20,4,2,0.286,37.465,18.733,2.676
Aruba,2020-03-21,,,0.286,,,2.676
Aruba,2020-03-22,,,0.286,,,2.676
Aruba,2020-03-23,,,0.286,,,2.676
Aruba,2020-03-24,12,8,1.429,112.395,74.93,13.38
Aruba,2020-03-25,17,5,2.143,159.227,46.831,20.071
Aruba,2020-03-26,19,2,2.429,177.959,18.733,22.747
Aruba,2020-03-27,28,9,3.429,262.256,84.296,32.113
Aruba,2020-03-28,28,0,3.429,262.256,0,32.113
Aruba,2020-03-29,28,0,3.429,262.256,0,32.113
Aruba,2020-03-30,50,22,6.571,468.314,206.058,61.55
Aruba,2020-03-31,,,5.429,,,50.846
Aruba,2020-04-01,55,5,5.429,515.145,46.831,50.846
Aruba,2020-04-02,55,0,5.143,515.145,0,48.169
Aruba,2020-04-03,60,5,4.571,561.977,46.831,42.817
Aruba,2020-04-04,62,2,4.857,580.709,18.733,45.493
Aruba,2020-04-05,64,2,5.143,599.442,18.733,48.169
Aruba,2020-04-06,64,0,2,599.442,0,18.733
Aruba,2020-04-07,71,7,3,665.006,65.564,28.099
Aruba,2020-04-08,74,3,2.714,693.105,28.099,25.423
Aruba,2020-04-09,77,3,3.143,721.203,28.099,29.437
Aruba,2020-04-10,82,5,3.143,768.035,46.831,29.437
Aruba,2020-04-11,86,4,3.429,805.5,37.465,32.113
Aruba,2020-04-12,92,6,4,861.698,56.198,37.465
Aruba,2020-04-13,92,0,4,861.698,0,37.465
Aruba,2020-04-14,92,0,3,861.698,0,28.099
Aruba,2020-04-15,92,0,2.571,861.698,0,24.085
Aruba,2020-04-16,93,1,2.286,871.064,9.366,21.409
Aruba,2020-04-17,95,2,1.857,889.796,18.733,17.395
Aruba,2020-04-18,96,1,1.429,899.163,9.366,13.38
Aruba,2020-04-19,96,0,0.571,899.163,0,5.352
Aruba,2020-04-20,97,1,0.714,908.529,9.366,6.69
Aruba,2020-04-21,97,0,0.714,908.529,0,6.69
Aruba,2020-04-22,97,0,0.714,908.529,0,6.69
Aruba,2020-04-23,100,3,1,936.628,28.099,9.366
Aruba,2020-04-24,100,0,0.714,936.628,0,6.69
Aruba,2020-04-25,100,0,0.571,936.628,0,5.352
Aruba,2020-04-26,100,0,0.571,936.628,0,5.352
Aruba,2020-04-27,100,0,0.429,936.628,0,4.014
Aruba,2020-04-28,100,0,0.429,936.628,0,4.014
Aruba,2020-04-29,100,0,0.429,936.628,0,4.014
Aruba,2020-04-30,100,0,0,936.628,0,0
Aruba,2020-05-01,100,0,0,936.628,0,0
Aruba,2020-05-02,100,0,0,936.628,0,0
Aruba,2020-05-03,100,0,0,936.628,0,0
Aruba,2020-05-04,100,0,0,936.628,0,0
Aruba,2020-05-05,100,0,0,936.628,0,0
Aruba,2020-05-06,100,0,0,936.628,0,0
Aruba,2020-05-07,101,1,0.143,945.994,9.366,1.338
Aruba,2020-05-08,101,0,0.143,945.994,0,1.338
Aruba,2020-05-09,101,0,0.143,945.994,0,1.338
Aruba,2020-05-10,101,0,0.143,945.994,0,1.338
Aruba,2020-05-11,101,0,0.143,945.994,0,1.338
Aruba,2020-05-12,101,0,0.143,945.994,0,1.338
Aruba,2020-05-13,101,0,0.143,945.994,0,1.338
Aruba,2020-05-14,101,0,0,945.994,0,0
Aruba,2020-05-15,101,0,0,945.994,0,0
Aruba,2020-05-16,101,0,0,945.994,0,0
Aruba,2020-05-17,101,0,0,945.994,0,0
Aruba,2020-05-18,101,0,0,945.994,0,0
Aruba,2020-05-19,101,0,0,945.994,0,0
Aruba,2020-05-20,101,0,0,945.994,0,0
Aruba,2020-05-21,101,0,0,945.994,0,0
Aruba,2020-05-22,101,0,0,945.994,0,0
Aruba,2020-05-23,101,0,0,945.994,0,0
Aruba,2020-05-24,101,0,0,945.994,0,0
Aruba,2020-05-25,101,0,0,945.994,0,0
Aruba,2020-05-26,101,0,0,945.994,0,0
Aruba,2020-05-27,101,0,0,945.994,0,0
Aruba,2020-05-28,101,0,0,945.994,0,0
Aruba,2020-05-29,101,0,0,945.994,0,0
Aruba,2020-05-30,101,0,0,945.994,0,0
Aruba,2020-05-31,101,0,0,945.994,0,0
Aruba,2020-06-01,101,0,0,945.994,0,0
Aruba,2020-06-02,101,0,0,945.994,0,0
Aruba,2020-06-03,101,0,0,945.994,0,0
Aruba,2020-06-04,101,0,0,945.994,0,0
Aruba,2020-06-05,101,0,0,945.994,0,0
Aruba,2020-06-06,101,0,0,945.994,0,0
Aruba,2020-06-07,101,0,0,945.994,0,0
Aruba,2020-06-08,101,0,0,945.994,0,0
Aruba,2020-06-09,101,0,0,945.994,0,0
Aruba,2020-06-10,101,0,0,945.994,0,0
Aruba,2020-06-11,101,0,0,945.994,0,0
Aruba,2020-06-12,101,0,0,945.994,0,0
Aruba,2020-06-13,101,0,0,945.994,0,0
Aruba,2020-06-14,101,0,0,945.994,0,0
Aruba,2020-06-15,101,0,0,945.994,0,0
Aruba,2020-06-16,101,0,0,945.994,0,0
Aruba,2020-06-17,101,0,0,945.994,0,0
Aruba,2020-06-18,101,0,0,945.994,0,0
Aruba,2020-06-19,101,0,0,945.994,0,0
Aruba,2020-06-20,101,0,0,945.994,0,0
Aruba,2020-06-21,101,0,0,945.994,0,0
Aruba,2020-06-22,101,0,0,945.994,0,0
Aruba,2020-06-23,101,0,0,945.994,0,0
Aruba,2020-06-24,101,0,0,945.994,0,0
Aruba,2020-06-25,101,0,0,945.994,0,0
Aruba,2020-06-26,101,0,0,945.994,0,0
Aruba,2020-06-27,101,0,0,945.994,0,0
Aruba,2020-06-28,101,0,0,945.994,0,0
Aruba,2020-06-29,101,0,0,945.994,0,0
Aruba,2020-06-30,103,2,0.286,964.727,18.733,2.676
Aruba,2020-07-01,103,0,0.286,964.727,0,2.676
Aruba,2020-07-02,103,0,0.286,964.727,0,2.676
Aruba,2020-07-03,104,1,0.429,974.093,9.366,4.014
Aruba,2020-07-04,104,0,0.429,974.093,0,4.014
Aruba,2020-07-05,105,1,0.571,983.459,9.366,5.352
Aruba,2020-07-06,105,0,0.571,983.459,0,5.352
Aruba,2020-07-07,105,0,0.286,983.459,0,2.676
Aruba,2020-07-08,105,0,0.286,983.459,0,2.676
Aruba,2020-07-09,105,0,0.286,983.459,0,2.676
Aruba,2020-07-10,105,0,0.143,983.459,0,1.338
Aruba,2020-07-11,105,0,0.143,983.459,0,1.338
Aruba,2020-07-12,105,0,0,983.459,0,0
Aruba,2020-07-13,105,0,0,983.459,0,0
Aruba,2020-07-14,105,0,0,983.459,0,0
Aruba,2020-07-15,106,1,0.143,992.825,9.366,1.338
Aruba,2020-07-16,106,0,0.143,992.825,0,1.338
Aruba,2020-07-17,108,2,0.429,1011.558,18.733,4.014
Aruba,2020-07-18,108,0,0.429,1011.558,0,4.014
Aruba,2020-07-19,108,0,0.429,1011.558,0,4.014
Aruba,2020-07-20,113,5,1.143,1058.389,46.831,10.704
Aruba,2020-07-21,115,2,1.429,1077.122,18.733,13.38
Aruba,2020-07-22,117,2,1.571,1095.854,18.733,14.718
Aruba,2020-07-23,117,0,1.571,1095.854,0,14.718
Aruba,2020-07-24,117,0,1.286,1095.854,0,12.042
Aruba,2020-07-25,118,1,1.429,1105.221,9.366,13.38
Aruba,2020-07-26,119,1,1.571,1114.587,9.366,14.718
Aruba,2020-07-27,119,0,0.857,1114.587,0,8.028
Aruba,2020-07-28,119,0,0.571,1114.587,0,5.352
Aruba,2020-07-29,119,0,0.286,1114.587,0,2.676
Aruba,2020-07-30,119,0,0.286,1114.587,0,2.676
Aruba,2020-07-31,120,1,0.429,1123.953,9.366,4.014
Aruba,2020-08-01,121,1,0.429,1133.32,9.366,4.014
Aruba,2020-08-02,121,0,0.286,1133.32,0,2.676
Aruba,2020-08-03,122,1,0.429,1142.686,9.366,4.014
Aruba,2020-08-04,124,2,0.714,1161.418,18.733,6.69
Aruba,2020-08-05,132,8,1.857,1236.349,74.93,17.395
Aruba,2020-08-06,171,39,7.429,1601.633,365.285,69.578
Aruba,2020-08-07,263,92,20.429,2463.331,861.698,191.34
Aruba,2020-08-08,396,133,39.286,3709.046,1245.715,367.961
Aruba,2020-08-09,509,113,55.429,4767.435,1058.389,519.159
Aruba,2020-08-10,563,54,63,5273.214,505.779,590.075
Aruba,2020-08-11,630,67,72.286,5900.755,627.541,677.048
Aruba,2020-08-12,717,87,83.571,6715.621,814.866,782.753
