Week Ending Date,State,Observed Number,Upper Bound Threshold,Average Expected Count,Excess Lower Estimate,Excess Higher Estimate,Year,Total Excess Lower Estimate in 2020,Total Excess Higher Estimate in 2020,Percent Excess Lower Estimate,Percent Excess Higher Estimate
2017-01-14,Alabama,1130,1188,1029,0,101,2017,3743,5884,0,0.1
2017-01-21,Alabama,1048,1201,1042,0,6,2017,3743,5884,0,0
2017-01-28,Alabama,1026,1216,1057,0,0,2017,3743,5884,0,0
2017-02-04,Alabama,1036,1216,1057,0,0,2017,3743,5884,0,0
2017-02-11,Alabama,1058,1207,1053,0,5,2017,3743,5884,0,0
2017-02-18,Alabama,1060,1216,1057,0,3,2017,3743,5884,0,0
2017-02-25,Alabama,1099,1208,1051,0,48,2017,3743,5884,0,0
2017-03-04,Alabama,1081,1195,1039,0,42,2017,3743,5884,0,0
2017-03-11,Alabama,1011,1188,1033,0,0,2017,3743,5884,0,0
2017-03-18,Alabama,1067,1163,1011,0,56,2017,3743,5884,0,0.1
2017-03-25,Alabama,1068,1165,1011,0,57,2017,3743,5884,0,0.1
2017-04-01,Alabama,991,1145,992,0,0,2017,3743,5884,0,0
2017-04-08,Alabama,1037,1146,990,0,47,2017,3743,5884,0,0
2017-04-15,Alabama,1017,1136,983,0,34,2017,3743,5884,0,0
2017-04-22,Alabama,966,1131,981,0,0,2017,3743,5884,0,0
2017-04-29,Alabama,996,1123,971,0,25,2017,3743,5884,0,0
2017-05-06,Alabama,907,1119,969,0,0,2017,3743,5884,0,0
2017-05-13,Alabama,1064,1102,952,0,112,2017,3743,5884,0,0.1
2017-05-20,Alabama,998,1089,939,0,59,2017,3743,5884,0,0.1
2017-05-27,Alabama,988,1087,940,0,48,2017,3743,5884,0,0.1
2017-06-03,Alabama,925,1083,933,0,0,2017,3743,5884,0,0
2017-06-10,Alabama,984,1081,932,0,52,2017,3743,5884,0,0.1
2017-06-17,Alabama,918,1074,926,0,0,2017,3743,5884,0,0
2017-06-24,Alabama,961,1069,920,0,41,2017,3743,5884,0,0
2017-07-01,Alabama,925,1051,907,0,18,2017,3743,5884,0,0
2017-07-08,Alabama,954,1056,909,0,45,2017,3743,5884,0,0
2017-07-15,Alabama,968,1056,908,0,60,2017,3743,5884,0,0.1
2017-07-22,Alabama,964,1069,921,0,43,2017,3743,5884,0,0
2017-07-29,Alabama,888,1083,933,0,0,2017,3743,5884,0,0
2017-08-05,Alabama,949,1087,939,0,10,2017,3743,5884,0,0
2017-08-12,Alabama,936,1093,943,0,0,2017,3743,5884,0,0
2017-08-19,Alabama,933,1082,932,0,1,2017,3743,5884,0,0
2017-08-26,Alabama,917,1074,926,0,0,2017,3743,5884,0,0
2017-09-02,Alabama,953,1063,915,0,38,2017,3743,5884,0,0
2017-09-09,Alabama,960,1063,919,0,41,2017,3743,5884,0,0
2017-09-16,Alabama,968,1080,931,0,37,2017,3743,5884,0,0
2017-09-23,Alabama,995,1100,951,0,44,2017,3743,5884,0,0
2017-09-30,Alabama,1019,1113,964,0,55,2017,3743,5884,0,0.1
2017-10-07,Alabama,948,1124,974,0,0,2017,3743,5884,0,0
2017-10-14,Alabama,986,1135,985,0,1,2017,3743,5884,0,0
2017-10-21,Alabama,966,1139,988,0,0,2017,3743,5884,0,0
2017-10-28,Alabama,941,1149,996,0,0,2017,3743,5884,0,0
2017-11-04,Alabama,994,1157,1004,0,0,2017,3743,5884,0,0
2017-11-11,Alabama,994,1175,1021,0,0,2017,3743,5884,0,0
2017-11-18,Alabama,982,1186,1034,0,0,2017,3743,5884,0,0
2017-11-25,Alabama,1004,1204,1050,0,0,2017,3743,5884,0,0
2017-12-02,Alabama,1067,1211,1055,0,12,2017,3743,5884,0,0
2017-12-09,Alabama,1074,1232,1075,0,0,2017,3743,5884,0,0
2017-12-16,Alabama,1120,1245,1087,0,33,2017,3743,5884,0,0
2017-12-23,Alabama,1098,1250,1095,0,3,2017,3743,5884,0,0
2017-12-30,Alabama,1080,1267,1110,0,0,2017,3743,5884,0,0
2018-01-06,Alabama,1248,1295,1138,0,110,2018,3743,5884,0,0.1
2018-01-13,Alabama,1301,1299,1138,2,163,2018,3743,5884,0,0.1
2018-01-20,Alabama,1275,1308,1148,0,127,2018,3743,5884,0,0.1
2018-01-27,Alabama,1286,1310,1156,0,130,2018,3743,5884,0,0.1
2018-02-03,Alabama,1147,1306,1150,0,0,2018,3743,5884,0,0
2018-02-10,Alabama,1181,1296,1143,0,38,2018,3743,5884,0,0
2018-02-17,Alabama,1096,1298,1144,0,0,2018,3743,5884,0,0
2018-02-24,Alabama,1099,1301,1145,0,0,2018,3743,5884,0,0
2018-03-03,Alabama,985,1295,1140,0,0,2018,3743,5884,0,0
2018-03-10,Alabama,1059,1275,1121,0,0,2018,3743,5884,0,0
2018-03-17,Alabama,1086,1256,1105,0,0,2018,3743,5884,0,0
2018-03-24,Alabama,993,1243,1093,0,0,2018,3743,5884,0,0
2018-03-31,Alabama,995,1232,1080,0,0,2018,3743,5884,0,0
2018-04-07,Alabama,1012,1216,1065,0,0,2018,3743,5884,0,0
2018-04-14,Alabama,1026,1210,1061,0,0,2018,3743,5884,0,0
2018-04-21,Alabama,1031,1206,1056,0,0,2018,3743,5884,0,0
2018-04-28,Alabama,971,1198,1051,0,0,2018,3743,5884,0,0
2018-05-05,Alabama,1039,1191,1041,0,0,2018,3743,5884,0,0
2018-05-12,Alabama,950,1182,1033,0,0,2018,3743,5884,0,0
2018-05-19,Alabama,1005,1170,1024,0,0,2018,3743,5884,0,0
2018-05-26,Alabama,977,1162,1017,0,0,2018,3743,5884,0,0
2018-06-02,Alabama,973,1143,1000,0,0,2018,3743,5884,0,0
